case,condition,height_mm,length_mm,peak_xnorm,vm_peak,vm_mean,wss_peak,wss_mean,n_surface
flow_U0p0180,Underflow,0.24997226312640414,0.8026355201706845,0.1002448810064187,235.83671839807235,6.977705304515572,22.607237888027743,12.423529363400549,779
flow_U0p0360,Healthy,0.16860479429743563,0.7973257140580041,0.3779800948334675,596.6600903970533,83.8874357373683,33.55096038392848,16.681164889827084,644
flow_U0p0540,Overflow,0.12439004428012045,0.796915445636886,0.03493027643110791,858.9762899848405,108.69302240499992,43.2269967681092,24.490632514556196,677
