x_m y_m sigma_comp_mag_Pa
4.0000000000e-04 0.0000000000e+00 -1.0656783849e+00
-4.0000000000e-04 3.0616169979e-20 -1.6174254625e+00
3.9654774225e-04 5.9296561755e-06 9.9814666841e+00
3.9426738075e-04 1.1271358276e-05 9.7331939326e+00
3.9220047893e-04 1.6374587604e-05 1.0149755462e+01
3.9017135742e-04 2.1304361683e-05 1.0473421860e+01
3.8812288624e-04 2.6095979051e-05 1.0705506517e+01
3.8602686496e-04 3.0768028430e-05 1.0888710769e+01
3.8386813499e-04 3.5332744949e-05 1.1051337136e+01
3.8163927246e-04 3.9795504049e-05 1.1189393848e+01
3.7933535572e-04 4.4162086790e-05 1.1301779464e+01
3.7695441816e-04 4.8435554561e-05 1.1399814750e+01
3.7449573661e-04 5.2618436961e-05 1.1483352538e+01
3.7195963882e-04 5.6712592259e-05 1.1554881439e+01
3.6934698977e-04 6.0719518473e-05 1.1615602044e+01
3.6665895666e-04 6.4640550062e-05 1.1667563400e+01
3.6389696915e-04 6.8476875646e-05 1.1712762686e+01
3.6106268879e-04 7.2229631433e-05 1.1752634321e+01
3.5815789703e-04 7.5899769757e-05 1.1788698812e+01
3.5518439196e-04 7.9488233026e-05 1.1821387895e+01
3.5214407112e-04 8.2995989058e-05 1.1851799603e+01
3.4903885239e-04 8.6423941838e-05 1.1881101187e+01
3.4587064138e-04 8.9772942125e-05 1.1909235666e+01
3.4264129907e-04 9.3043892212e-05 1.1936615398e+01
3.3935282743e-04 9.6237546697e-05 1.1964752474e+01
3.3600703401e-04 9.9354816255e-05 1.1992217733e+01
3.3260573300e-04 1.0239649121e-04 1.2020230633e+01
3.2915078363e-04 1.0536332126e-04 1.2049090556e+01
3.2564393226e-04 1.0825611625e-04 1.2078524687e+01
3.2208690134e-04 1.1107562058e-04 1.2109150671e+01
3.1848137282e-04 1.1382259262e-04 1.2140744152e+01
3.1482901150e-04 1.1649779997e-04 1.2171967420e+01
3.1113133104e-04 1.1910193582e-04 1.2204655332e+01
3.0738988209e-04 1.2163566638e-04 1.2239715693e+01
3.0360618818e-04 1.2409970226e-04 1.2275028254e+01
2.9978165270e-04 1.2649468483e-04 1.2310559772e+01
2.9591765887e-04 1.2882125378e-04 1.2347437946e+01
2.9201554601e-04 1.3108002868e-04 1.2384906483e+01
2.8807657620e-04 1.3327158229e-04 1.2422899852e+01
2.8410197876e-04 1.3539645329e-04 1.2461858481e+01
2.8009292160e-04 1.3745517046e-04 1.2501394104e+01
2.7605054349e-04 1.3944823047e-04 1.2540981451e+01
2.7197589014e-04 1.4137608201e-04 1.2581962365e+01
2.6787003029e-04 1.4323914050e-04 1.2621607867e+01
2.6373390751e-04 1.4503774912e-04 1.2662047364e+01
2.5956842716e-04 1.4677224411e-04 1.2703972030e+01
2.5537449065e-04 1.4844291677e-04 1.2745310544e+01
2.5115298521e-04 1.5004995270e-04 1.2786055520e+01
2.4690462822e-04 1.5159356181e-04 1.2827068552e+01
2.4263020581e-04 1.5307383413e-04 1.2867249861e+01
2.3833041302e-04 1.5449078143e-04 1.2908191481e+01
2.3400595440e-04 1.5584435498e-04 1.2948758144e+01
2.2965742150e-04 1.5713447480e-04 1.2988662363e+01
2.2528541701e-04 1.5836093936e-04 1.3027189995e+01
2.2089048050e-04 1.5952345027e-04 1.3066115472e+01
2.1647317715e-04 1.6062160243e-04 1.3104273065e+01
2.1203397829e-04 1.6165489867e-04 1.3140361475e+01
2.0757330298e-04 1.6262264977e-04 1.3176613805e+01
2.0309161405e-04 1.6352409142e-04 1.3211050062e+01
1.9858926410e-04 1.6435830741e-04 1.3246124952e+01
1.9406675161e-04 1.6512414435e-04 1.3279037125e+01
1.8952436418e-04 1.6582032887e-04 1.3307984308e+01
1.8496241797e-04 1.6644519365e-04 1.3337846714e+01
1.8038126885e-04 1.6699694116e-04 1.3366239101e+01
1.7578131795e-04 1.6747343759e-04 1.3391789643e+01
1.7116293791e-04 1.6787211762e-04 1.3413478151e+01
1.6652633460e-04 1.6818995184e-04 1.3434942536e+01
1.6187212396e-04 1.6842336457e-04 1.3450097187e+01
1.5720069152e-04 1.6856810461e-04 1.3463611062e+01
1.5251266530e-04 1.6861895401e-04 1.3472270252e+01
1.4780886454e-04 1.6856957833e-04 1.3474573672e+01
1.4309031635e-04 1.6841193580e-04 1.3466998330e+01
1.3835796756e-04 1.6813554010e-04 1.3465065697e+01
1.3361452012e-04 1.6772665981e-04 1.3411890234e+01
1.2886177905e-04 1.6716355189e-04 1.3503528886e+01
1.2410228176e-04 1.6640655983e-04 1.2669402779e+01
1.1939774785e-04 1.6533470741e-04 1.6008017536e+01
1.1511377713e-04 1.6406236641e-04 1.8190484945e+01
1.1114950553e-04 1.6280308390e-04 1.8132593164e+01
1.0735120149e-04 1.6160768662e-04 1.7561105654e+01
1.0360559769e-04 1.6045005106e-04 1.7551587704e+01
9.9877632503e-05 1.5929547275e-04 1.8082136569e+01
9.6158135108e-05 1.5810328306e-04 1.8027132985e+01
9.2450141992e-05 1.5684631267e-04 1.7879885656e+01
8.8757478965e-05 1.5549102410e-04 1.7775463166e+01
8.5093960511e-05 1.5399707630e-04 1.7587297963e+01
8.1487137125e-05 1.5230920979e-04 1.7624226144e+01
7.7998250579e-05 1.5033867889e-04 1.7085269944e+01
7.4821050482e-05 1.4788002844e-04 1.5204304709e+01
7.2972391806e-05 1.4506532847e-04 3.8924379711e+01
7.1798309638e-05 1.4348587434e-04 1.1507734298e+02
7.0129164257e-05 1.4234541915e-04 1.0162592624e+02
6.8292306511e-05 1.4139507212e-04 9.4991532054e+01
6.6353231737e-05 1.4055799438e-04 9.0389804291e+01
6.4349302354e-05 1.3981009442e-04 8.6745655898e+01
6.2296516373e-05 1.3913616311e-04 8.3577248796e+01
6.0203496789e-05 1.3852413487e-04 8.0554242751e+01
5.8075897644e-05 1.3796425595e-04 7.7624460842e+01
5.5917305711e-05 1.3744879807e-04 7.4738655931e+01
5.3731459414e-05 1.3697144289e-04 7.2331554342e+01
5.1523234330e-05 1.3652795036e-04 7.0430811933e+01
4.9297291022e-05 1.3611527939e-04 6.8944779221e+01
4.7056384988e-05 1.3573096838e-04 6.7423305161e+01
4.4801023098e-05 1.3537206605e-04 6.5820391595e+01
4.2531493385e-05 1.3503583254e-04 6.4102067583e+01
4.0247650910e-05 1.3471955580e-04 6.2327755082e+01
3.7949558079e-05 1.3442088256e-04 6.0486252594e+01
3.5637144132e-05 1.3413761408e-04 5.8596177897e+01
3.3310322336e-05 1.3386774329e-04 5.6658621782e+01
3.0968752229e-05 1.3360936897e-04 5.4652734154e+01
2.8611584532e-05 1.3336024031e-04 5.2523260502e+01
2.6237619949e-05 1.3311678239e-04 5.0507147367e+01
2.3849341886e-05 1.3287497749e-04 5.0202287808e+01
2.1459606485e-05 1.3264342028e-04 5.1992824862e+01
1.9077706787e-05 1.3243382195e-04 5.2547070811e+01
1.6694812366e-05 1.3223934403e-04 5.1435697656e+01
1.4305783474e-05 1.3205384151e-04 5.0125010503e+01
1.1909295956e-05 1.3187471555e-04 4.8769603148e+01
9.5048932645e-06 1.3170038932e-04 4.7450793282e+01
7.0924935285e-06 1.3152991829e-04 4.6129526387e+01
4.6720259594e-06 1.3136240911e-04 4.4822093397e+01
2.2434791838e-06 1.3119708316e-04 4.3527321793e+01
-1.9312094506e-07 1.3103327495e-04 4.2270199951e+01
-2.6377422080e-06 1.3087034942e-04 4.1015155954e+01
-5.0902994730e-06 1.3070775579e-04 3.9777136001e+01
-7.5506947233e-06 1.3054498730e-04 3.8594094503e+01
-1.0018689464e-05 1.3038153118e-04 3.7415280085e+01
-1.2493996181e-05 1.3021696891e-04 3.6248087415e+01
-1.4976587433e-05 1.3005083060e-04 3.5090779873e+01
-1.7466406568e-05 1.2988266884e-04 3.3896869172e+01
-1.9963346275e-05 1.2971209433e-04 3.2632445973e+01
-2.2467285386e-05 1.2953873702e-04 3.1874397326e+01
-2.4978073338e-05 1.2936224732e-04 3.1815636833e+01
-2.7495575558e-05 1.2918230086e-04 3.1837642801e+01
-3.0019641387e-05 1.2899858349e-04 3.1856465623e+01
-3.2550119138e-05 1.2881079272e-04 3.1878029681e+01
-3.5086857987e-05 1.2861863980e-04 3.1898265348e+01
-3.7629691449e-05 1.2842185217e-04 3.1923480459e+01
-4.0178479771e-05 1.2822017575e-04 3.1947311474e+01
-4.2733049457e-05 1.2801336375e-04 3.1967816164e+01
-4.5293253218e-05 1.2780117338e-04 3.1993081853e+01
-4.7858924293e-05 1.2758337580e-04 3.2019128794e+01
-5.0429904882e-05 1.2735975133e-04 3.2045806751e+01
-5.3006027863e-05 1.2713009365e-04 3.2072438788e+01
-5.5587133580e-05 1.2689420339e-04 3.2101961311e+01
-5.8173066180e-05 1.2665189183e-04 3.2131010873e+01
-6.0763662381e-05 1.2640296529e-04 3.2158844879e+01
-6.3358734098e-05 1.2614725081e-04 3.2191411605e+01
-6.5958164490e-05 1.2588456347e-04 3.2227530473e+01
-6.8561765719e-05 1.2561474817e-04 3.2261226651e+01
-7.1169380594e-05 1.2533765164e-04 3.2296717525e+01
-7.3780848952e-05 1.2505311696e-04 3.2333247397e+01
-7.6396009712e-05 1.2476099051e-04 3.2371520576e+01
-7.9014724837e-05 1.2446112493e-04 3.2407546952e+01
-8.1636782873e-05 1.2415339570e-04 3.2446082429e+01
-8.4262076555e-05 1.2383765841e-04 3.2488057820e+01
-8.6890429325e-05 1.2351378599e-04 3.2529901259e+01
-8.9521685244e-05 1.2318165256e-04 3.2572475255e+01
-9.2155690312e-05 1.2284113458e-04 3.2615178748e+01
-9.4792286975e-05 1.2249211081e-04 3.2659410975e+01
-9.7431311840e-05 1.2213447407e-04 3.2706412260e+01
-1.0007264292e-04 1.2176810633e-04 3.2752530476e+01
-1.0271607953e-04 1.2139290315e-04 3.2800943022e+01
-1.0536152184e-04 1.2100874937e-04 3.2849096753e+01
-1.0800876701e-04 1.2061554990e-04 3.2898364170e+01
-1.1065770011e-04 1.2021320176e-04 3.2949671430e+01
-1.1330816226e-04 1.1980161528e-04 3.3000445904e+01
-1.1595999658e-04 1.1938068675e-04 3.3052878886e+01
-1.1861306186e-04 1.1895031175e-04 3.3107301813e+01
-1.2126720344e-04 1.1851040642e-04 3.3162282505e+01
-1.2392228297e-04 1.1806088216e-04 3.3218110331e+01
-1.2657815084e-04 1.1760165015e-04 3.3275232228e+01
-1.2923465740e-04 1.1713262432e-04 3.3333304775e+01
-1.3189164498e-04 1.1665371523e-04 3.3393001208e+01
-1.3454900757e-04 1.1616483014e-04 3.3452732229e+01
-1.3720655410e-04 1.1566590183e-04 3.3513497033e+01
-1.3986417270e-04 1.1515684358e-04 3.3575936653e+01
-1.4252169839e-04 1.1463757777e-04 3.3639620368e+01
-1.4517900284e-04 1.1410801486e-04 3.3703804278e+01
-1.4783594059e-04 1.1356807933e-04 3.3768844308e+01
-1.5049233885e-04 1.1301770001e-04 3.3836200554e+01
-1.5314810523e-04 1.1245679438e-04 3.3904755599e+01
-1.5580307625e-04 1.1188529450e-04 3.3973450412e+01
-1.5845708430e-04 1.1130312670e-04 3.4042308140e+01
-1.6111001940e-04 1.1071019572e-04 3.4113730356e+01
-1.6376171917e-04 1.1010644324e-04 3.4186964502e+01
-1.6641204933e-04 1.0949181175e-04 3.4259921237e+01
-1.6906086986e-04 1.0886621179e-04 3.4334210768e+01
-1.7170802919e-04 1.0822956911e-04 3.4409715376e+01
-1.7435338914e-04 1.0758181611e-04 3.4487119283e+01
-1.7699678453e-04 1.0692290351e-04 3.4565282027e+01
-1.7963811987e-04 1.0625274387e-04 3.4644484147e+01
-1.8227722727e-04 1.0557126528e-04 3.4725588952e+01
-1.8491398457e-04 1.0487839998e-04 3.4806787260e+01
-1.8754826394e-04 1.0417408216e-04 3.4888740583e+01
-1.9017989584e-04 1.0345827683e-04 3.4970952103e+01
-1.9280873220e-04 1.0273091810e-04 3.5053595141e+01
-1.9543461349e-04 1.0199194505e-04 3.5137831599e+01
-1.9805735625e-04 1.0124131414e-04 3.5222184864e+01
-2.0067687193e-04 1.0047895181e-04 3.5307192461e+01
-2.0329297270e-04 9.9704830280e-05 3.5393015204e+01
-2.0590550508e-04 9.8918898641e-05 3.5478539172e+01
-2.0851432544e-04 9.8121112078e-05 3.5564233955e+01
-2.1111923119e-04 9.7311438887e-05 3.5649068227e+01
