x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
3.9655809643e-04 5.9267875254e-06 -4.1082688814e+00 -2.6738930963e+01 6.1861984516e+01 7.0391617427e+01 6.9517477087e+01 -1.1763761453e+01 6.9517477087e+01 9.9958719848e+00 1.0000000000e+00 1.1723562008e-01 -5.1734566493e-02 1.0520325681e-01 1.4045197899e+01 8.9736597756e-01 4.4128709738e-01
3.9428486670e-04 1.1265624862e-05 -3.5744357536e+00 -1.7336796919e+01 4.0955953307e+01 4.9019566972e+01 4.6992218964e+01 -9.6107014102e+00 4.6992218964e+01 9.7433766696e+00 1.0000000000e+00 4.0388093812e-02 1.5088175581e-02 -3.7463917032e-02 1.3967661034e+01 9.2759804923e-01 3.7357978941e-01
3.9222386183e-04 1.6366387999e-05 -5.5292347605e+00 -1.4251286608e+01 3.3231322681e+01 4.1548062696e+01 3.7838829142e+01 -1.0136741222e+01 3.7838829142e+01 1.0159567969e+01 1.0000000000e+00 2.4197206477e-01 9.0802480348e-02 -2.2428863032e-01 1.3922332033e+01 9.2691952079e-01 3.7526017904e-01
3.9019990685e-04 2.1293998519e-05 -6.2837399839e+00 -1.2749877735e+01 2.7787633776e+01 3.6796679385e+01 3.1996519644e+01 -1.0492625852e+01 3.1996519644e+01 1.0482572363e+01 1.0000000000e+00 5.1837349159e-01 1.9763273999e-01 -4.7922059311e-01 1.3876479435e+01 9.2446971323e-01 3.8125549088e-01
3.8815610813e-04 2.6083663303e-05 -6.6389946880e+00 -1.1891136158e+01 2.3836151952e+01 3.3446700991e+01 2.7909040452e+01 -1.0711883189e+01 2.7909040452e+01 1.0714239033e+01 1.0000000000e+00 1.2682329709e+00 5.1199496627e-01 -1.1602913527e+00 1.3788496263e+01 9.1488817848e-01 4.0370734558e-01
3.8606440502e-04 3.0753912084e-05 -6.8314411281e+00 -1.1381345739e+01 2.0786192130e+01 3.0960244485e+01 2.4852280989e+01 -1.0897529986e+01 2.4852280989e+01 1.0897223474e+01 1.0000000000e+00 1.7237728579e+00 7.1977721652e-01 -1.5663057250e+00 1.3748515112e+01 9.0864972020e-01 4.1755920057e-01
3.8390973450e-04 3.5316938630e-05 -6.9316585008e+00 -1.1019487682e+01 1.8238476597e+01 2.8947932343e+01 2.2366505579e+01 -1.1059687483e+01 2.2366505579e+01 1.1059709787e+01 1.0000000000e+00 2.2263508903e+00 9.6277692375e-01 -2.0074109898e+00 1.3711952874e+01 9.0165975117e-01 4.3244617367e-01
3.8168473950e-04 3.9778097327e-05 -6.9571548913e+00 -1.0761135618e+01 1.6047494524e+01 2.7267418746e+01 2.0288021370e+01 -1.1197681737e+01 2.0288021370e+01 1.1197684525e+01 1.0000000000e+00 2.7681870622e+00 1.2402374951e+00 -2.4748071777e+00 1.3679277017e+01 8.9401731969e-01 4.4803240071e-01
3.7938455123e-04 4.4143153051e-05 -6.9367078920e+00 -1.0556760920e+01 1.4130473714e+01 2.5819574922e+01 1.8503821443e+01 -1.1310055620e+01 1.8503821443e+01 1.1310053919e+01 1.0000000000e+00 3.9476426432e+00 1.8963194614e+00 -3.4623481828e+00 1.3627336448e+01 8.7706727678e-01 4.8036755927e-01
3.7700724399e-04 4.8415160817e-05 -6.8883369018e+00 -1.0389243005e+01 1.2437543044e+01 2.4565039511e+01 1.6957235246e+01 -1.1408029103e+01 1.6957235246e+01 1.1408029453e+01 1.0000000000e+00 4.5731821294e+00 2.2719782171e+00 -3.9688927638e+00 1.3607417702e+01 8.6786238803e-01 4.9680466527e-01
3.7455212061e-04 5.2596652883e-05 -6.8165546085e+00 -1.0240681366e+01 1.0911065019e+01 2.3449769189e+01 1.5585985759e+01 -1.1491475349e+01 1.5585985759e+01 1.1491475309e+01 1.0000000000e+00 5.2165722609e+00 2.6775161589e+00 -4.4770004882e+00 1.3593115116e+01 8.5822648750e-01 5.1327117214e-01
3.7201952584e-04 5.6689492250e-05 -6.7254609430e+00 -1.0105094089e+01 9.5220621679e+00 2.2449397044e+01 1.4359466039e+01 -1.1562864814e+01 1.4359466039e+01 1.1562864814e+01 1.0000000000e+00 5.8771690446e+00 3.1130422936e+00 -4.9849858231e+00 1.3584225261e+01 8.4819507237e-01 5.2968398050e-01
3.6941033643e-04 6.0695169792e-05 -6.6181454796e+00 -9.9785587575e+00 8.2478567958e+00 2.1544087518e+01 1.3253340386e+01 -1.1623629070e+01 1.3253340386e+01 1.1623629071e+01 1.0000000000e+00 7.2250312371e+00 4.0615164073e+00 -5.9753795570e+00 1.3577538125e+01 8.2703857754e-01 5.6214516921e-01
3.6672573888e-04 6.4615010017e-05 -6.4980047063e+00 -9.8578333299e+00 7.0764474146e+00 2.0724041568e+01 1.2254252332e+01 -1.1675809624e+01 1.2254252332e+01 1.1675809623e+01 1.0000000000e+00 7.9090762833e+00 4.5722491235e+00 -6.4535281519e+00 1.3582466047e+01 8.1596483847e-01 5.7810153294e-01
3.6396718314e-04 6.8450202204e-05 -6.3663107949e+00 -9.7433995635e+00 5.9930374537e+00 1.9978445195e+01 1.1347924041e+01 -1.1721197382e+01 1.1347924041e+01 1.1721197382e+01 1.0000000000e+00 8.5920863697e+00 5.1021084557e+00 -6.9132074677e+00 1.3591171745e+01 8.0460171956e-01 5.9381484730e-01
3.6113633828e-04 7.2201896141e-05 -6.2270906845e+00 -9.6311677312e+00 4.9889224093e+00 1.9298520886e+01 1.0522922091e+01 -1.1761090366e+01 1.0522922091e+01 1.1761090366e+01 1.0000000000e+00 9.2722099134e+00 5.6491884026e+00 -7.3525877806e+00 1.3603399093e+01 7.9297037591e-01 6.0926019313e-01
