x_m y_m von_mises_Pa wss_mag_dyn_cm2 is_surface
3.7815481556e-04 1.0008626380e-04 2.6517429072e+00 5.2412632643e+00 1.0000000000e+00
3.6160847015e-04 1.2305805768e-04 2.6129510841e+00 7.5659849177e+00 1.0000000000e+00
3.4523408231e-04 1.4104596655e-04 2.5946506506e+00 9.3550759260e+00 1.0000000000e+00
3.4233705559e-04 1.4389119017e-04 2.5932364850e+00 9.6341919775e+00 1.0000000000e+00
3.2722127100e-04 1.5747158576e-04 2.5958877795e+00 1.0956327604e+01 1.0000000000e+00
3.0786104222e-04 1.7237803758e-04 2.6224378711e+00 1.2635964745e+01 1.0000000000e+00
2.8738533825e-04 1.8582259545e-04 2.6838036249e+00 1.3956610494e+01 1.0000000000e+00
2.6597827873e-04 1.9786553435e-04 2.7896431227e+00 1.5198229376e+01 1.0000000000e+00
2.4001996303e-04 2.1021998277e-04 2.9810762686e+00 1.6567948190e+01 1.0000000000e+00
2.0927726695e-04 2.2219921095e-04 3.3059723053e+00 1.8032686385e+01 1.0000000000e+00
-1.0112501178e-04 2.2788398832e-04 1.2170414984e+01 2.0255018902e+01 1.0000000000e+00
-1.2553642269e-04 2.1515221006e-04 2.3946464973e+01 8.6451404029e+00 1.0000000000e+00
-1.6263439210e-04 2.0002164999e-04 1.1345296913e+00 1.3486631939e+01 1.0000000000e+00
-1.9161603674e-04 1.8837223608e-04 3.4611777478e+00 1.3067903773e+01 1.0000000000e+00
-2.0433669310e-04 1.8288278594e-04 3.7477372045e+00 1.2846763764e+01 1.0000000000e+00
-2.1694777668e-04 1.7715494343e-04 3.8616211919e+00 1.2495116251e+01 1.0000000000e+00
-2.3254210942e-04 1.6961221155e-04 3.9443881255e+00 1.2088347056e+01 1.0000000000e+00
-2.4179503943e-04 1.6486345019e-04 3.9978498134e+00 1.1751133161e+01 1.0000000000e+00
-2.6002533394e-04 1.5481477316e-04 4.1200004706e+00 1.1126881486e+01 1.0000000000e+00
-2.6601121714e-04 1.5129023411e-04 4.1757776906e+00 1.0854684348e+01 1.0000000000e+00
-2.7782304977e-04 1.4396246559e-04 4.2913963396e+00 1.0420698270e+01 1.0000000000e+00
-2.8073892575e-04 1.4207000339e-04 4.3397578745e+00 1.0266339282e+01 1.0000000000e+00
-2.8652807176e-04 1.3821181895e-04 4.4166480886e+00 9.9564539087e+00 1.0000000000e+00
-3.0070070544e-04 1.2810439334e-04 4.6077254835e+00 9.2623131392e+00 1.0000000000e+00
-3.0347804923e-04 1.2600516156e-04 4.6669395411e+00 9.0825759425e+00 1.0000000000e+00
-3.1971134109e-04 1.1280376106e-04 5.0271242433e+00 8.0722235786e+00 1.0000000000e+00
-3.3503258415e-04 9.8580157883e-05 5.7272055095e+00 6.6508211895e+00 1.0000000000e+00
-3.3752712571e-04 9.6108115408e-05 5.9111282979e+00 6.6508211895e+00 1.0000000000e+00
-3.5396305267e-04 7.8064640655e-05 7.7900571185e+00 4.7454112567e+00 1.0000000000e+00
-3.7460001344e-04 5.3303106438e-05 1.6807628967e+01 3.2343528798e+00 1.0000000000e+00
1.7494003600e-04 2.2928677840e-04 3.7033802258e+00 1.9523496745e+01 1.0000000000e+00
2.8024948129e-04 1.8630781852e-04 2.7108924171e+00 1.4168830672e+01 1.0000000000e+00
-2.7795811459e-04 6.1508329773e-05 1.3607728182e+01 nan 0.0000000000e+00
-3.2611075866e-05 1.0492333020e-04 7.7366530647e+00 nan 0.0000000000e+00
2.4523960516e-04 1.0389205376e-04 3.8853044112e+00 nan 0.0000000000e+00
2.5186961244e-06 1.0381158494e-04 5.9323257977e+00 nan 0.0000000000e+00
-1.7120789870e-04 1.4519133751e-04 6.2978660869e+00 nan 0.0000000000e+00
-2.0866329721e-04 1.4663407736e-04 3.4168390324e+00 nan 0.0000000000e+00
2.8119260632e-04 6.4659639396e-05 5.3914218836e+00 nan 0.0000000000e+00
-2.0700073515e-04 1.0387708297e-04 9.9486919101e+00 nan 0.0000000000e+00
-1.0248574824e-04 1.8855990619e-04 8.2753284829e+00 nan 0.0000000000e+00
2.1192112730e-04 1.8852960804e-04 2.7630629047e+00 nan 0.0000000000e+00
1.4073592956e-04 1.4624629757e-04 2.4154596115e+00 nan 0.0000000000e+00
3.5022916137e-04 2.1639188487e-05 8.5085054842e+00 nan 0.0000000000e+00
3.1513771786e-04 1.0286096440e-04 3.9612316809e+00 nan 0.0000000000e+00
1.0788816010e-04 1.4579574938e-04 2.4526361118e+00 nan 0.0000000000e+00
-1.3789130165e-04 2.2485146253e-05 9.0139086220e+00 nan 0.0000000000e+00
-1.7326767504e-04 2.1413524765e-05 1.3673744726e+01 nan 0.0000000000e+00
2.8152638058e-04 2.1898799641e-05 6.6179010840e+00 nan 0.0000000000e+00
1.4118017058e-04 2.1796358295e-05 5.5061253962e+00 nan 0.0000000000e+00
-1.0424513425e-04 2.0150557384e-05 5.1168307483e+00 nan 0.0000000000e+00
-3.1794529816e-05 2.1002872955e-05 2.0008251673e+00 nan 0.0000000000e+00
6.4891512941e-07 2.1198929905e-05 3.1850367894e+00 nan 0.0000000000e+00
-2.0829638209e-04 2.0429207923e-05 1.7726041194e+01 nan 0.0000000000e+00
2.4537101202e-04 2.1911456690e-05 6.1972379358e+00 nan 0.0000000000e+00
3.1562475567e-04 6.0751281634e-05 5.7658248179e+00 nan 0.0000000000e+00
-2.4330530599e-04 1.9967317208e-05 2.0260428357e+01 nan 0.0000000000e+00
-3.4713312147e-04 2.2539547362e-05 1.5635890154e+01 nan 0.0000000000e+00
-3.4650035413e-04 6.2404893143e-05 7.5089474266e+00 nan 0.0000000000e+00
3.5067565717e-04 1.0516933980e-04 3.3549355882e+00 nan 0.0000000000e+00
1.7769192534e-04 1.4646045894e-04 2.5673867982e+00 nan 0.0000000000e+00
3.1793953069e-04 1.4481427596e-04 2.8570438423e+00 nan 0.0000000000e+00
3.8215166822e-05 2.2998955295e-04 5.5789509084e+00 nan 0.0000000000e+00
7.0047504657e-05 2.2806416607e-04 4.9341653900e+00 nan 0.0000000000e+00
-3.2063560280e-05 2.2785319482e-04 6.6530234190e+00 nan 0.0000000000e+00
1.0815463611e-04 1.8772715572e-04 2.9789445978e+00 nan 0.0000000000e+00
1.0802572221e-04 2.2927452030e-04 4.4206837700e+00 nan 0.0000000000e+00
