x_m,y_m,sigma_comp_mag_Pa
3.8390973450e-04,3.5316938630e-05,1.1059709787e+01
3.7455212061e-04,5.2596652883e-05,1.1491475309e+01
3.6941033643e-04,6.0695169792e-05,1.1623629071e+01
3.6672573888e-04,6.4615010017e-05,1.1675809623e+01
3.6113633828e-04,7.2201896141e-05,1.1761090366e+01
3.5526493255e-04,7.9458598764e-05,1.1830112411e+01
3.5222807905e-04,8.2965526448e-05,1.1860534981e+01
3.4912634178e-04,8.6392733865e-05,1.1889913838e+01
3.4596163257e-04,8.9741071178e-05,1.1918243066e+01
3.4273581418e-04,9.3011461086e-05,1.1945119915e+01
3.3945085661e-04,9.6204638565e-05,1.1973356230e+01
3.3610858721e-04,9.9321498170e-05,1.2001724121e+01
3.3271086086e-04,1.0236286572e-04,1.2029414709e+01
3.2925950332e-04,1.0532948137e-04,1.2057847317e+01
3.2220282923e-04,1.1104160749e-04,1.2118554353e+01
3.1125816331e-04,1.1906834208e-04,1.2214633723e+01
2.9991957917e-04,1.2646234025e-04,1.2319968459e+01
2.9605928792e-04,1.2878950499e-04,1.2356932242e+01
2.8822562405e-04,1.3324128825e-04,1.2432655883e+01
2.7213981912e-04,1.4134983713e-04,1.2591455554e+01
2.5974345206e-04,1.4674998493e-04,1.2713451384e+01
2.4281961506e-04,1.5305808717e-04,1.2876438484e+01
8.2469868151e-05,1.5350408101e-04,1.7560104354e+01
7.2255445837e-05,1.4730238646e-04,1.4131890441e+01
4.8948684983e-05,1.3634391595e-04,7.1382213030e+01
3.0723370186e-05,1.3374430328e-04,5.5966384844e+01
1.1693557298e-05,1.3194766285e-04,4.9455462295e+01
9.2932908029e-06,1.3176809402e-04,4.8120296013e+01
-7.7340727613e-06,1.3058644727e-04,3.9145399777e+01
-2.5138007317e-05,1.2938788259e-04,3.1891918446e+01
-2.7652469603e-05,1.2920622799e-04,3.1895678641e+01
-4.2873361087e-05,1.2802910446e-04,3.2008789566e+01
-4.5431059050e-05,1.2781583705e-04,3.2032505060e+01
-6.0887814964e-05,1.2641245416e-04,3.2191264805e+01
-6.3480825522e-05,1.2615605491e-04,3.2223386490e+01
-7.9125612130e-05,1.2446666025e-04,3.2434305977e+01
-8.1745983798e-05,1.2415849819e-04,3.2472089395e+01
-9.4893758090e-05,1.2249540548e-04,3.2682143749e+01
-9.7531368705e-05,1.2213746607e-04,3.2728777969e+01
-1.1340057355e-04,1.1980310020e-04,3.3019404252e+01
-1.1605126381e-04,1.1938195405e-04,3.3071622276e+01
-1.2932071627e-04,1.1713292081e-04,3.3349508220e+01
-1.3463320427e-04,1.1616476741e-04,3.3468014554e+01
-1.4525982583e-04,1.1410725333e-04,3.3717246691e+01
-1.5057164000e-04,1.1301658350e-04,3.3848936786e+01
-1.6118658351e-04,1.1070833779e-04,3.4124962987e+01
-1.6648738932e-04,1.0948956456e-04,3.4270187744e+01
-1.7178223399e-04,1.0822690462e-04,3.4419542416e+01
-1.7706994521e-04,1.0691979582e-04,3.4574386292e+01
-1.8498573464e-04,1.0487457155e-04,3.4814464225e+01
-1.9025080519e-04,1.0345391631e-04,3.4978178393e+01
-1.9287925586e-04,1.0272627547e-04,3.5060258034e+01
-2.0074636108e-04,1.0047338507e-04,3.5312843871e+01
-2.0597440158e-04,9.8912654252e-05,3.5483160990e+01
-2.0858295526e-04,9.8114503482e-05,3.5568647606e+01
-2.1638473907e-04,9.5648528130e-05,3.5819877821e+01
-2.2156435424e-04,9.3944725895e-05,3.5980009314e+01
-2.2414710311e-04,9.3074866800e-05,3.6056042779e+01
-2.3186447291e-04,9.0393763273e-05,3.6241904909e+01
-2.3698019985e-04,8.8547249727e-05,3.6299179634e+01
-2.3952716013e-04,8.7606354337e-05,3.6327230519e+01
-2.4459000062e-04,8.5689009443e-05,3.7048112611e+01
-2.5212689581e-04,8.2724334854e-05,3.8221793450e+01
-2.5963886235e-04,7.9646147249e-05,3.8511596987e+01
-2.6213434418e-04,7.8596591618e-05,3.8617330294e+01
-2.6462495787e-04,7.7535997292e-05,3.8726288532e+01
-2.6711058783e-04,7.6464818217e-05,3.8837823356e+01
-2.7453729099e-04,7.3193596324e-05,3.9191329225e+01
-2.7700319474e-04,7.2086317190e-05,3.9306651033e+01
-2.7946489328e-04,7.0972008469e-05,3.9423749382e+01
-2.8192266242e-04,6.9851931927e-05,3.9532469266e+01
-2.8927986405e-04,6.6471932771e-05,3.9823179161e+01
-2.9173030019e-04,6.5345293957e-05,3.9891458182e+01
-2.9418224068e-04,6.4223098532e-05,3.9927220378e+01
-2.9663763611e-04,6.3108905651e-05,3.9932811523e+01
