x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-1.7013823528e-04 1.0885201876e-04 1.8493951616e+01 1.7983302514e+01 4.3159097649e+00 2.1896948341e+01 -2.3336871721e-01 9.7238831843e-01
-1.6235951485e-04 1.1066984066e-04 1.8620084847e+01 1.8156367227e+01 4.1296354357e+00 2.1799110205e+01 -2.2178392148e-01 9.7509583743e-01
-1.5846225001e-04 1.1154432164e-04 1.8674938259e+01 1.8233701612e+01 4.0355228306e+00 2.1749755404e+01 -2.1609296773e-01 9.7637279217e-01
-1.5065291072e-04 1.1322577594e-04 1.8769650706e+01 1.8371343555e+01 3.8462349901e+00 2.1651072451e+01 -2.0491777127e-01 9.7877919217e-01
-1.4282510714e-04 1.1481908245e-04 1.8842421485e+01 1.8484359339e+01 3.6558593031e+00 2.1551934363e+01 -1.9402279617e-01 9.8099702067e-01
-1.3890474273e-04 1.1558338394e-04 1.8870316606e+01 1.8531364911e+01 3.5605285229e+00 2.1502439712e+01 -1.8868409032e-01 9.8203783739e-01
-1.3105197871e-04 1.1704876066e-04 1.8910196965e+01 1.8607431370e+01 3.3703185433e+00 2.1402614480e+01 -1.7822757476e-01 9.8398929445e-01
-1.2318429793e-04 1.1843183594e-04 1.8925318136e+01 1.8656060738e+01 3.1810476723e+00 2.1302773999e+01 -1.6808423771e-01 9.8577263557e-01
-1.1924527624e-04 1.1909330796e-04 1.8923076136e+01 1.8669584148e+01 3.0869788127e+00 2.1252948730e+01 -1.6313303347e-01 9.8660408138e-01
-1.1135765858e-04 1.2035777822e-04 1.8897864477e+01 1.8673926597e+01 2.9006460084e+00 2.1153265212e+01 -1.5349067679e-01 9.8815009596e-01
-1.0345829649e-04 1.2154670451e-04 1.8843885415e+01 1.8646880576e+01 2.7176942981e+00 2.1053883555e+01 -1.4422154658e-01 9.8954542367e-01
-9.5548369467e-05 1.2266321480e-04 1.8757425179e+01 1.8584771314e+01 2.5391483898e+00 2.0955119867e+01 -1.3536764058e-01 9.9079543897e-01
-9.1589801715e-05 1.2319539372e-04 1.8701324770e+01 1.8539894332e+01 2.4519107503e+00 2.0906001226e+01 -1.3110893375e-01 9.9136796776e-01
-8.3666149579e-05 1.2420998534e-04 1.8561421108e+01 1.8420535931e+01 2.2825883498e+00 2.0808651908e+01 -1.2297487011e-01 9.9240978498e-01
-7.5734712448e-05 1.2516185200e-04 1.8381263441e+01 1.8258429776e+01 2.1214588846e+00 2.0713049298e+01 -1.1541420379e-01 9.9331745256e-01
-7.1766406238e-05 1.2561577891e-04 1.8273454912e+01 1.8158730379e+01 2.0444230162e+00 2.0665565995e+01 -1.1187939150e-01 9.9372179294e-01
-6.3825274935e-05 1.2648314272e-04 1.8023131595e+01 1.7922787976e+01 1.8991955253e+00 2.0573602471e+01 -1.0537544573e-01 9.9443250924e-01
-5.5878986718e-05 1.2730197781e-04 1.7717630320e+01 1.7629257025e+01 1.7674051280e+00 2.0484629519e+01 -9.9754035733e-02 9.9501212674e-01
-5.1904239415e-05 1.2769558121e-04 1.7542577712e+01 1.7459281789e+01 1.7074870954e+00 2.0441681038e+01 -9.7333876664e-02 9.9525178546e-01
-4.3952219466e-05 1.2845684308e-04 1.7142291232e+01 1.7067311654e+01 1.6015684778e+00 2.0359535432e+01 -9.3427912064e-02 9.9562604689e-01
-3.5997813145e-05 1.2919281220e-04 1.6667031548e+01 1.6597809251e+01 1.5174546732e+00 2.0283855092e+01 -9.1045287144e-02 9.9584675311e-01
-3.2020126222e-05 1.2955554715e-04 1.6397148673e+01 1.6329734172e+01 1.4853506245e+00 2.0249159332e+01 -9.0585909427e-02 9.9588864489e-01
