x_m y_m von_mises_Pa wss_mag_dyn_cm2 is_surface
4.0010844227e-04 3.7939681919e-06 3.5127894790e+01 5.0085747753e-03 1.0000000000e+00
4.0222292158e-04 7.5745575002e-06 3.9008836624e+00 4.3304518364e-02 1.0000000000e+00
4.0305539264e-04 1.1865256019e-05 5.0897681942e+00 9.1696153927e-02 1.0000000000e+00
4.0343985121e-04 2.4265131480e-05 1.9797966973e+00 1.1068664745e-01 1.0000000000e+00
4.0283114812e-04 3.2364312103e-05 2.3572403663e+00 4.4478553646e-02 1.0000000000e+00
4.0232729336e-04 3.6379421386e-05 2.4829128447e+00 1.7467087092e-01 1.0000000000e+00
4.0170110315e-04 4.0371795935e-05 2.5672440861e+00 3.3743480636e-01 1.0000000000e+00
4.0095819405e-04 4.4340576084e-05 2.6234601328e+00 5.3017418259e-01 1.0000000000e+00
4.0010316179e-04 4.8284469703e-05 2.6613233017e+00 7.4988494504e-01 1.0000000000e+00
3.9913984596e-04 5.2202051006e-05 2.6844520501e+00 9.9415420155e-01 1.0000000000e+00
3.9807177782e-04 5.6091710683e-05 2.6990492300e+00 1.2600020741e+00 1.0000000000e+00
3.9690228795e-04 5.9951930101e-05 2.7051717049e+00 1.5439941794e+00 1.0000000000e+00
3.9563443560e-04 6.3781128419e-05 2.7070978739e+00 1.8451578871e+00 1.0000000000e+00
3.9427112575e-04 6.7577799943e-05 2.7063425247e+00 2.1589240111e+00 1.0000000000e+00
3.9281524132e-04 7.1340567453e-05 2.7026728307e+00 2.4825414007e+00 1.0000000000e+00
3.9126957502e-04 7.5068134231e-05 2.6975409636e+00 2.8160011593e+00 1.0000000000e+00
3.8963680040e-04 7.8759266217e-05 2.6924114439e+00 3.1562664740e+00 1.0000000000e+00
3.8791952819e-04 8.2412865097e-05 2.6855687516e+00 3.5009213665e+00 1.0000000000e+00
3.8612039451e-04 8.6027905380e-05 2.6792262442e+00 3.8477583480e+00 1.0000000000e+00
3.8424192755e-04 8.9603536780e-05 2.6722694870e+00 4.1964035320e+00 1.0000000000e+00
3.8228656490e-04 9.3138933749e-05 2.6652575452e+00 4.5466976009e+00 1.0000000000e+00
3.8025673382e-04 9.6633374960e-05 2.6584666806e+00 4.8959355036e+00 1.0000000000e+00
3.7815481556e-04 1.0008626380e-04 2.6517429072e+00 5.2412632643e+00 1.0000000000e+00
3.7598310762e-04 1.0349707969e-04 2.6453902757e+00 5.5873399727e+00 1.0000000000e+00
3.7374384471e-04 1.0686536607e-04 2.6392857185e+00 5.9296277001e+00 1.0000000000e+00
3.7143920212e-04 1.1019074171e-04 2.6333240772e+00 6.2646996972e+00 1.0000000000e+00
3.6907130659e-04 1.1347290459e-04 2.6276940766e+00 6.5973880231e+00 1.0000000000e+00
3.6664223277e-04 1.1671160847e-04 2.6227792918e+00 6.9256717673e+00 1.0000000000e+00
3.6415397344e-04 1.1990671381e-04 2.6171312000e+00 7.2485641317e+00 1.0000000000e+00
3.6160847015e-04 1.2305805768e-04 2.6129510841e+00 7.5659849177e+00 1.0000000000e+00
3.5900758141e-04 1.2616556313e-04 2.6087895510e+00 7.8778331704e+00 1.0000000000e+00
3.5635314791e-04 1.2922921895e-04 2.6049515657e+00 8.1840502879e+00 1.0000000000e+00
3.5364690545e-04 1.3224902991e-04 2.6015221308e+00 8.4850832717e+00 1.0000000000e+00
3.5089055770e-04 1.3522501582e-04 2.5989864524e+00 8.7803975907e+00 1.0000000000e+00
3.4808575472e-04 1.3815728596e-04 2.5965368444e+00 9.0702547576e+00 1.0000000000e+00
3.4523408231e-04 1.4104596655e-04 2.5946506506e+00 9.3550759260e+00 1.0000000000e+00
3.4233705559e-04 1.4389119017e-04 2.5932364850e+00 9.6341919775e+00 1.0000000000e+00
3.3939614356e-04 1.4669309332e-04 2.5925403417e+00 9.9061822823e+00 1.0000000000e+00
3.3641276276e-04 1.4945186480e-04 2.5924711650e+00 1.0176500366e+01 1.0000000000e+00
3.3338828678e-04 1.5216773306e-04 2.5926045905e+00 1.0442765015e+01 1.0000000000e+00
3.3032403745e-04 1.5484089017e-04 2.5939251165e+00 1.0701084847e+01 1.0000000000e+00
3.2722127100e-04 1.5747158576e-04 2.5958877795e+00 1.0956327604e+01 1.0000000000e+00
3.2408119390e-04 1.6006004081e-04 2.5980602863e+00 1.1207379367e+01 1.0000000000e+00
