x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-2.6846543474e-04,7.5974416208e-05,1.4433447591e+01,1.3210757750e+01,5.8138015980e+00,2.3086223857e+01,-4.0280061720e-01,9.1528774862e-01
-2.6480131595e-04,7.7572334635e-05,1.4721867437e+01,1.3514064697e+01,5.8398147381e+00,2.3048821106e+01,-3.9667622082e-01,9.1795859157e-01
-2.6112640179e-04,7.9145260909e-05,1.4994262243e+01,1.3805055256e+01,5.8522089493e+00,2.3010310726e+01,-3.9029655841e-01,9.2068919647e-01
-2.5744052984e-04,8.0692331070e-05,1.5252832083e+01,1.4085094076e+01,5.8531198016e+00,2.2970039405e+01,-3.8373987006e-01,9.2344123371e-01
-2.5374363879e-04,8.2212878154e-05,1.5498671510e+01,1.4354907922e+01,5.8434097172e+00,2.2929247867e+01,-3.7702648989e-01,9.2620247566e-01
-2.5003566764e-04,8.3706197143e-05,1.5734050763e+01,1.4616698893e+01,5.8234411556e+00,2.2886762382e+01,-3.7011709465e-01,9.2898511088e-01
-2.4631643113e-04,8.5171224447e-05,1.5954499698e+01,1.4867027402e+01,5.7894349326e+00,2.2842870805e+01,-3.6287160627e-01,9.3183914779e-01
-2.4258586997e-04,8.6607168387e-05,1.6154376825e+01,1.5098707231e+01,5.7439472980e+00,2.2798383013e+01,-3.5556600914e-01,9.3465117191e-01
-2.3884436967e-04,8.8014370812e-05,1.6338355896e+01,1.5314136560e+01,5.6937768488e+00,2.2753130833e+01,-3.4849142014e-01,9.3731197052e-01
-2.3509250353e-04,8.9393704928e-05,1.6511765714e+01,1.5518371282e+01,5.6407942480e+00,2.2709215329e+01,-3.4162271593e-01,9.3983717736e-01
-2.3133072373e-04,9.0745771561e-05,1.6679379294e+01,1.5716510006e+01,5.5850699952e+00,2.2664607564e+01,-3.3484879124e-01,9.4227187531e-01
