x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-3.9839193430e-04 1.1881243995e-06 5.1280053758e-01 4.1243661658e-01 3.0473009147e-01 2.3647108324e+01 -5.9424682530e-01 8.0428273053e-01
-3.8927548971e-04 8.9738532528e-06 2.5136085261e+00 1.8324038761e+00 1.7206172897e+00 2.3868762603e+01 -6.8452078825e-01 7.2899334047e-01
-3.8050768861e-04 1.7164100048e-05 4.7734504873e+00 3.5286262376e+00 3.2147513793e+00 2.3969935323e+01 -6.7346490507e-01 7.3921919729e-01
-3.7452748604e-04 2.2475771614e-05 6.2552403661e+00 4.7317437668e+00 4.0912874455e+00 2.3992422996e+01 -6.5405759110e-01 7.5644475511e-01
-3.6527772952e-04 3.0115800497e-05 8.4204224996e+00 6.6154052998e+00 5.2095995806e+00 2.3977228212e+01 -6.1868624536e-01 7.8563816722e-01
-3.5891204165e-04 3.4958351787e-05 9.8482096277e+00 7.9388234231e+00 5.8277195821e+00 2.3939252405e+01 -5.9175421751e-01 8.0611844418e-01
-3.4904325693e-04 4.1778376874e-05 1.2045381175e+01 1.0114514477e+01 6.5412387626e+00 2.3833621226e+01 -5.4304954468e-01 8.3970065620e-01
-3.4222340731e-04 4.5955464942e-05 1.3605999655e+01 1.1787811433e+01 6.7949045779e+00 2.3715119922e+01 -4.9940502355e-01 8.6636864120e-01
-3.3152301041e-04 5.1357768238e-05 1.6156676382e+01 1.4940965275e+01 6.1486379274e+00 2.3334738171e+01 -3.8056329051e-01 9.2475487667e-01
-3.2386258710e-04 5.3553329434e-05 1.3579345326e+01 1.3400745082e+01 2.1951425346e+00 2.2781880511e+01 -1.6165304599e-01 9.8684765426e-01
-3.1221018110e-04 5.6257571706e-05 9.1484015573e+00 8.5851981646e+00 3.1603201623e+00 2.3140351325e+01 -3.4545052953e-01 9.3843696200e-01
-3.0480355464e-04 5.9272279875e-05 1.0275217307e+01 9.4101506156e+00 4.1266398070e+00 2.3257491904e+01 -4.0161095223e-01 9.1581037505e-01
