x_m y_m sigma_comp_mag_Pa
4.0000000000e-04 0.0000000000e+00 -1.0486141776e+00
-4.0000000000e-04 3.0616169979e-20 -1.6196417822e+00
3.9661496526e-04 5.9114308874e-06 1.0073749460e+01
3.9437955980e-04 1.1235352008e-05 9.7953291031e+00
3.9234803431e-04 1.6322977728e-05 1.0208771599e+01
3.9034819452e-04 2.1238341629e-05 1.0528317111e+01
3.8832472395e-04 2.6015950511e-05 1.0758587610e+01
3.8625062094e-04 3.0673920740e-05 1.0941716623e+01
3.8411161126e-04 3.5224205493e-05 1.1105001805e+01
3.8190093920e-04 3.9672084261e-05 1.1244613691e+01
3.7961422783e-04 4.4023300167e-05 1.1358867803e+01
3.7724992994e-04 4.8280958056e-05 1.1458722384e+01
3.7480762779e-04 5.2447677725e-05 1.1544217865e+01
3.7228789221e-04 5.6525412557e-05 1.1617597895e+01
3.6969174942e-04 6.0515774472e-05 1.1680192658e+01
3.6702048400e-04 6.4420208341e-05 1.1734082526e+01
3.6427561091e-04 6.8240004645e-05 1.1781134973e+01
3.6145884115e-04 7.1976402774e-05 1.1822567566e+01
3.5857197328e-04 7.5630435472e-05 1.1860125654e+01
3.5561681158e-04 7.9203110540e-05 1.1894236956e+01
3.5259524889e-04 8.2695450773e-05 1.1926029026e+01
3.4950919062e-04 8.6108413390e-05 1.1956323270e+01
3.4636051303e-04 8.9442880169e-05 1.1985178867e+01
3.4315103549e-04 9.2699772252e-05 1.2013295349e+01
3.3988273397e-04 9.5879848220e-05 1.2042173507e+01
3.3655738639e-04 9.8984037978e-05 1.2069666237e+01
3.3317674728e-04 1.0201311014e-04 1.2097749356e+01
3.2974263126e-04 1.0496778759e-04 1.2127442783e+01
3.2625677900e-04 1.0784890123e-04 1.2156525991e+01
3.2272084986e-04 1.1065715598e-04 1.2186536418e+01
3.1913645747e-04 1.1339326984e-04 1.2217453594e+01
3.1550521414e-04 1.1605794367e-04 1.2249447073e+01
3.1182865276e-04 1.1865187188e-04 1.2281882258e+01
3.0810826301e-04 1.2117570240e-04 1.2315026132e+01
3.0434544836e-04 1.2363004944e-04 1.2349679310e+01
3.0054157038e-04 1.2601549624e-04 1.2384622626e+01
2.9669796528e-04 1.2833262213e-04 1.2421381971e+01
2.9281594382e-04 1.3058200571e-04 1.2457737842e+01
