x_m,y_m,sigma_comp_mag_Pa
-2.0758918223e-04,4.0709176629e-05,4.1243911816e+01
1.1990728261e-04,6.7821724512e-05,2.2951850503e+01
2.7384704735e-04,6.8107605735e-05,1.5185599776e+01
2.0495160876e-04,9.5062423094e-05,1.5652168819e+01
1.8571696998e-04,1.2186142325e-04,1.5226162798e+01
1.6314665345e-04,1.2111442892e-04,1.5917244821e+01
7.5422202768e-05,9.4060579752e-05,2.2698027015e+01
-2.0758623636e-04,6.8288782257e-05,3.7755450083e+01
3.1634672060e-04,4.2095088097e-05,1.4984996287e+01
2.5212747353e-04,3.9427021510e-05,1.7094867965e+01
2.2867097045e-04,3.9521675243e-05,1.7390536384e+01
2.9313056989e-04,9.3880445127e-05,1.3904898695e+01
1.6362157737e-04,9.6125081327e-05,1.6999322607e+01
-2.9423133118e-04,1.4752123114e-05,1.7028857352e+01
3.2913117159e-05,6.8946930281e-05,2.4898826978e+01
-1.6456482470e-04,9.5076609534e-05,3.5041437293e+01
-1.4083199341e-04,9.5266814311e-05,3.4779139251e+01
7.5903967629e-05,1.2219225326e-04,2.1968068524e+01
2.7052807107e-04,9.6618302271e-05,1.4388372835e+01
1.6443723704e-04,1.4784818613e-04,1.4922919956e+01
5.4772359319e-05,6.8170415010e-05,2.2832507995e+01
-3.1517629872e-04,1.2722033283e-05,1.7008936916e+01
2.9329556479e-04,6.7957725170e-05,1.4766504259e+01
-2.5055992659e-04,6.7350871204e-05,3.7145414486e+01
5.4546940899e-05,9.4396685007e-05,2.2663865510e+01
9.8588824486e-05,3.9713100210e-05,2.2900586964e+01
1.8409110125e-04,1.3788594936e-05,2.0238312701e+01
1.6436915222e-04,1.2635529935e-05,2.1528139640e+01
1.4137684544e-04,1.3619462817e-05,2.2936936931e+01
9.9449851364e-05,1.2746912405e-05,2.2964952064e+01
7.7219325468e-05,1.2593868245e-05,2.5499089101e+01
5.4756554618e-05,1.2401260762e-05,3.1081227256e+01
2.2693961048e-04,1.4389439079e-05,1.9526229676e+01
2.0714623460e-04,1.2985689294e-05,1.9710988705e+01
2.5018598411e-04,6.6985904450e-05,1.5646416946e+01
1.4139105209e-04,1.4970086947e-04,1.5460584331e+01
2.7062563462e-04,1.4430290790e-05,1.9194593952e+01
3.1588410572e-04,9.4722330832e-05,1.3081011148e+01
-3.1352162112e-05,1.3413386696e-05,4.8860949159e+01
-1.2209895335e-05,1.3480831244e-05,4.6540147936e+01
1.1893135571e-04,1.4792099253e-05,2.2941491524e+01
-2.2832273843e-04,6.6983114492e-05,3.7490980236e+01
2.2778139337e-04,9.4008798236e-05,1.5185855629e+01
3.3431567903e-05,1.3787741684e-05,3.6668691352e+01
-7.7358392268e-05,1.3353167249e-05,5.1093646063e+01
1.8475258057e-04,6.8484003442e-05,1.7000593179e+01
1.4205938338e-04,9.5333497299e-05,1.7050032774e+01
2.7391925277e-04,1.2335906440e-04,1.3347755456e+01
3.2836624561e-05,1.2355727966e-04,4.2334158290e+01
-1.6269522599e-04,4.1110291075e-05,4.3600358848e+01
3.5883293112e-04,1.5629084630e-05,1.1990706503e+01
2.9389626748e-04,1.2165905370e-05,1.7151581863e+01
1.1115732764e-05,9.4201943716e-05,3.5683662732e+01
-1.0264198652e-05,9.4334082346e-05,3.6885894624e+01
1.8393765222e-04,1.5087468948e-04,1.4365447208e+01
3.1436944809e-04,1.3269046975e-05,1.6734692922e+01
9.8768240992e-05,9.4645801095e-05,2.2836600632e+01
-1.8570863525e-04,6.8203158252e-05,3.8132446072e+01
-1.1452943370e-05,4.0762036206e-05,4.1599512266e+01
-5.4715387160e-05,4.1958050699e-05,4.4964549967e+01
-7.7235141991e-05,4.0275287790e-05,4.5630714063e+01
-9.8004142323e-05,4.0350602873e-05,4.5477317225e+01
3.3950446215e-04,4.0989391615e-05,1.4022488963e+01
-5.4369264494e-05,9.4879951113e-05,3.5554735312e+01
-3.1673972844e-05,9.5312173777e-05,3.6304341559e+01
1.6445411710e-04,4.1456081824e-05,1.9152503625e+01
-2.5071883811e-04,1.4114900229e-05,3.6058452627e+01
2.0741751499e-04,1.5061316464e-04,1.3869995048e+01
-2.9444849847e-04,4.0128632773e-05,1.7148296991e+01
3.5366117280e-04,7.1106423302e-05,1.2211751642e+01
-2.4120046371e-04,8.1451950817e-05,3.7121174986e+01
-1.1866163384e-04,4.0500209842e-05,4.5060305382e+01
2.5117782790e-04,9.6017418200e-05,1.4768271599e+01
-2.4930777652e-04,4.0090166433e-05,3.5771655431e+01
-2.2315296323e-04,8.8817986830e-05,3.6185467715e+01
-2.2519737766e-04,8.6717345164e-05,3.6306636984e+01
2.5036774908e-04,1.3334382315e-05,1.9983265859e+01
9.7779122221e-05,1.2405847341e-04,2.2654521707e+01
1.6290307990e-04,6.9534914893e-05,1.7025264540e+01
1.8647412119e-04,3.9363266617e-05,1.7931173510e+01
-1.3885865682e-04,1.0964532466e-04,3.3692986151e+01
-3.3891412581e-04,4.0753806657e-05,1.3721801289e+01
-2.7588208329e-04,6.6802726835e-05,3.7649694162e+01
-1.1490032767e-04,1.1431017702e-04,3.3072420423e+01
-1.4156629966e-04,1.1031033857e-04,3.3718343159e+01
-2.5261719372e-04,7.7808941598e-05,3.7730726711e+01
-2.5503045273e-04,7.6210612135e-05,3.7745070005e+01
-1.6289493574e-04,1.0583817649e-04,3.4315368613e+01
-2.9034730805e-04,6.1003965937e-05,3.6380115208e+01
-1.7034830604e-04,1.0423468983e-04,3.4531476866e+01
3.2080882822e-04,1.0338190905e-04,1.2504569372e+01
3.4407484443e-04,8.1015572011e-05,1.2350591237e+01
-3.0892106160e-04,5.3494677158e-05,2.2704746913e+01
-3.1173064989e-04,5.2826673914e-05,1.7065664367e+01
-3.0609913275e-04,5.4323876343e-05,2.7252689907e+01
-3.0336440432e-04,5.5281026833e-05,2.9929267611e+01
-2.3884596498e-04,8.3563499529e-05,3.6795350713e+01
-2.8532570728e-04,6.3621292344e-05,3.7391064015e+01
-2.8284391224e-04,6.4941785002e-05,3.7714910343e+01
-2.6171786042e-04,7.3946552237e-05,3.7953535510e+01
-2.9568548983e-04,5.8885174203e-05,3.5123358420e+01
3.0731281198e-04,1.1558287527e-04,1.2517300699e+01
-3.3084305083e-04,4.6658989861e-05,1.5178815185e+01
-3.2493950598e-04,4.8810567558e-05,1.6687977284e+01
-7.7143574591e-05,9.4937713562e-05,3.4971441122e+01
-1.8404578900e-04,1.3510299774e-05,4.7724826452e+01
