x_m y_m sigma_comp_mag_Pa
4.0000000000e-04 0.0000000000e+00 -1.1367356684e+00
-4.0000000000e-04 3.0616169979e-20 -1.5863784557e+00
3.9633851925e-04 5.9907494171e-06 9.7066977113e+00
3.9388393713e-04 1.1390167758e-05 9.5047274742e+00
3.9164161035e-04 1.6528811343e-05 9.9316381099e+00
3.8943320793e-04 2.1469829392e-05 1.0288196846e+01
3.8720345759e-04 2.6249178093e-05 1.0556660161e+01
3.8492696513e-04 3.0886893623e-05 1.0776519863e+01
3.8259102062e-04 3.5397288705e-05 1.0976244823e+01
3.8019037569e-04 3.9787711784e-05 1.1156418541e+01
3.7772165305e-04 4.4066049368e-05 1.1306907095e+01
3.7518389677e-04 4.8237403541e-05 1.1442628272e+01
3.7257701698e-04 5.2306095287e-05 1.1562446976e+01
3.6990154715e-04 5.6275654229e-05 1.1670011843e+01
3.6715841412e-04 6.0148865449e-05 1.1765957590e+01
3.6434861029e-04 6.3928166747e-05 1.1852834453e+01
3.6147329314e-04 6.7615625683e-05 1.1932543156e+01
3.5853378809e-04 7.1213010497e-05 1.2006170561e+01
3.5553151890e-04 7.4721639167e-05 1.2075519412e+01
3.5246789892e-04 7.8142628943e-05 1.2141152183e+01
3.4934444323e-04 8.1476953477e-05 1.2203900149e+01
3.4616268494e-04 8.4725329261e-05 1.2265281531e+01
3.4292414902e-04 8.7888249313e-05 1.2325856876e+01
3.3963032165e-04 9.0966070540e-05 1.2385832113e+01
3.3628281905e-04 9.3958830114e-05 1.2446400270e+01
3.3288297470e-04 9.6866447861e-05 1.2511747154e+01
3.2943200054e-04 9.9688389060e-05 1.2577722682e+01
3.2593054416e-04 1.0242332803e-04 1.2598283236e+01
3.2237791388e-04 1.0506601408e-04 1.2978852438e+01
3.1878783712e-04 1.0760547380e-04 1.4323402682e+01
3.1517281903e-04 1.1004783563e-04 1.5529181317e+01
3.1153542064e-04 1.1240014021e-04 1.6739810065e+01
3.0787755195e-04 1.1466629765e-04 1.6911405497e+01
3.0420110316e-04 1.1684791883e-04 1.6962295140e+01
3.0051046659e-04 1.1894984906e-04 1.7022975439e+01
2.9680583169e-04 1.2097443684e-04 1.7054694731e+01
2.9308852655e-04 1.2292396597e-04 1.7097465258e+01
2.8936019791e-04 1.2480012270e-04 1.7140177315e+01
2.8562306368e-04 1.2660526456e-04 1.7172709436e+01
2.8187800223e-04 1.2834105354e-04 1.7200385078e+01
2.7812748112e-04 1.3000944889e-04 1.7241609730e+01
2.7437235135e-04 1.3161211315e-04 1.7273932946e+01
2.7061577659e-04 1.3315227033e-04 1.7291601444e+01
2.6685614604e-04 1.3463188883e-04 1.7285747619e+01
2.6309432711e-04 1.3604899270e-04 1.7317209169e+01
2.5933624249e-04 1.3740892160e-04 1.7348194808e+01
2.5557954872e-04 1.3871108637e-04 1.7357399875e+01
2.5183143009e-04 1.3995955440e-04 1.7319760023e+01
2.4808729624e-04 1.4115877414e-04 1.7346932034e+01
2.4434773357e-04 1.4230769447e-04 1.7328555497e+01
2.4061652471e-04 1.4340865476e-04 1.7322796218e+01
2.3689453520e-04 1.4446515909e-04 1.7299244588e+01
2.3318108527e-04 1.4548157211e-04 1.7266077829e+01
2.2947388573e-04 1.4645891620e-04 1.7209985513e+01
2.2577381223e-04 1.4739839753e-04 1.7172392216e+01
2.2207991180e-04 1.4830102006e-04 1.7133489583e+01
2.1839363022e-04 1.4916751423e-04 1.7086604888e+01
2.1471696950e-04 1.5000049992e-04 1.7047448073e+01
2.1104951787e-04 1.5080331048e-04 1.7139557401e+01
2.0739118693e-04 1.5158092416e-04 1.7246229321e+01
2.0373608157e-04 1.5233449603e-04 1.7295558712e+01
2.0008453390e-04 1.5306446422e-04 1.7328318666e+01
1.9643515437e-04 1.5377223083e-04 1.7333863492e+01
1.9278615781e-04 1.5445948268e-04 1.7330403366e+01
1.8913532941e-04 1.5512731239e-04 1.7300124638e+01
1.8548014582e-04 1.5577561559e-04 1.7275038011e+01
1.8181991985e-04 1.5640670030e-04 1.7213449560e+01
1.7814753283e-04 1.5701953784e-04 1.7154786520e+01
1.7446125758e-04 1.5761023371e-04 1.7115269653e+01
1.7076041931e-04 1.5817533742e-04 1.7092827965e+01
1.6704627823e-04 1.5871183731e-04 1.7094564222e+01
1.6332091691e-04 1.5921789071e-04 1.7114944811e+01
1.5958654319e-04 1.5969417578e-04 1.7129320974e+01
1.5584101419e-04 1.6013895204e-04 1.7163648892e+01
1.5208814676e-04 1.6055153796e-04 1.7193171570e+01
1.4832799905e-04 1.6093185209e-04 1.7235954962e+01
1.4456190142e-04 1.6128021203e-04 1.7283390927e+01
1.4078950348e-04 1.6159721871e-04 1.7325865133e+01
1.3701026895e-04 1.6188268205e-04 1.7365460969e+01
1.3322374110e-04 1.6213569422e-04 1.7408638108e+01
1.2943012849e-04 1.6235510824e-04 1.7451815620e+01
1.2563006652e-04 1.6253996143e-04 1.7500142228e+01
1.2182424294e-04 1.6268964137e-04 1.7550170013e+01
8.7383739744e-05 1.6231274591e-04 1.8112116251e+01
8.3550591787e-05 1.6205935552e-04 1.8193501666e+01
7.9719511102e-05 1.6176029552e-04 1.8272335151e+01
7.5890843268e-05 1.6141389180e-04 1.8351428389e+01
7.2065191440e-05 1.6101817449e-04 1.8429881251e+01
6.8243411938e-05 1.6057080965e-04 1.8512142025e+01
6.4426529630e-05 1.6006904038e-04 1.8593950322e+01
6.0615839483e-05 1.5950927152e-04 1.8689577992e+01
5.6814346145e-05 1.5888759315e-04 1.8781990264e+01
5.3025366605e-05 1.5820145318e-04 1.8893957265e+01
4.9250011275e-05 1.5744671388e-04 1.9002035524e+01
4.5490438605e-05 1.5661770314e-04 1.9112949359e+01
4.1749741519e-05 1.5570619648e-04 1.9228615694e+01
3.8034256812e-05 1.5470181794e-04 1.9346588102e+01
3.4352084380e-05 1.5359231561e-04 1.9507137127e+01
3.0720118571e-05 1.5235880489e-04 1.9777791932e+01
2.7169820768e-05 1.5098984594e-04 2.0213011027e+01
