x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
4.0000000000e-04 0.0000000000e+00 8.3224808993e+01 -7.4497612181e+01 9.5872415080e+01 1.2808030235e+02 1.6349580908e+02 1.5601414995e+01 1.6349580908e+02 -1.1367356684e+00 1.0000000000e+00 6.9965148269e-02 -3.9989242636e-02 5.7410647493e-02 1.4111902255e+01 8.2056064932e-01 5.7155946391e-01
-4.0000000000e-04 3.0616169979e-20 5.5907664217e+02 3.3961928904e+02 2.3801569363e+02 6.4810292143e+02 7.7272856397e+02 2.4363771774e+01 7.7272856397e+02 -1.5863784557e+00 1.0000000000e+00 8.9966408564e-01 7.5975019636e-01 4.8184552102e-01 2.3507103883e+01 -5.3558381257e-01 8.4448207779e-01
3.9633851925e-04 5.9907494171e-06 -1.5839938302e+00 -3.0956123307e+01 6.7215821470e+01 7.6915864625e+01 7.7223308966e+01 -1.1591481326e+01 7.7223308966e+01 9.7066977113e+00 1.0000000000e+00 6.6388406395e-02 -3.2182185216e-02 5.8066577808e-02 1.4081206863e+01 8.7464936970e-01 4.8475610371e-01
3.9388393713e-04 1.1390167758e-05 -1.7253699569e+00 -2.0166485566e+01 4.4542285591e+01 5.3297715659e+01 5.2179908300e+01 -9.3629926660e+00 5.2179908300e+01 9.5047274742e+00 1.0000000000e+00 2.7566427063e-01 1.1791297921e-01 -2.4917327191e-01 1.3987398580e+01 9.0390122501e-01 4.2774124822e-01
3.9164161035e-04 1.6528811343e-05 -3.9785937127e+00 -1.6609863910e+01 3.5986248283e+01 4.4879770361e+01 4.1915174784e+01 -9.9075202138e+00 4.1915174784e+01 9.9316381099e+00 1.0000000000e+00 5.9748710704e-01 2.6238940359e-01 -5.3678919882e-01 1.3938544905e+01 8.9841135062e-01 4.3915492150e-01
3.8943320793e-04 2.1469829392e-05 -4.9246491662e+00 -1.4741079641e+01 2.9804883216e+01 3.9385056045e+01 3.5179089734e+01 -1.0298855685e+01 3.5179089734e+01 1.0288196846e+01 1.0000000000e+00 1.4259503861e+00 6.6881278967e-01 -1.2593744304e+00 1.3850813048e+01 8.8318250248e-01 4.6902949514e-01
3.8720345759e-04 2.6249178093e-05 -5.4374911284e+00 -1.3563863267e+01 2.5223993457e+01 3.5415964993e+01 3.0340668087e+01 -1.0554165758e+01 3.0340668087e+01 1.0556660161e+01 1.0000000000e+00 1.9066375500e+00 9.2044458210e-01 -1.6697450459e+00 1.3812801347e+01 8.7575378231e-01 4.8275802714e-01
3.8492696513e-04 3.0886893623e-05 -5.7799295148e+00 -1.2762823295e+01 2.1630952451e+01 3.2393429477e+01 2.6627866697e+01 -1.0776843760e+01 2.6627866697e+01 1.0776519863e+01 1.0000000000e+00 2.4217398163e+00 1.2017143684e+00 -2.1025475773e+00 1.3779033900e+01 8.6819713791e-01 4.9621943708e-01
3.8259102062e-04 3.5397288705e-05 -6.0319432359e+00 -1.2125451618e+01 1.8623549461e+01 2.9916024557e+01 2.3567827943e+01 -1.0976221718e+01 2.3567827943e+01 1.0976244823e+01 1.0000000000e+00 2.9610335694e+00 1.5100043757e+00 -2.5470780484e+00 1.3749332384e+01 8.6019897737e-01 5.0995854667e-01
3.8019037569e-04 3.9787711784e-05 -6.2164757821e+00 -1.1606841278e+01 1.6039630062e+01 2.7830579571e+01 2.0979569747e+01 -1.1156415467e+01 2.0979569747e+01 1.1156418541e+01 1.0000000000e+00 4.1009020201e+00 2.2003192634e+00 -3.4606346986e+00 1.3702823654e+01 8.4387158768e-01 5.3654519242e-01
3.7772165305e-04 4.4066049368e-05 -6.3550502112e+00 -1.1159950158e+01 1.3792731504e+01 2.6025361648e+01 1.8744590200e+01 -1.1306908907e+01 1.8744590200e+01 1.1306907095e+01 1.0000000000e+00 4.6945885848e+00 2.5802285243e+00 -3.9219360962e+00 1.3685700611e+01 8.3541635766e-01 5.4961760284e-01
3.7518389677e-04 4.8237403541e-05 -6.4673482243e+00 -1.0769880529e+01 1.1826578050e+01 2.4460442073e+01 1.6801857728e+01 -1.1442627903e+01 1.6801857728e+01 1.1442628272e+01 1.0000000000e+00 5.3086799019e+00 2.9874858259e+00 -4.3882810690e+00 1.3673332096e+01 8.2662378409e-01 5.6275493741e-01
3.7257701698e-04 5.2306095287e-05 -6.5556226999e+00 -1.0417899280e+01 1.0075983852e+01 2.3075467882e+01 1.5082808169e+01 -1.1562447017e+01 1.5082808170e+01 1.1562446976e+01 1.0000000000e+00 5.9311769480e+00 3.4158789112e+00 -4.8487762634e+00 1.3664571980e+01 8.1750659370e-01 5.7591923848e-01
3.6990154715e-04 5.6275654229e-05 -6.6242819992e+00 -1.0097735061e+01 8.5067594141e+00 2.1843326702e+01 1.3552489259e+01 -1.1670011844e+01 1.3552489257e+01 1.1670011843e+01 1.0000000000e+00 6.5600261821e+00 3.8644107053e+00 -5.3009691011e+00 1.3660303802e+01 8.0807133294e-01 5.8908464662e-01
3.6715841412e-04 6.0148865449e-05 -6.6756239529e+00 -9.8031373710e+00 7.0862336575e+00 2.0734834778e+01 1.2176567293e+01 -1.1765957589e+01 1.2176567300e+01 1.1765957590e+01 1.0000000000e+00 7.8390004942e+00 4.8237204816e+00 -6.1791301543e+00 1.3664135867e+01 7.8825484944e-01 6.1534891918e-01
