x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-2.6830270768e-04 7.6241646735e-05 1.4712907384e+01 1.3456427033e+01 5.9493037583e+00 2.2975325712e+01 -4.0435949217e-01 9.1460013180e-01
-2.6465197736e-04 7.7840022737e-05 1.4972136153e+01 1.3736708752e+01 5.9554759376e+00 2.2936005814e+01 -3.9777062382e-01 9.1748489406e-01
-2.6098972601e-04 7.9411818195e-05 1.5217615837e+01 1.4006020075e+01 5.9503977539e+00 2.2896246176e+01 -3.9102036861e-01 9.2038202467e-01
-2.5731594183e-04 8.0956462788e-05 1.5451817872e+01 1.4266241071e+01 5.9357426883e+00 2.2854783329e+01 -3.8414526610e-01 9.2327266532e-01
-2.5363068353e-04 8.2473526523e-05 1.5673832830e+01 1.4516168163e+01 5.9118438298e+00 2.2812616693e+01 -3.7717920650e-01 9.2614029509e-01
-2.4993406015e-04 8.3962681388e-05 1.5884728643e+01 1.4756534698e+01 5.8795652691e+00 2.2769773292e+01 -3.7013948437e-01 9.2897619028e-01
-2.4250723157e-04 8.6856067803e-05 1.6271244010e+01 1.5206170516e+01 5.7901433379e+00 2.2681500638e+01 -3.5585130027e-01 9.3454258977e-01
-2.3877742081e-04 8.8260032134e-05 1.6446618552e+01 1.5414242889e+01 5.7351876996e+00 2.2636551830e+01 -3.4871531078e-01 9.3722869783e-01
-2.3503712654e-04 8.9635828515e-05 1.6610980125e+01 1.5611056894e+01 5.6762279193e+00 2.2590913618e+01 -3.4171541212e-01 9.3980347792e-01
-2.3128676621e-04 9.0983947595e-05 1.6766521834e+01 1.5798759820e+01 5.6138616445e+00 2.2546154942e+01 -3.3482565437e-01 9.4228009699e-01
-2.2752668795e-04 9.2304722117e-05 1.6916258471e+01 1.5980455027e+01 5.5484103831e+00 2.2500663901e+01 -3.2799276463e-01 9.4468023498e-01
-2.2375719621e-04 9.3598388311e-05 1.7059303397e+01 1.6155229747e+01 5.4798160754e+00 2.2454533055e+01 -3.2122156150e-01 9.4700406991e-01
-2.1997858332e-04 9.4865167727e-05 1.7195060165e+01 1.6322540171e+01 5.4078439741e+00 2.2408404145e+01 -3.1449985764e-01 9.4925752014e-01
-2.1239513582e-04 9.7318975207e-05 1.7446405813e+01 1.6635977687e+01 5.2555991276e+00 2.2315372421e+01 -3.0124251286e-01 9.5354755961e-01
-2.0859086646e-04 9.8506492682e-05 1.7562578874e+01 1.6782611032e+01 5.1757263885e+00 2.2268280139e+01 -2.9470195839e-01 9.5558921913e-01
-2.0477859882e-04 9.9668079785e-05 1.7672428538e+01 1.6922434298e+01 5.0937165071e+00 2.2221230373e+01 -2.8822957163e-01 9.5756133696e-01
-2.0095860737e-04 1.0080401139e-04 1.7776018801e+01 1.7055472301e+01 5.0097613699e+00 2.2173865142e+01 -2.8182696171e-01 9.5946524880e-01
-1.9713115705e-04 1.0191455398e-04 1.7873777316e+01 1.7182141142e+01 4.9240167849e+00 2.2126107961e+01 -2.7548831441e-01 9.6130442037e-01
-1.9329650608e-04 1.0299997504e-04 1.7965581500e+01 1.7302269323e+01 4.8366925572e+00 2.2078449703e+01 -2.6921992796e-01 9.6307872492e-01
-1.8945491235e-04 1.0406056479e-04 1.8051215461e+01 1.7415604920e+01 4.7479558655e+00 2.2030376240e+01 -2.6302693443e-01 9.6478849069e-01
-1.8560662605e-04 1.0509661071e-04 1.8131414310e+01 1.7522874031e+01 4.6580114403e+00 2.1982448573e+01 -2.5690281854e-01 9.6643724154e-01
-1.7789093782e-04 1.0709620330e-04 1.8275772601e+01 1.7719365415e+01 4.4752601548e+00 2.1885594068e+01 -2.4487392421e-01 9.6955492946e-01
-1.7402400892e-04 1.0806034890e-04 1.8338988475e+01 1.7807637287e+01 4.3825280978e+00 2.1837101086e+01 -2.3897327292e-01 9.7102614529e-01
-1.7015132658e-04 1.0900112129e-04 1.8396537078e+01 1.7889568136e+01 4.2890474882e+00 2.1788288166e+01 -2.3314428525e-01 9.7244215368e-01
-1.6627311167e-04 1.0991882275e-04 1.8448905660e+01 1.7965590993e+01 4.1951949095e+00 2.1739779936e+01 -2.2739532560e-01 9.7380252921e-01
-1.6238958261e-04 1.1081377211e-04 1.8495064951e+01 1.8034703018e+01 4.1008431599e+00 2.1690494389e+01 -2.2172634541e-01 9.7510893122e-01
-1.5850094839e-04 1.1168627498e-04 1.8534645549e+01 1.8096568597e+01 4.0059069688e+00 2.1641446235e+01 -2.1613075676e-01 9.7636442786e-01
-1.5460741489e-04 1.1253665143e-04 1.8568679799e+01 1.8152137800e+01 3.9109797742e+00 2.1592882868e+01 -2.1062239300e-01 9.7756749515e-01
-1.5070918434e-04 1.1336523277e-04 1.8597454191e+01 1.8201728511e+01 3.8160688632e+00 2.1543779235e+01 -2.0519307772e-01 9.7872151343e-01
-1.4289940833e-04 1.1495833026e-04 1.8634324939e+01 1.8278127439e+01 3.6260340968e+00 2.1445014883e+01 -1.9458897001e-01 9.8088487232e-01
-1.3898824273e-04 1.1572354175e-04 1.8642903590e+01 1.8305377750e+01 3.5314302658e+00 2.1396303590e+01 -1.8942490630e-01 9.8189521074e-01
-1.3507314025e-04 1.1646835241e-04 1.8645246336e+01 1.8325675618e+01 3.4372698569e+00 2.1347180398e+01 -1.8435100266e-01 9.8286047220e-01
-1.3115427834e-04 1.1719312626e-04 1.8640132333e+01 1.8337822120e+01 3.3434732358e+00 2.1297639765e+01 -1.7936960833e-01 9.8378175609e-01
-1.2723183423e-04 1.1789826022e-04 1.8627104153e+01 1.8341328550e+01 3.2503347787e+00 2.1248637294e+01 -1.7449490548e-01 9.8465807667e-01
