x_m y_m sigma_comp_mag_Pa
4.0000000000e-04 0.0000000000e+00 -1.2202159532e+00
-4.0000000000e-04 3.0616169979e-20 -1.6714290142e+00
3.9615792774e-04 6.0426062053e-06 9.3434443307e+00
3.7876724978e-04 3.8584532457e-05 1.7792277604e+01
3.6617887759e-04 5.6858560547e-05 1.7972994945e+01
3.5825916991e-04 6.6760916372e-05 1.7965065665e+01
3.5554653711e-04 6.9914657617e-05 1.7962279827e+01
3.4431830991e-04 8.1861508236e-05 1.7931015107e+01
3.3248346320e-04 9.2810268239e-05 1.7902380084e+01
3.2007976497e-04 1.0280953733e-04 1.7885824134e+01
3.0717409075e-04 1.1190204811e-04 1.7863672625e+01
3.0387799961e-04 1.1403867377e-04 1.7849552565e+01
2.9383829337e-04 1.2013127587e-04 1.7836243284e+01
2.8703024736e-04 1.2393542803e-04 1.7815435015e+01
2.7666682507e-04 1.2926895630e-04 1.7794876729e+01
2.5905412049e-04 1.3720813729e-04 1.7687226381e+01
2.3748703393e-04 1.4530104204e-04 1.7505923278e+01
2.1552868247e-04 1.5197598710e-04 1.7244000792e+01
5.4567790607e-06 1.4602303052e-04 -1.0898115280e-01
-1.2259250962e-05 1.3698560932e-04 4.0587689960e+00
-4.2117538950e-05 1.2854240067e-04 6.5921517788e+01
-6.5925374775e-05 1.2498900852e-04 5.1786960597e+01
-7.0821035897e-05 1.2428121009e-04 5.0681928666e+01
-8.8215069781e-05 1.2170249217e-04 4.9245055132e+01
-9.3247876861e-05 1.2092484325e-04 4.9167715605e+01
-1.1103697830e-04 1.1801355102e-04 4.9356217007e+01
-1.1616146884e-04 1.1712026387e-04 4.9482360608e+01
-1.3420750732e-04 1.1374737335e-04 5.0069820897e+01
-1.3938853259e-04 1.1270816704e-04 5.0265868100e+01
-1.5497629297e-04 1.0937252490e-04 5.0902167245e+01
-1.6278686114e-04 1.0757593931e-04 5.1243657056e+01
-1.7581425305e-04 1.0438019046e-04 5.1835626750e+01
-1.8363000934e-04 1.0233713955e-04 5.2199269336e+01
-1.9664325931e-04 9.8713708543e-05 5.2814074161e+01
-2.0443797559e-04 9.6404209169e-05 5.3181053510e+01
-2.1221913629e-04 9.3989825759e-05 5.3538385517e+01
-2.1739784002e-04 9.2320654433e-05 5.3768762369e+01
-2.2515124003e-04 8.9725592875e-05 5.4094303983e+01
-2.3288580947e-04 8.7018703576e-05 5.4381434952e+01
-2.3545967700e-04 8.6091126485e-05 5.4470089245e+01
-2.4573365102e-04 8.2252295967e-05 5.4738524748e+01
-2.5341810032e-04 7.9236337687e-05 5.4833237230e+01
-2.5597617480e-04 7.8204702084e-05 5.4841722196e+01
-2.6364285011e-04 7.5030841669e-05 5.4752238670e+01
-2.7386003479e-04 7.0617414764e-05 5.4303585497e+01
-2.8153857314e-04 6.7178066790e-05 5.3606279016e+01
-2.8410580896e-04 6.6009229022e-05 5.3277374105e+01
-2.9185150767e-04 6.2446608751e-05 5.1874574159e+01
-3.0238256824e-04 5.7624564085e-05 4.8320927924e+01
-3.1667553088e-04 5.1905945839e-05 -5.1401680077e+00
-3.2026264228e-04 5.0617665259e-05 9.6782191418e+00
-3.2420292804e-04 4.9057211098e-05 2.0011378505e+01
-3.2846771666e-04 4.7184044730e-05 2.2889058882e+01
-3.3296078120e-04 4.5004263749e-05 2.1004241798e+01
-3.3761306460e-04 4.2565430802e-05 2.0049708176e+01
-3.4241912039e-04 3.9883762911e-05 1.8822784392e+01
-3.4739259003e-04 3.6955173541e-05 1.7535504402e+01
-3.5253227394e-04 3.3785124306e-05 1.7608445934e+01
-3.5793033124e-04 3.0318946934e-05 1.8398111247e+01
-3.6963072547e-04 2.2328787342e-05 1.8723676205e+01
-3.9600000000e-04 3.0463089129e-20 -9.8053574373e-01
3.9600000000e-04 1.5308084989e-22 -1.2458394042e+00
2.6758230447e-05 1.5130295348e-04 1.9172352091e+01
-3.7903618181e-04 1.3306336239e-05 1.7102906440e+01
-1.6571321994e-04 4.1903809401e-05 5.7563634331e+01
1.2169627618e-04 6.9000186122e-05 2.1165600337e+01
2.3981618365e-04 7.0099945850e-05 1.9530341864e+01
5.0431430047e-05 9.7780906512e-05 1.4872900077e+01
2.6206651710e-05 9.6125067646e-05 8.6746803413e-01
-1.8966569413e-04 6.9189569181e-05 5.2907235361e+01
2.6499674685e-04 4.0184241931e-05 1.9680781148e+01
2.3838808384e-04 4.1038554335e-05 2.2581037816e+01
2.1530073488e-04 4.1766767568e-05 2.2267276184e+01
