x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-2.8719813890e-04 6.7421941848e-05 1.2413766851e+01 1.1267551260e+01 5.2099804252e+00 2.3250856623e+01 -4.1969375514e-01 9.0766577103e-01
-2.8357702822e-04 6.9092338362e-05 1.2828437436e+01 1.1653624115e+01 5.3630077428e+00 2.3230332888e+01 -4.1805619503e-01 9.0842116763e-01
-2.7995172492e-04 7.0753604511e-05 1.3216645703e+01 1.2024094662e+01 5.4864260854e+00 2.3205832470e+01 -4.1511486415e-01 9.0976900891e-01
-2.7632017058e-04 7.2401147790e-05 1.3581031685e+01 1.2379882409e+01 5.5841680828e+00 2.3177268641e+01 -4.1117407073e-01 9.1155684604e-01
-2.7268085598e-04 7.4031464931e-05 1.3921674529e+01 1.2719699101e+01 5.6588228875e+00 2.3145845236e+01 -4.0647573507e-01 9.1366157673e-01
-2.6903272248e-04 7.5641940774e-05 1.4241308876e+01 1.3044757877e+01 5.7139452594e+00 2.3112475180e+01 -4.0122332219e-01 9.1598026492e-01
-2.6537504225e-04 7.7230605884e-05 1.4544489298e+01 1.3358385458e+01 5.7528868327e+00 2.3076630824e+01 -3.9553721789e-01 9.1844994924e-01
-2.6170731934e-04 7.8795938781e-05 1.4829011449e+01 1.3657775921e+01 5.7762217253e+00 2.3039416455e+01 -3.8952169842e-01 9.2101728891e-01
-2.5802925310e-04 8.0336805545e-05 1.5097186005e+01 1.3944329466e+01 5.7862510327e+00 2.3000752828e+01 -3.8326685720e-01 9.2363765416e-01
-2.5434074447e-04 8.1852502749e-05 1.5351882083e+01 1.4219750895e+01 5.7861012757e+00 2.2960950543e+01 -3.7689849651e-01 9.2625456724e-01
-2.5064180678e-04 8.3342565013e-05 1.5596449472e+01 1.4487046857e+01 5.7770848632e+00 2.2920233455e+01 -3.7041025738e-01 9.2886825827e-01
-2.4693238218e-04 8.4806319863e-05 1.5832420500e+01 1.4748126241e+01 5.7583253876e+00 2.2878156475e+01 -3.6370467722e-01 9.3151430895e-01
-2.4321215039e-04 8.6242371755e-05 1.6054195513e+01 1.4999257711e+01 5.7235881838e+00 2.2834082464e+01 -3.5651666127e-01 9.3428896506e-01
-2.3948075293e-04 8.7649148384e-05 1.6251945514e+01 1.5229932105e+01 5.6722924001e+00 2.2788727631e+01 -3.4902236137e-01 9.3711439604e-01
-2.3573860641e-04 8.9027093207e-05 1.6429678205e+01 1.5438630052e+01 5.6198779379e+00 2.2744068430e+01 -3.4205648264e-01 9.3967939356e-01
-2.3198653143e-04 9.0377777743e-05 1.6599207085e+01 1.5638004501e+01 5.5665510927e+00 2.2699827804e+01 -3.3535042151e-01 9.4209346394e-01
