x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa
3.1872251723e-04 1.1374835041e-04 -4.0283436790e+00 -8.3184494556e+00 -3.6524693141e+00 1.4409915908e+01 4.4791623322e+00 -1.2159975325e+01 4.4791623322e+00 1.2159975325e+01
3.1507752710e-04 1.1642357423e-04 -3.8317913015e+00 -8.2295074588e+00 -4.0921180423e+00 1.4254142567e+01 4.2676783763e+00 -1.2191587720e+01 4.2676783763e+00 1.2191587720e+01
3.1138727332e-04 1.1902788967e-04 -3.6331253362e+00 -8.1408150136e+00 -4.5123690432e+00 1.4119543086e+01 4.0791748120e+00 -1.2224669191e+01 4.0791748120e+00 1.2224669191e+01
3.0765330376e-04 1.2156199550e-04 -3.4316250815e+00 -8.0537720692e+00 -4.9127571137e+00 1.4007136881e+01 3.9148331515e+00 -1.2259215347e+01 3.9148331515e+00 1.2259215347e+01
3.0387710273e-04 1.2402659240e-04 -3.2274884087e+00 -7.9667465987e+00 -5.2948951176e+00 1.3913279774e+01 3.7716440600e+00 -1.2294027586e+01 3.7716440600e+00 1.2294027586e+01
3.0006005403e-04 1.2642229868e-04 -3.0195609757e+00 -7.8800574676e+00 -5.6617112035e+00 1.3837972408e+01 3.6487210051e+00 -1.2329993184e+01 3.6487210051e+00 1.2329993184e+01
2.9620356680e-04 1.2874977410e-04 -2.8097776545e+00 -7.7933652857e+00 -6.0128448216e+00 1.3779423654e+01 3.5442427179e+00 -1.2366865194e+01 3.5442427179e+00 1.2366865194e+01
2.9230897009e-04 1.3100963320e-04 -2.5958768289e+00 -7.7067654246e+00 -6.3493487363e+00 1.3737456630e+01 3.4587115010e+00 -1.2403937066e+01 3.4587115010e+00 1.2403937066e+01
2.8837750595e-04 1.3320242308e-04 -2.3797622453e+00 -7.6201300067e+00 -6.6735569739e+00 1.3711178144e+01 3.3894927826e+00 -1.2442812002e+01 3.3894927826e+00 1.2442812002e+01
2.8441043309e-04 1.3532873251e-04 -2.1593602431e+00 -7.5333556321e+00 -6.9839989218e+00 1.3699770779e+01 3.3378867645e+00 -1.2481245929e+01 3.3378867645e+00 1.2481245929e+01
2.8040888588e-04 1.3738905552e-04 -1.9355495880e+00 -7.4466262004e+00 -7.2828507891e+00 1.3703043070e+01 3.3022554168e+00 -1.2520655794e+01 3.3022554167e+00 1.2520655794e+01
2.7637400047e-04 1.3938388246e-04 -1.7067219972e+00 -7.3600243499e+00 -7.5703662998e+00 1.3721169039e+01 3.2833764898e+00 -1.2560464787e+01 3.2833764898e+00 1.2560464787e+01
2.7230681857e-04 1.4131367610e-04 -1.4742410634e+00 -7.2730779487e+00 -7.8477305934e+00 1.3752495402e+01 3.2790210937e+00 -1.2600992751e+01 3.2790210939e+00 1.2600992751e+01
2.6820838148e-04 1.4317882190e-04 -1.2369453268e+00 -7.1844914864e+00 -8.1158919839e+00 1.3795472288e+01 3.2884009839e+00 -1.2641238295e+01 3.2884009836e+00 1.2641238295e+01
2.6407965482e-04 1.4497969219e-04 -9.9319492030e-01 -7.0965651884e+00 -8.3738111592e+00 1.3853346287e+01 3.3147301684e+00 -1.2681736248e+01 3.3147301685e+00 1.2681736248e+01
2.5992152639e-04 1.4671663131e-04 -7.4518052884e-01 -7.0082571072e+00 -8.6228947187e+00 1.3923206541e+01 3.3545294204e+00 -1.2722604668e+01 3.3545294237e+00 1.2722604668e+01
2.5573484853e-04 1.4838987100e-04 -4.8778337840e-01 -6.9200663587e+00 -8.8637644368e+00 1.4008917631e+01 3.4122784579e+00 -1.2763826273e+01 3.4122784530e+00 1.2763826273e+01
2.5152050331e-04 1.4999959305e-04 -2.2586799188e-01 -6.8287256193e+00 -9.0984583150e+00 1.4103611274e+01 3.4805606123e+00 -1.2804886919e+01 3.4805606072e+00 1.2804886919e+01
2.4727921144e-04 1.5154601961e-04 4.3211056567e-02 -6.7381429303e+00 -9.3242379420e+00 1.4212153916e+01 3.5648774464e+00 -1.2845904333e+01 3.5648774331e+00 1.2845904332e+01
2.4301175085e-04 1.5302923362e-04 3.2254783386e-01 -6.6450722996e+00 -9.5429854284e+00 1.4332966493e+01 3.6649232655e+00 -1.2885360860e+01 3.6649232624e+00 1.2885360860e+01
2.3871875126e-04 1.5444921919e-04 6.1042064626e-01 -6.5509342240e+00 -9.7559225808e+00 1.4467285829e+01 3.7799404005e+00 -1.2925442335e+01 3.7799404184e+00 1.2925442335e+01
2.3440085989e-04 1.5580588753e-04 9.0852883017e-01 -6.4555674453e+00 -9.9630127989e+00 1.4615927303e+01 3.9112675785e+00 -1.2965751547e+01 3.9112676021e+00 1.2965751547e+01
2.3005866709e-04 1.5709912959e-04 1.2163263503e+00 -6.3581822921e+00 -1.0164301067e+01 1.4777387030e+01 4.0577410214e+00 -1.3005715738e+01 4.0577410188e+00 1.3005715738e+01
2.2569277251e-04 1.5832872373e-04 1.5372451392e+00 -6.2571834606e+00 -1.0359497388e+01 1.4952101065e+01 4.2214734502e+00 -1.3043725699e+01 4.2214733282e+00 1.3043725699e+01
2.2130366424e-04 1.5949433356e-04 1.8701439931e+00 -6.1535371723e+00 -1.0549726370e+01 1.5140707409e+01 4.4017003102e+00 -1.3081282687e+01 4.4017000525e+00 1.3081282687e+01
2.1689183643e-04 1.6059545982e-04 2.2174199110e+00 -6.0460981002e+00 -1.0735547517e+01 1.5344462697e+01 4.6000658656e+00 -1.3118193472e+01 4.6000658521e+00 1.3118193472e+01
2.1245770279e-04 1.6163150880e-04 2.5809415092e+00 -5.9350905510e+00 -1.0916872410e+01 1.5564963673e+01 4.8184705161e+00 -1.3154401417e+01 4.8184704226e+00 1.3154401417e+01
2.0800165879e-04 1.6260176174e-04 2.9615958934e+00 -5.8195827298e+00 -1.1093453264e+01 1.5801910202e+01 5.0573084231e+00 -1.3189165794e+01 5.0573092547e+00 1.3189165794e+01
2.0352408140e-04 1.6350530452e-04 3.3626844521e+00 -5.6984215183e+00 -1.1265624704e+01 1.6057490278e+01 5.3193262088e+00 -1.3222266460e+01 5.3193251608e+00 1.3222266460e+01
1.9902525099e-04 1.6434108453e-04 3.7809261817e+00 -5.5717977279e+00 -1.1435516331e+01 1.6331096867e+01 5.6014680976e+00 -1.3256058247e+01 5.6014663900e+00 1.3256058247e+01
1.9450558496e-04 1.6510776823e-04 4.2250399978e+00 -5.4353338421e+00 -1.1600173416e+01 1.6624814995e+01 5.9107747037e+00 -1.3285908122e+01 5.9107747530e+00 1.3285908122e+01
1.8996523710e-04 1.6580376510e-04 4.6945195856e+00 -5.2913432671e+00 -1.1761714035e+01 1.6941452874e+01 6.2475551525e+00 -1.3314749602e+01 6.2475506160e+00 1.3314749602e+01
1.8540449763e-04 1.6642722282e-04 5.1917738897e+00 -5.1369186782e+00 -1.1920015964e+01 1.7282034409e+01 6.6136661812e+00 -1.3341908255e+01 6.6136652620e+00 1.3341908255e+01
1.8082357714e-04 1.6697591952e-04 5.7213727655e+00 -4.9697185880e+00 -1.2075507673e+01 1.7649768067e+01 7.0130308905e+00 -1.3367165798e+01 7.0130293571e+00 1.3367165798e+01
1.7622273020e-04 1.6744721396e-04 6.2854863855e+00 -4.7862474250e+00 -1.2226076573e+01 1.8043902207e+01 7.4473567022e+00 -1.3387946890e+01 7.4473753663e+00 1.3387946890e+01
1.7160211355e-04 1.6783778409e-04 6.9022309735e+00 -4.5868216601e+00 -1.2372335512e+01 1.8480827734e+01 7.9348585981e+00 -1.3404963136e+01 7.9348372228e+00 1.3404963136e+01
1.6696174834e-04 1.6814363635e-04 7.5587905893e+00 -4.3663466886e+00 -1.2520977796e+01 1.8955304245e+01 8.4627564051e+00 -1.3424943612e+01 8.4627367624e+00 1.3424943612e+01
1.6230214797e-04 1.6836010226e-04 8.2794160789e+00 -4.1101802067e+00 -1.2657644272e+01 1.9472866491e+01 9.0535506137e+00 -1.3431778807e+01 9.0535180497e+00 1.3431778807e+01
1.5762330701e-04 1.6848097568e-04 9.0674632933e+00 -3.8214387837e+00 -1.2792342812e+01 2.0046283817e+01 9.7112875984e+00 -1.3436167117e+01 9.7112030377e+00 1.3436167117e+01
1.5292542040e-04 1.6849814867e-04 9.9570420492e+00 -3.4852920667e+00 -1.2921497016e+01 2.0701740346e+01 1.0469927878e+01 -1.3434382845e+01 1.0470546158e+01 1.3434382845e+01
1.4820868330e-04 1.6840082347e-04 1.0963101180e+01 -3.0794510512e+00 -1.3027232916e+01 2.1436036632e+01 1.1344035652e+01 -1.3408167387e+01 1.1343739970e+01 1.3408167387e+01
1.4347257621e-04 1.6817273869e-04 1.2167811450e+01 -2.6090008591e+00 -1.3230102670e+01 2.2430575197e+01 1.2419153018e+01 -1.3481444238e+01 1.2418980705e+01 1.3481444238e+01
1.3871662636e-04 1.6778380722e-04 1.4452992349e+01 -1.9595198343e+00 -1.2724273990e+01 2.3745506851e+01 1.4573833952e+01 -1.2845115593e+01 1.4576225808e+01 1.2845115593e+01
1.3395649011e-04 1.6714648740e-04 1.1633420096e+01 -3.5116295366e-01 -1.6224957706e+01 2.4087449315e+01 1.1611126541e+01 -1.6202664151e+01 1.1608165920e+01 1.6202664151e+01
1.2944192993e-04 1.6624740868e-04 9.1265220954e+00 -9.4227766254e-02 -1.7750469752e+01 2.3306353538e+01 9.1439556608e+00 -1.7767903317e+01 9.1384939645e+00 1.7767903317e+01
1.2529173633e-04 1.6527041090e-04 8.4026877387e+00 -6.9790464933e-01 -1.8130019839e+01 2.3026577707e+01 8.4307347872e+00 -1.8158066888e+01 8.4293360454e+00 1.8158066888e+01
1.2135947137e-04 1.6433975044e-04 7.4292296446e+00 -1.3763721509e+00 -1.7700403718e+01 2.1886966047e+01 7.5008587024e+00 -1.7772032776e+01 7.5010778777e+00 1.7772032776e+01
1.1752158758e-04 1.6346574016e-04 6.0011959527e+00 -1.9503575930e+00 -1.7261606536e+01 2.0416937926e+01 6.1575193159e+00 -1.7417929900e+01 6.1578075860e+00 1.7417929901e+01
1.1371566213e-04 1.6262242678e-04 4.4720154638e+00 -2.2697299953e+00 -1.7314889392e+01 1.9257795049e+01 4.6970561914e+00 -1.7539930120e+01 4.6963519402e+00 1.7539930114e+01
1.0992991538e-04 1.6178410428e-04 3.3759824351e+00 -2.3519427620e+00 -1.7720018529e+01 1.8711500599e+01 3.6310718611e+00 -1.7975107955e+01 3.6185625783e+00 1.7975107960e+01
1.0615409717e-04 1.6093297311e-04 3.2467504930e+00 -2.2612273602e+00 -1.7867891399e+01 1.8701060210e+01 3.4864916932e+00 -1.8107632599e+01 3.4829614586e+00 1.8107632677e+01
1.0238539622e-04 1.6005445445e-04 3.5981821768e+00 -1.9896326027e+00 -1.7871559932e+01 1.8905513557e+01 3.7784144634e+00 -1.8051792219e+01 3.7866591623e+00 1.8051791112e+01
