x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
3.0048152626e-04 1.2614705782e-04 -3.3585451064e+00 -7.6935287928e+00 -5.8063217777e+00 1.3492006588e+01 3.2071801935e+00 -1.2372047078e+01 3.2071801935e+00 1.2372047078e+01 1.0000000000e+00 2.0697034191e+01 1.7551494911e+01 -1.0968694119e+01 1.4529784849e+01 5.2996453588e-01 8.4801980561e-01
2.9275283878e-04 1.3072348435e-04 -2.9355429978e+00 -7.5322818254e+00 -6.4780882059e+00 1.3401042581e+01 3.0302799400e+00 -1.2443911144e+01 3.0302799400e+00 1.2443911144e+01 1.0000000000e+00 2.1924123324e+01 1.9111702486e+01 -1.0742905176e+01 1.4737036343e+01 4.9000386548e-01 8.7172026007e-01
2.7685934169e-04 1.3907514384e-04 -2.0363650427e+00 -7.2136728081e+00 -7.6711035164e+00 1.3412611706e+01 2.8900406992e+00 -1.2597509258e+01 2.8900406987e+00 1.2597509258e+01 1.0000000000e+00 2.3410606552e+01 2.1055261488e+01 -1.0233887962e+01 1.5029502323e+01 4.3714749290e-01 8.9938983175e-01
2.6459159272e-04 1.4465134775e-04 -1.2980154441e+00 -6.9745267682e+00 -8.4545269659e+00 1.3576450242e+01 2.9620959968e+00 -1.2714638407e+01 2.9620960032e+00 1.2714638407e+01 1.0000000000e+00 2.4769643054e+01 2.2863825112e+01 -9.5278915959e+00 1.5336748347e+01 3.8466002821e-01 9.2305832031e-01
2.5205315653e-04 1.4964640106e-04 -4.8290207320e-01 -6.7334870620e+00 -9.1609370401e+00 1.3873530321e+01 3.1879669089e+00 -1.2831806022e+01 3.1879668311e+00 1.2831806022e+01 1.0000000000e+00 2.5727372061e+01 2.4145119588e+01 -8.8831792305e+00 1.5577546901e+01 3.4528125179e-01 9.3849925794e-01
2.3494697728e-04 1.5540346944e-04 7.6922155086e-01 -6.4008879367e+00 -1.0005175520e+01 1.4488920801e+01 3.7472053401e+00 -1.2983159309e+01 3.7472053949e+00 1.2983159309e+01 1.0000000000e+00 2.6957379597e+01 2.5781695957e+01 -7.8742916084e+00 1.5916138321e+01 2.9210152196e-01 9.5638731739e-01
7.8134641280e-05 1.5603367398e-04 7.1510201327e+00 -5.6617519827e-01 -1.8330704782e+01 2.2051228553e+01 7.1414404165e+00 -1.8321125066e+01 7.1042602024e+00 1.8321456516e+01 1.0000000000e+00 2.8000241818e+01 2.7326727275e+01 6.1043851679e+00 1.9668974607e+01 -2.1801187317e-01 9.7594611693e-01
6.3202198567e-05 1.5084174636e-04 1.1430214452e+01 3.3002459014e+00 -1.8829920070e+01 2.6314862046e+01 1.1493039877e+01 -1.8892745495e+01 1.2279921007e+01 1.8666501624e+01 1.0000000000e+00 2.7157741201e+01 2.5383079726e+01 9.6561985684e+00 2.0437198586e+01 -3.5555970936e-01 9.3465356848e-01
5.6458901834e-05 1.4672006074e-04 4.0290469662e+00 9.2336110230e+00 -2.7377207860e+01 2.5482107734e+01 3.0380213128e+00 -2.6386182206e+01 1.6896115076e+00 2.0734365495e+01 1.0000000000e+00 2.4268394262e+01 2.1222533964e+01 1.1771109216e+01 2.1073775210e+01 -4.8503865106e-01 8.7449271408e-01
2.8616925866e-05 1.3496159347e-04 -6.3833640879e+01 -9.7156616883e+00 -3.4688578958e+01 3.0250919638e+01 -3.1795733322e+01 -6.6726486515e+01 -4.7612172123e-08 6.6726486511e+01 1.0000000000e+00 1.0651584674e+01 1.0488357873e+01 1.8575804708e+00 2.0103631270e+01 -1.7439475230e-01 9.8467581994e-01
1.0007388016e-05 1.3263574621e-04 -4.7008059798e+01 -5.3578196613e+00 -3.4066717606e+01 1.4541781709e+01 -3.2141687118e+01 -4.8933090286e+01 -7.5819776645e-09 4.8933090286e+01 1.0000000000e+00 1.3675520360e+01 1.3589266056e+01 1.5335270324e+00 2.0012975001e+01 -1.1213664944e-01 9.9369279551e-01
-6.7749325329e-06 1.3112041047e-04 -4.4482145674e+01 -3.1170031444e+00 -3.3063301906e+01 1.1211056120e+01 -3.2300017521e+01 -4.5245430059e+01 2.1456881560e-08 4.5245430059e+01 1.0000000000e+00 1.5195326562e+01 1.5140391251e+01 1.2909307022e+00 2.0044856017e+01 -8.4955772223e-02 9.9638472327e-01
-9.1997971381e-06 1.3092781219e-04 -4.3269705754e+01 -2.6417038166e+00 -3.2867036363e+01 1.0066390650e+01 -3.2256537707e+01 -4.3880204411e+01 1.5596014311e-08 4.3880204411e+01 1.0000000000e+00 1.5195326562e+01 1.5140391251e+01 1.2909307022e+00 2.0044856017e+01 -8.4955772223e-02 9.9638472327e-01
-2.3924828750e-05 1.2978201566e-04 -3.6277161583e+01 -3.9109332591e-01 -3.2094688883e+01 3.5460407177e+00 -3.2138617670e+01 -3.6233232796e+01 -1.1432845254e-08 3.6233232796e+01 1.0000000000e+00 1.6497819998e+01 1.6443757731e+01 1.3345022871e+00 2.0160716725e+01 -8.0889613738e-02 9.9672306605e-01
-2.6406640556e-05 1.2958762972e-04 -3.5192814770e+01 -6.6215221048e-02 -3.1998315811e+01 2.5387523549e+00 -3.2129815935e+01 -3.5061314646e+01 -2.4043809597e-08 3.5061314646e+01 1.0000000000e+00 1.6760813018e+01 1.6705124174e+01 1.3651664179e+00 2.0196385854e+01 -8.1449892461e-02 9.9667743780e-01
-4.1449408261e-05 1.2836066097e-04 -2.9083931569e+01 1.6759283148e+00 -3.1555354457e+01 3.5132927943e+00 -2.8291242473e+01 -3.2348043554e+01 -5.0460587615e-08 3.2348043554e+01 1.0000000000e+00 1.7433275949e+01 1.7369048008e+01 1.4950858188e+00 2.0314554844e+01 -8.5760463104e-02 9.9631578476e-01
-4.3980306956e-05 1.2814279348e-04 -2.8148802041e+01 1.9415419193e+00 -3.1493433313e+01 4.3601007226e+00 -2.7303812351e+01 -3.2338423003e+01 -3.8475615500e-08 3.2338423003e+01 1.0000000000e+00 1.7622039157e+01 1.7553844294e+01 1.5488106921e+00 2.0356693091e+01 -8.7890548779e-02 9.9613013780e-01
-5.9292277277e-05 1.2672876967e-04 -2.3023193264e+01 3.4492690875e+00 -3.1156956515e+01 9.2110523045e+00 -2.1772071362e+01 -3.2408078417e+01 3.4505570793e-07 3.2408078417e+01 1.0000000000e+00 1.8231577281e+01 1.8141996541e+01 1.8050960271e+00 2.0536586346e+01 -9.9009317697e-02 9.9508650629e-01
-7.4793410024e-05 1.2509516430e-04 -1.8735572195e+01 4.8861621877e+00 -3.0833852378e+01 1.3456386610e+01 -1.7015663855e+01 -3.2553760718e+01 1.2554146373e-06 3.2553760718e+01 1.0000000000e+00 1.8642398651e+01 1.8522438753e+01 2.1114663352e+00 2.0726926750e+01 -1.1326151611e-01 9.9356521123e-01
-7.7392647916e-05 1.2479849910e-04 -1.8098316198e+01 5.1234938877e+00 -3.0778099274e+01 1.4110143876e+01 -1.6291712371e+01 -3.2584703101e+01 3.2487050062e-06 3.2584703101e+01 1.0000000000e+00 1.8719624927e+01 1.8590612696e+01 2.1939637574e+00 2.0775921213e+01 -1.1720126691e-01 9.9310818295e-01
-9.0445854078e-05 1.2320052946e-04 -1.5243726701e+01 6.3062350393e+00 -3.0482800230e+01 1.7123978655e+01 -1.2976729779e+01 -3.2749797152e+01 -7.2889006560e-06 3.2749797152e+01 1.0000000000e+00 1.8894971059e+01 1.8735235186e+01 2.4517124267e+00 2.0923898618e+01 -1.2975475957e-01 9.9154611712e-01
-9.5690579767e-05 1.2250507625e-04 -1.4249006607e+01 6.7802402735e+00 -3.0354390687e+01 1.8225273819e+01 -1.1779331901e+01 -3.2824065393e+01 -1.4962472186e-05 3.2824065393e+01 1.0000000000e+00 1.8936481333e+01 1.8765286111e+01 2.5405437290e+00 2.0973701395e+01 -1.3416134098e-01 9.9095950199e-01
-1.0884938373e-04 1.2061650472e-04 -1.2108737351e+01 7.9733267700e+00 -3.0000724856e+01 2.0750706561e+01 -9.0743050846e+00 -3.3035157122e+01 3.8020341476e-04 3.3035157122e+01 1.0000000000e+00 1.9015862329e+01 1.8806575783e+01 2.8134902582e+00 2.1123775678e+01 -1.4795491308e-01 9.8899410701e-01
-1.1148790695e-04 1.2021212191e-04 -1.1737740600e+01 8.2124928467e+00 -2.9923613300e+01 2.1218334521e+01 -8.5802658023e+00 -3.3081088097e+01 3.5838639733e-04 3.3081088097e+01 1.0000000000e+00 1.9027956825e+01 1.8804717684e+01 2.9061544561e+00 2.1173890015e+01 -1.5273076783e-01 9.8826783442e-01
