x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-5.1538146837e-05,1.2753183505e-04,1.7953972455e+01,1.7876189673e+01,1.6694219663e+00,2.0444828574e+01,-9.2983431411e-02,9.9566765614e-01
-4.7555514872e-05,1.2789836853e-04,1.7795659985e+01,1.7722945262e+01,1.6070860434e+00,2.0400297543e+01,-9.0307751703e-02,9.9591390691e-01
-4.3571957845e-05,1.2825471763e-04,1.7622039157e+01,1.7553844294e+01,1.5488106921e+00,2.0356693091e+01,-8.7890548779e-02,9.9613013780e-01
-3.9587596945e-05,1.2860197337e-04,1.7433275949e+01,1.7369048008e+01,1.4950858188e+00,2.0314554844e+01,-8.5760463104e-02,9.9631578476e-01
-3.5602555700e-05,1.2894134224e-04,1.7227413370e+01,1.7166605024e+01,1.4461823426e+00,2.0273549290e+01,-8.3946574656e-02,9.9647025676e-01
-3.1616962502e-05,1.2927417553e-04,1.7003697785e+01,1.6945744217e+01,1.4026729140e+00,2.0234089719e+01,-8.2492227973e-02,9.9659170793e-01
-2.7630954815e-05,1.2960201613e-04,1.6760813018e+01,1.6705124174e+01,1.3651664179e+00,2.0196385854e+01,-8.1449892461e-02,9.9667743780e-01
-1.9658317785e-05,1.3025010890e-04,1.6213389626e+01,1.6160297864e+01,1.3110210243e+00,2.0127303079e+01,-8.0860390982e-02,9.9672543720e-01
-1.5672040812e-05,1.3057466486e-04,1.5904252093e+01,1.5851423143e+01,1.2952293181e+00,2.0096472907e+01,-8.1439184347e-02,9.9667831282e-01
-1.1686074065e-05,1.3090299745e-04,1.5566607795e+01,1.5513220912e+01,1.2881207947e+00,2.0068837479e+01,-8.2748972139e-02,9.9657042281e-01
-7.7006949724e-06,1.3123836224e-04,1.5195326562e+01,1.5140391251e+01,1.2909307022e+00,2.0044856017e+01,-8.4955772223e-02,9.9638472327e-01
-3.7162978670e-06,1.3158514057e-04,1.4782637580e+01,1.4724690162e+01,1.3076212936e+00,2.0026546258e+01,-8.8456561728e-02,9.9608003528e-01
2.6618598225e-07,1.3195292300e-04,1.4359490461e+01,1.4293914866e+01,1.3707531201e+00,2.0020022675e+01,-9.5459732630e-02,9.9543329231e-01
4.2449761242e-06,1.3235822453e-04,1.4012251090e+01,1.3931476617e+01,1.5023780813e+00,2.0019988425e+01,-1.0721889521e-01,9.9423543917e-01
8.2202963234e-06,1.3279687646e-04,1.3675520360e+01,1.3589266056e+01,1.5335270324e+00,2.0012975001e+01,-1.1213664944e-01,9.9369279551e-01
1.6162753051e-05,1.3374464987e-04,1.2675394808e+01,1.2573346013e+01,1.6051802300e+00,2.0010531314e+01,-1.2663749368e-01,9.9194906381e-01
2.0126768472e-05,1.3427524403e-04,1.2069403332e+01,1.1952751605e+01,1.6739850241e+00,2.0027706831e+01,-1.3869658491e-01,9.9033492180e-01
2.4082917656e-05,1.3486115461e-04,1.1402578177e+01,1.1266019892e+01,1.7594274280e+00,2.0057438353e+01,-1.5430084325e-01,9.8802391154e-01
2.8027722010e-05,1.3551844645e-04,1.0651584674e+01,1.0488357873e+01,1.8575804708e+00,2.0103631270e+01,-1.7439475230e-01,9.8467581994e-01
3.1955799513e-05,1.3626820486e-04,9.8036572975e+00,9.6044889842e+00,1.9660843724e+00,2.0171491849e+01,-2.0054601184e-01,9.7968428442e-01
3.5858226870e-05,1.3713994870e-04,8.8173631320e+00,8.5695644816e+00,2.0756823451e+00,2.0271133741e+01,-2.3540851318e-01,9.7189651297e-01
3.9718262022e-05,1.3817996374e-04,7.5482351203e+00,7.2357912105e+00,2.1492275331e+00,2.0422401362e+01,-2.8473245717e-01,9.5860702472e-01
4.7007643277e-05,1.4129427823e-04,4.7225788686e+00,3.9098052175e+00,2.6488062087e+00,2.1171010587e+01,-5.6088130711e-01,8.2789622498e-01
4.9743518949e-05,1.4407537755e-04,1.0150924927e+01,5.5673440022e+00,8.4879890215e+00,2.1788962850e+01,-8.3617887856e-01,5.4845681968e-01
5.2383289266e-05,1.4700012165e-04,1.9171329631e+01,1.4878307212e+01,1.2090320688e+01,2.1672391650e+01,-6.3064591347e-01,7.7607070027e-01
5.5676442718e-05,1.4922516618e-04,2.4268394262e+01,2.1222533964e+01,1.1771109216e+01,2.1073775210e+01,-4.8503865106e-01,8.7449271408e-01
5.9246538319e-05,1.5101855188e-04,2.6403225794e+01,2.4058497943e+01,1.0877454162e+01,2.0702303153e+01,-4.1197444005e-01,9.1119540207e-01
6.2937102147e-05,1.5255313991e-04,2.7157741201e+01,2.5383079726e+01,9.6561985684e+00,2.0437198586e+01,-3.5555970936e-01,9.3465356848e-01
6.6705936803e-05,1.5388731888e-04,2.7634700608e+01,2.6258132531e+01,8.6131964843e+00,2.0205502967e+01,-3.1168047038e-01,9.5018697338e-01
7.4389194062e-05,1.5610204508e-04,2.7990972810e+01,2.7138917499e+01,6.8537373629e+00,1.9825031226e+01,-2.4485527565e-01,9.6955963921e-01
