x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
3.5561681158e-04 7.9203110540e-05 -6.2806010859e+00 -9.0634177315e+00 2.7299978922e+00 1.7526510160e+01 8.3436337619e+00 -1.1894236956e+01 8.3436337619e+00 1.1894236956e+01 1.0000000000e+00 1.0725835501e+01 6.8868778387e+00 -8.2228012759e+00 1.3640804091e+01 7.6663503513e-01 6.4208311215e-01
3.5259524889e-04 8.2695450773e-05 -6.1368849148e+00 -8.9582483604e+00 1.9282329843e+00 1.7011688718e+01 7.7173770953e+00 -1.1926029026e+01 7.7173770953e+00 1.1926029026e+01 1.0000000000e+00 1.1394629808e+01 7.4821865400e+00 -8.5938625212e+00 1.3666100413e+01 7.5420287156e-01 6.5664147641e-01
3.4950919062e-04 8.6108413390e-05 -5.9871139226e+00 -8.8562809528e+00 1.1768425721e+00 1.6543142186e+01 7.1460519193e+00 -1.1956323270e+01 7.1460519193e+00 1.1956323270e+01 1.0000000000e+00 1.2701990240e+01 8.6970900742e+00 -9.2574931969e+00 1.3727787805e+01 7.2882225716e-01 6.8470294104e-01
3.4636051303e-04 8.9442880169e-05 -5.8316726244e+00 -8.7586520115e+00 4.7387720219e-01 1.6118951791e+01 6.6273834445e+00 -1.1985178867e+01 6.6273834445e+00 1.1985178867e+01 1.0000000000e+00 1.3337040149e+01 9.3118705282e+00 -9.5480734815e+00 1.3765004088e+01 7.1590648110e-01 6.9819618326e-01
3.4315103549e-04 9.2699772252e-05 -5.6728258636e+00 -8.6613362015e+00 -1.8724385058e-01 1.5732668670e+01 6.1532256344e+00 -1.2013295349e+01 6.1532256344e+00 1.2013295349e+01 1.0000000000e+00 1.3956515616e+01 9.9275330042e+00 -9.8096083811e+00 1.3803619067e+01 7.0286944471e-01 7.1131887624e-01
3.3988273397e-04 9.5879848220e-05 -5.5089831660e+00 -8.5675082863e+00 -8.1182774128e-01 1.5383673529e+01 5.7213625993e+00 -1.2042173507e+01 5.7213625993e+00 1.2042173507e+01 1.0000000000e+00 1.4567037546e+01 1.0547494789e+01 -1.0047334797e+01 1.3845321262e+01 6.8973082315e-01 7.2406587518e-01
3.3655738639e-04 9.8984037978e-05 -5.3402082406e+00 -8.4764353810e+00 -1.3977251481e+00 1.5070053669e+01 5.3317328481e+00 -1.2069666237e+01 5.3317328481e+00 1.2069666237e+01 1.0000000000e+00 1.5165439847e+01 1.1168488377e+01 -1.0259407056e+01 1.3890513234e+01 6.7649914275e-01 7.3644341932e-01
3.3317674728e-04 1.0201311014e-04 -5.1682727000e+00 -8.3861935634e+00 -1.9526625671e+00 1.4787005702e+01 4.9768140892e+00 -1.2097749356e+01 4.9768140892e+00 1.2097749356e+01 1.0000000000e+00 1.5746661223e+01 1.1785664050e+01 -1.0442962346e+01 1.3938258037e+01 6.6318581434e-01 7.4845479199e-01
3.2974263126e-04 1.0496778759e-04 -4.9933428383e+00 -8.2978265297e+00 -2.4790823065e+00 1.4534037063e+01 4.6550176384e+00 -1.2127442783e+01 4.6550176384e+00 1.2127442783e+01 1.0000000000e+00 1.6314200821e+01 1.2400270702e+01 -1.0601246859e+01 1.3988498288e+01 6.4981711179e-01 7.6009060067e-01
3.2625677900e-04 1.0784890123e-04 -4.8140007141e+00 -8.2107006431e+00 -2.9772965950e+00 1.4308259262e+01 4.3652286821e+00 -1.2156525991e+01 4.3652286821e+00 1.2156525991e+01 1.0000000000e+00 1.7402735787e+01 1.3613393580e+01 -1.0841158984e+01 1.4095420222e+01 6.2295716701e-01 7.8225594793e-01
