x_m y_m von_mises_Pa wss_mag_dyn_cm2 is_surface
9.1061002759e-05 1.0887367255e-04 2.3717612940e+01 nan 0.0000000000e+00
1.1511818970e-04 1.0804194097e-04 2.1291160301e+01 nan 0.0000000000e+00
2.5077003004e-04 4.7390859045e-05 3.5022661169e+01 nan 0.0000000000e+00
-1.8187623279e-04 7.7607256889e-05 7.4026151835e+01 nan 0.0000000000e+00
3.1922086932e-04 7.5367199462e-05 3.3774334283e+01 nan 0.0000000000e+00
1.5966487294e-04 4.6846666676e-05 8.8105896036e+01 nan 0.0000000000e+00
1.3607083841e-04 4.6054052842e-05 1.0963727362e+02 nan 0.0000000000e+00
2.9871758624e-04 1.6510900262e-05 7.3221034832e+01 nan 0.0000000000e+00
2.5238274169e-04 1.1065747709e-04 2.4692041425e+01 nan 0.0000000000e+00
-1.8329868892e-04 1.4831056829e-05 2.1773412479e+02 nan 0.0000000000e+00
1.3835331600e-04 1.0878312780e-04 1.8007124732e+01 nan 0.0000000000e+00
-2.2915359685e-04 7.7691661232e-05 6.2384461028e+01 nan 0.0000000000e+00
-2.0568869071e-04 1.4964940576e-05 2.2421796218e+02 nan 0.0000000000e+00
9.1710255280e-05 4.5500464110e-05 1.2341738685e+02 nan 0.0000000000e+00
1.8267831109e-04 1.1007236083e-04 2.6144557338e+01 nan 0.0000000000e+00
1.6024514575e-04 1.0949768798e-04 2.4174258625e+01 nan 0.0000000000e+00
2.7534520267e-04 1.0936412512e-04 2.8863963525e+01 nan 0.0000000000e+00
-3.2150697909e-04 4.6007975639e-05 8.8469578262e+01 nan 0.0000000000e+00
3.2110672071e-04 4.5784801994e-05 3.3935060366e+01 nan 0.0000000000e+00
1.8255479940e-04 1.6298619218e-05 1.8636388397e+02 nan 0.0000000000e+00
2.2917410618e-04 4.7453200100e-05 4.6059814574e+01 nan 0.0000000000e+00
1.6145540008e-04 1.5707753389e-05 1.9211191225e+02 nan 0.0000000000e+00
-1.6076372649e-04 1.4746684078e-05 2.1193132244e+02 nan 0.0000000000e+00
-1.3807449860e-04 1.4693176376e-05 2.0701990018e+02 nan 0.0000000000e+00
-1.1528823875e-04 1.4661702003e-05 2.0299821620e+02 nan 0.0000000000e+00
