x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.8774366252e-05,1.3473640569e-04,1.1705232108e+01,1.1599421240e+01,1.5703138509e+00,1.9862276678e+01,-1.3415486652e-01,9.9096037852e-01
4.6660890538e-05,1.3594376350e-04,1.0448202770e+01,1.0295224309e+01,1.7813751865e+00,1.9933078698e+01,-1.7049584754e-01,9.8535839468e-01
5.4480946130e-05,1.3751929713e-04,8.9376992661e+00,8.7028013655e+00,2.0356120858e+00,2.0073283547e+01,-2.2775571489e-01,9.7371830338e-01
5.8344285165e-05,1.3851016049e-04,8.0143153136e+00,7.7188928137e+00,2.1559090136e+00,2.0187523632e+01,-2.6900726129e-01,9.6313814864e-01
6.5847179580e-05,1.4118121001e-04,5.4285641908e+00,4.9401298611e+00,2.2504279879e+00,2.0617408741e+01,-4.1455307681e-01,9.1002513510e-01
7.1725212041e-05,1.4627308674e-04,1.1837854972e+01,6.6577902769e+00,9.7881887481e+00,2.1663499282e+01,-8.2685493032e-01,5.6241525957e-01
7.4450247491e-05,1.4908717570e-04,2.0075355546e+01,1.6225770958e+01,1.1821347517e+01,2.1370063115e+01,-5.8884872498e-01,8.0824326727e-01
8.1375868091e-05,1.5299146226e-04,2.5321135364e+01,2.3089724459e+01,1.0393484522e+01,2.0487451974e+01,-4.1046676512e-01,9.1187555880e-01
8.8794472272e-05,1.5591675974e-04,2.5903709730e+01,2.4468083075e+01,8.5038278676e+00,2.0073399798e+01,-3.2828610095e-01,9.4457833763e-01
9.2580508837e-05,1.5717318188e-04,2.5893107363e+01,2.4687510965e+01,7.8089571182e+00,1.9923202098e+01,-3.0158439498e-01,9.5343948560e-01
1.0023271620e-04,1.5943133005e-04,2.5768926555e+01,2.4831492680e+01,6.8872742857e+00,1.9715934017e+01,-2.6727051556e-01,9.6362153956e-01
1.0793891641e-04,1.6150018221e-04,2.5765324917e+01,2.4921739845e+01,6.5390252450e+00,1.9610775219e+01,-2.5379168577e-01,9.6725890031e-01
1.1179688851e-04,1.6251651223e-04,2.6057890706e+01,2.5191638752e+01,6.6629576796e+00,1.9603220630e+01,-2.5569827408e-01,9.6675663568e-01
1.1949830604e-04,1.6460331160e-04,2.8577721849e+01,2.7548493949e+01,7.6004386179e+00,1.9625376661e+01,-2.6595677074e-01,9.6398495637e-01
1.2723808586e-04,1.6653083028e-04,3.3046875490e+01,3.2371704127e+01,6.6459575335e+00,1.9245833163e+01,-2.0110698621e-01,9.7956928295e-01
1.3116611061e-04,1.6721572399e-04,3.3708274817e+01,3.3365341425e+01,4.7960173826e+00,1.8907050564e+01,-1.4228011990e-01,9.8982643301e-01
1.3909690694e-04,1.6806949350e-04,3.2880276792e+01,3.2782502898e+01,2.5337927378e+00,1.8469078367e+01,-7.7061174205e-02,9.9702636647e-01
1.4706354039e-04,1.6849413187e-04,3.2185427013e+01,3.2170266205e+01,9.8776733404e-01,1.8167695857e+01,-3.0689893710e-02,9.9952895427e-01
1.5105202375e-04,1.6857627553e-04,3.1876240850e+01,3.1874487061e+01,3.3437295513e-01,1.8031156884e+01,-1.0489723575e-02,9.9994498134e-01
1.5903017671e-04,1.6851144028e-04,3.1302111080e+01,3.1291341352e+01,-8.2104473083e-01,1.7784496540e+01,2.6229691944e-02,9.9965594244e-01
1.6700133982e-04,1.6816804174e-04,3.0772286484e+01,3.0717786934e+01,-1.8306232105e+00,1.7557430196e+01,5.9489346409e-02,9.9822894051e-01
1.7098171878e-04,1.6789937322e-04,3.0516519195e+01,3.0430118950e+01,-2.2947340699e+00,1.7448344601e+01,7.5196455248e-02,9.9716873854e-01
1.7892778789e-04,1.6717880452e-04,3.0022405987e+01,2.9855834584e+01,-3.1581644265e+00,1.7240094988e+01,1.0519358201e-01,9.9445176369e-01
1.8684929950e-04,1.6622505113e-04,2.9537189835e+01,2.9271911369e+01,-3.9497833042e+00,1.7041201809e+01,1.3372237935e-01,9.9101883194e-01
1.9079911844e-04,1.6566397200e-04,2.9300497260e+01,2.8979788391e+01,-4.3233094375e+00,1.6945811057e+01,1.4755071899e-01,9.8905449057e-01
1.9867365627e-04,1.6437853088e-04,2.8828997375e+01,2.8386374061e+01,-5.0323808794e+00,1.6755786246e+01,1.7455969120e-01,9.8464659356e-01
2.0651052396e-04,1.6288036654e-04,2.8356004627e+01,2.7777997226e+01,-5.6961275033e+00,1.6571333153e+01,2.0087905818e-01,9.7961604927e-01
2.1041328998e-04,1.6205308174e-04,2.8119199461e+01,2.7468737690e+01,-6.0131379533e+00,1.6482914433e+01,2.1384456416e-01,9.7686769953e-01
2.1818433858e-04,1.6024421024e-04,2.7636140523e+01,2.6831783999e+01,-6.6190354584e+00,1.6306979676e+01,2.3950650609e-01,9.7089475925e-01
2.2590519503e-04,1.5823183582e-04,2.7154070563e+01,2.6184169738e+01,-7.1925519289e+00,1.6133884703e+01,2.6487932674e-01,9.6428156794e-01
2.2974517076e-04,1.5714989845e-04,2.6902223858e+01,2.5845630361e+01,-7.4654564321e+00,1.6048910581e+01,2.7750331986e-01,9.6072467829e-01
2.3738084878e-04,1.5483523653e-04,2.6390026082e+01,2.5152232527e+01,-7.9874073069e+00,1.5882970012e+01,3.0266765490e-01,9.5309616025e-01
2.4495277444e-04,1.5231986777e-04,2.5866542968e+01,2.4437188352e+01,-8.4794970712e+00,1.5718879945e+01,3.2781717610e-01,9.4474118099e-01
2.4871299258e-04,1.5098692765e-04,2.5593064254e+01,2.4064710882e+01,-8.7117522959e+00,1.5636267616e+01,3.4039504647e-01,9.4028251730e-01
2.5617806578e-04,1.4817026501e-04,2.5031056962e+01,2.3297950824e+01,-9.1520107121e+00,1.5478864972e+01,3.6562621890e-01,9.3076176762e-01
2.6356385292e-04,1.4515184672e-04,2.4444701807e+01,2.2499024098e+01,-9.5570581826e+00,1.5321681355e+01,3.9096644573e-01,9.2040493171e-01
2.6722487730e-04,1.4356666713e-04,2.4137210258e+01,2.2082972749e+01,-9.7440871108e+00,1.5243630692e+01,4.0369566353e-01,9.1489333326e-01
2.7447863841e-04,1.4024352790e-04,2.3499156633e+01,2.1223753282e+01,-1.0087747969e+01,1.5093312327e+01,4.2928127704e-01,9.0317085049e-01
2.8163495942e-04,1.3671548919e-04,2.2823951045e+01,2.0323822506e+01,-1.0386288078e+01,1.4945101503e+01,4.5506091641e-01,8.9046030925e-01
2.8517405721e-04,1.3487413954e-04,2.2470460774e+01,1.9857524749e+01,-1.0516668591e+01,1.4872039824e+01,4.6802193764e-01,8.8371684712e-01
2.9216882666e-04,1.3103582651e-04,2.1730962919e+01,1.8893074064e+01,-1.0737155200e+01,1.4729919927e+01,4.9409477345e-01,8.6940804853e-01
2.9904485572e-04,1.2698869634e-04,2.0947327005e+01,1.7887995788e+01,-1.0900005292e+01,1.4591834094e+01,5.2035304022e-01,8.5395123604e-01
3.0243542521e-04,1.2488639421e-04,2.0529404014e+01,1.7363142981e+01,-1.0953433024e+01,1.4524759593e+01,5.3354851491e-01,8.4576946164e-01
3.0911548272e-04,1.2052346095e-04,1.9667369961e+01,1.6293602746e+01,-1.1014715191e+01,1.4392870877e+01,5.6005023613e-01,8.2845864894e-01
3.1565224001e-04,1.1594867409e-04,1.8744179439e+01,1.5179798789e+01,-1.0996270803e+01,1.4268090701e+01,5.8664988984e-01,8.0984066751e-01
3.1886355095e-04,1.1358162057e-04,1.8261616385e+01,1.4609630196e+01,-1.0956520366e+01,1.4208575659e+01,5.9997538746e-01,8.0001845882e-01
3.2516513241e-04,1.0868803668e-04,1.7246927742e+01,1.3440982549e+01,-1.0807243158e+01,1.4092880754e+01,6.2661845166e-01,7.7932619361e-01
3.3129586994e-04,1.0358209826e-04,1.6171607615e+01,1.2244955192e+01,-1.0563236492e+01,1.3986853449e+01,6.5319643809e-01,7.5718849256e-01
3.3429353511e-04,1.0094974695e-04,1.5611263420e+01,1.1639294598e+01,-1.0403766954e+01,1.3937329387e+01,6.6642696840e-01,7.4557031579e-01
3.4014613499e-04,9.5527310215e-05,1.4444524764e+01,1.0417771174e+01,-1.0005715338e+01,1.3845140419e+01,6.9269951773e-01,7.2122630161e-01
3.4579853122e-04,8.9896534482e-05,1.3220121305e+01,9.1931667236e+00,-9.5003838297e+00,1.3764683990e+01,7.1863060939e-01,6.9539200976e-01
3.4854596792e-04,8.7004013656e-05,1.2588272660e+01,8.5842806983e+00,-9.2073195590e+00,1.3728849961e+01,7.3142041069e-01,6.8192681633e-01
3.5387611094e-04,8.1067340235e-05,1.1290204111e+01,7.3829838253e+00,-8.5416777454e+00,1.3668356518e+01,7.5655653886e-01,6.5392828621e-01
3.5897738428e-04,7.4932918426e-05,9.9558533124e+00,6.2181042207e+00,-7.7752295837e+00,1.3620971958e+01,7.8097068525e-01,6.2456768150e-01
3.6143889533e-04,7.1793505877e-05,9.2769005149e+00,5.6534818725e+00,-7.3552040000e+00,1.3604939114e+01,7.9285144732e-01,6.0941495098e-01
3.6617777597e-04,6.5375035595e-05,7.9082982203e+00,4.5731983110e+00,-6.4519018861e+00,1.3582673384e+01,8.1583947728e-01,5.7827843408e-01
3.7066431017e-04,5.8777710654e-05,6.5494535574e+00,3.5773063894e+00,-5.4861845482e+00,1.3579024034e+01,8.3765530974e-01,5.4619921464e-01
3.7281089863e-04,5.5415108780e-05,5.8800244947e+00,3.1158800855e+00,-4.9865799252e+00,1.3584084427e+01,8.4805427762e-01,5.2990937169e-01
3.7690819148e-04,4.8569215572e-05,4.5740604846e+00,2.2736482102e+00,-3.9689486181e+00,1.3608349107e+01,8.6770794384e-01,4.9707436486e-01
3.8074373830e-04,4.1573263710e-05,3.3461352694e+00,1.5539281320e+00,-2.9634318959e+00,1.3651372927e+01,8.8562824193e-01,4.6439489349e-01
3.8256455546e-04,3.8023640449e-05,2.7711434948e+00,1.2425780197e+00,-2.4769408821e+00,1.3679649017e+01,8.9383349754e-01,4.4839901726e-01
3.8601975741e-04,3.0832070103e-05,1.7279278613e+00,7.2230158091e-01,-1.5697181658e+00,1.3748805733e+01,9.0843964089e-01,4.1801605095e-01
3.8924808276e-04,2.3535632637e-05,8.6838930961e-01,3.4034732265e-01,-7.9891407110e-01,1.3831738563e+01,9.1999528583e-01,3.9192942484e-01
3.9079171603e-04,1.9856844117e-05,5.2363807603e-01,1.9997885021e-01,-4.8394761507e-01,1.3876928129e+01,9.2420249257e-01,3.8190280533e-01
3.9380043356e-04,1.2466680686e-05,3.8366449221e-02,1.4364298891e-02,-3.5575993917e-02,1.3968152923e+01,9.2726834616e-01,3.7439740145e-01
3.9697676683e-04,5.1513946005e-06,1.1698953054e-01,-5.1750477666e-02,1.0492110520e-01,1.4045583676e+01,8.9684183465e-01,4.4235135766e-01
3.9892945230e-04,1.6814556111e-06,7.1656590395e-02,-3.8484239863e-02,6.0445266392e-02,1.4066255811e+01,8.4354092288e-01,5.3706490430e-01
