x_m,y_m,wss_mag_dyn_cm2,von_mises_Pa,wss_norm,mech_norm,Snai1_shear_only,Snai2_shear_only,EndMT_shear_only,NICD_shear_only,YAP_TAZ_shear_only,Snai1_mech_only,Snai2_mech_only,EndMT_mech_only,NICD_mech_only,YAP_TAZ_mech_only,Snai1_combined,Snai2_combined,EndMT_combined,NICD_combined,YAP_TAZ_combined
0.0004001084422731,3.7939681918731537e-06,0.0050085747752796,35.12789479008276,0.00016695249250932,0.35127894790082764,0.2519554991844333,0.07218545524657305,0.3643561122158638,0.23153919588189498,0.39024390243807267,0.22984329977040172,0.0693013266624799,0.3381457041397415,0.22124640452247626,0.33047114073442413,0.23325728676404506,0.07229698830970006,0.34594056025881864,0.23153919587921448,0.33047114073442413
0.0004022229215776,7.5745575001661e-06,0.0433045183640207,3.9008836623950662,0.0014434839454673567,0.03900883662395066,0.2519558449465019,0.07218618798514498,0.36435747271541674,0.23154025253011407,0.39024390243807267,0.0003332773855296791,0.0715396667525186,0.05671858054999347,0.221246404522473,0.0060499328657211155,0.005854656449285453,0.07511830846041959,0.06224250209563674,0.23154025253011407,0.0060499328657211155
0.0004030553926352,1.186525601908358e-05,0.0916961539267474,5.089768194169133,0.0030565384642249134,0.05089768194169133,0.25195706303666565,0.07218877381287107,0.36436227196867477,0.23154398057667636,0.39024390243807267,0.0008690029946709942,0.07155979066093486,0.05675492292663365,0.2212464045224748,0.010256020190009221,0.006385226138475518,0.07513853657784003,0.062352703812946164,0.2315439805766756,0.010256020190009221
0.0004034398512122,2.4265131479898264e-05,0.1106866474458552,1.9797966972864884,0.0036895549148618398,0.019797966972864886,0.25195777762977356,0.07219029403920817,0.36436509207230966,0.23154617169202357,0.39024390243807267,6.582519605591017e-05,0.07152952588777664,0.0567029913004041,0.22124640452245886,0.0015653837169757048,0.005589855136549611,0.07511323560156356,0.062197365985403916,0.2315461716919958,0.0015653837169757048
0.0004028311481203,3.236431210278978e-05,0.0444785536462674,2.357240366327016,0.00148261845487558,0.02357240366327016,0.2519558641961305,0.07218622879527316,0.364357548482117,0.23154031137746406,0.39024390243807267,8.516680725215376e-05,0.07153026136139953,0.05670406162236879,0.22124640452245942,0.0022177037166980157,0.0056089536552625776,0.07511002764195365,0.06219540860473386,0.23154031137746428,0.0022177037166980157
0.000402327293359,3.6379421385657594e-05,0.1746708709231859,2.482912844698123,0.005822362364106197,0.02482912844698123,0.25196115200328195,0.07219750563751885,0.3643784557549223,0.2315565594638373,0.39024390243807267,9.404434867164273e-05,0.07153059883000719,0.05670455589232387,0.22124640452128477,0.0024598765636286656,0.00561787588147375,0.07512102955604459,0.062212526680011676,0.23155655946368528,0.0024598765636286656
0.0004017011031549,4.0371795935039106e-05,0.3374348063601723,2.5672440861285093,0.01124782687867241,0.025672440861285093,0.25197612859492613,0.0722302084568121,0.3644387563826676,0.23160353163595182,0.39024390243807267,0.0001008039030521445,0.07153085572925821,0.05670493344974683,0.22124640452247601,0.0026293650921078537,0.005624528664020199,0.07515227045562756,0.06225852514304774,0.23160353163569342,0.0026293650921078537
0.0004009581940513,4.43405760840123e-05,0.5301741825931632,2.6234601328226,0.01767247275310544,0.026234601328226,0.2520040626611221,0.07229473379035603,0.36455624358362027,0.23169554648856677,0.39024390243807267,0.00010569359636950625,0.0715310415397005,0.056705207238966646,0.22124640452247032,0.0027454589316568676,0.005627388881124145,0.07521350916578154,0.062347290988751726,0.2316955464885639,0.0027454589316568676
0.0004001031617932,4.82844697025287e-05,0.7498849450416993,2.6613233016882485,0.024996164834723313,0.026613233016882485,0.25204472045527204,0.07240000228141491,0.3647433775373544,0.2318436348967861,0.39024390243807267,0.00010916794255024444,0.0715311735617126,0.0567054021816468,0.22124640452249633,0.0028250531507140473,0.00562180824452794,0.07531290453855209,0.062490007033135224,0.23184363489680238,0.0028250531507140473
0.0003991398459565,5.2202051005969514e-05,0.9941542015527338,2.6844520500722253,0.03313847338509113,0.026844520500722252,0.2520913721805649,0.07255171887759779,0.36500203641353174,0.23205210880761204,0.3902439024380726,0.0001113640460353321,0.07153125700084018,0.05670552551243524,0.22124640452247543,0.0028742281233573377,0.005596884588894086,0.07545518414248238,0.06269209573874344,0.2320521088074436,0.0028742281233573364
