x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-3.9997447004e-04 1.9971895853e-06 1.9427767639e-02 -2.4832376653e-04 -1.9426180550e-02 3.5177752304e+01 -9.9991830819e-01 1.2781899146e-02
-3.9784396915e-04 2.5846079439e-05 9.2185551641e-03 1.5123772935e-03 9.0936502152e-03 3.5321513305e+01 -9.8645070223e-01 1.6405795339e-01
-3.9336683446e-04 4.5297705060e-05 1.6998304675e+00 4.8064954496e-01 1.6304599453e+00 3.5524985427e+01 -9.5918974066e-01 2.8276322501e-01
-3.8662241382e-04 6.4085653460e-05 4.5029209868e+00 1.7589571593e+00 4.1451618937e+00 3.5655224877e+01 -9.2054955125e-01 3.9062581033e-01
-3.7784935468e-04 8.2018291626e-05 7.7883208968e+00 3.7830385349e+00 6.8078309199e+00 3.5678687305e+01 -8.7410765557e-01 4.8573223742e-01
-3.6730728607e-04 9.8973542564e-05 1.1126967233e+01 6.3181074905e+00 9.1591985204e+00 3.5597973244e+01 -8.2315318530e-01 5.6781936699e-01
-3.5524924565e-04 1.1488834814e-04 1.4285004553e+01 9.1097678230e+00 1.1003339734e+01 3.5434426648e+01 -7.7027204946e-01 6.3771543013e-01
-3.4190553434e-04 1.2974345791e-04 1.7180483871e+01 1.1971234753e+01 1.2323090706e+01 3.5203960258e+01 -7.1727262153e-01 6.9679264233e-01
-3.2747702470e-04 1.4354884563e-04 1.9801935022e+01 1.4783686004e+01 1.3174189112e+01 3.4924499273e+01 -6.6529806795e-01 7.4657784643e-01
-3.1213452597e-04 1.5633209616e-04 2.2188687962e+01 1.7496455049e+01 1.3645949370e+01 3.4602957372e+01 -6.1499577591e-01 7.8853040246e-01
-2.9602128711e-04 1.6813012240e-04 2.4386010565e+01 2.0092648022e+01 1.3818936529e+01 3.4247460964e+01 -5.6667475361e-01 8.2394157780e-01
-2.7925672200e-04 1.7898368463e-04 2.6437973737e+01 2.2575540926e+01 1.3759048195e+01 3.3859526766e+01 -5.2042748556e-01 8.5390586851e-01
-2.6194030068e-04 1.8893397268e-04 2.8379866762e+01 2.4955229000e+01 1.3514931853e+01 3.3440046609e+01 -4.7621547932e-01 8.7932861733e-01
-2.4415511456e-04 1.9802059411e-04 3.0240199993e+01 2.7244865608e+01 1.3122004177e+01 3.2987816348e+01 -4.3392583979e-01 9.0094859208e-01
-2.2597094062e-04 2.0628047231e-04 3.2027780915e+01 2.9445200911e+01 1.2599956096e+01 3.2503004237e+01 -3.9340709021e-01 9.1936437900e-01
-2.0744678727e-04 2.1374731242e-04 3.3746935354e+01 3.1555389239e+01 1.1962986907e+01 3.1983555725e+01 -3.5449106065e-01 9.3505940342e-01
-1.8863297133e-04 2.2045140752e-04 3.5394752304e+01 3.3569219072e+01 1.1220339637e+01 3.1428170075e+01 -3.1700573974e-01 9.4842361894e-01
-1.6573460488e-04 2.2752711462e-04 3.7260575280e+01 3.5838050975e+01 1.0197282606e+01 3.0715095495e+01 -2.7367485684e-01 9.6182226671e-01
-1.4642810217e-04 2.3264315696e-04 3.8704362723e+01 3.7585042788e+01 9.2407928432e+00 3.0080341719e+01 -2.3875326173e-01 9.7108026446e-01
-1.2695217302e-04 2.3707107258e-04 4.0024774005e+01 3.9176828771e+01 8.1950364027e+00 2.9413837104e+01 -2.0474909868e-01 9.7881449039e-01
-1.0733564120e-04 2.4082774528e-04 4.1199360334e+01 4.0588816035e+01 7.0664916899e+00 2.8714783725e+01 -1.7151945158e-01 9.8518073354e-01
-8.7604552490e-05 2.4392728539e-04 4.2211524357e+01 4.1802169248e+01 5.8644210904e+00 2.7987178260e+01 -1.3892938433e-01 9.9030229030e-01
-6.7782770694e-05 2.4638117963e-04 4.3038956058e+01 4.2792560200e+01 4.5987530985e+00 2.7235448132e+01 -1.0685094435e-01 9.9427505032e-01
-4.7892484888e-05 2.4819841886e-04 4.3674039728e+01 4.3550500636e+01 3.2826270785e+00 2.6464328785e+01 -7.5161974916e-02 9.9717133810e-01
-2.7954650379e-05 2.4938560128e-04 4.4092871331e+01 4.4050662835e+01 1.9288354045e+00 2.5679762506e+01 -4.3744835532e-02 9.9904273651e-01
-7.9893820963e-06 2.4994700937e-04 4.4296196768e+01 4.4292744248e+01 5.5304167536e-01 2.4884810706e+01 -1.2485082597e-02 9.9992205832e-01
1.1983683828e-05 2.4988466052e-04 4.4272613016e+01 4.4264846747e+01 -8.2921993719e-01 2.4088381011e+01 1.8729862114e-02 9.9982458075e-01
3.1945046546e-05 2.4919833092e-04 4.4027894163e+01 4.3972798302e+01 -2.2019250512e+00 2.3295085668e+01 5.0012045613e-02 9.9874861466e-01
5.1875002034e-05 2.4788555295e-04 4.3562762768e+01 4.3417935831e+01 -3.5492461407e+00 2.2511765385e+01 8.1474312351e-02 9.9667544187e-01
7.1753297029e-05 2.4594158585e-04 4.2892701946e+01 4.2616842535e+01 -4.8568109426e+00 2.1743246521e+01 1.1323163900e-01 9.9356861662e-01
9.1558762213e-05 2.4335935994e-04 4.2023017349e+01 4.1576421546e+01 -6.1102502856e+00 2.0997061181e+01 1.4540246444e-01 9.8937259075e-01
1.1126891068e-04 2.4012939421e-04 4.0975733197e+01 4.0320555089e+01 -7.2981880154e+00 2.0274447806e+01 1.7811000429e-01 9.8401058245e-01
1.3085948529e-04 2.3623968822e-04 3.9768384912e+01 3.8868886251e+01 -8.4103579060e+00 1.9581223886e+01 2.1148351699e-01 9.7738156420e-01
1.5030393565e-04 2.3167558956e-04 3.8423945184e+01 3.7246489204e+01 -9.4392057637e+00 1.8920509398e+01 2.4565946361e-01 9.6935619250e-01
1.6957280116e-04 2.2641964016e-04 3.6959828236e+01 3.5472987568e+01 -1.0377671038e+01 1.8293763560e+01 2.8078244770e-01 9.5977144001e-01
1.9241673961e-04 2.1917026929e-04 3.5071328744e+01 3.3174712916e+01 -1.1377017307e+01 1.7588184338e+01 3.2439652885e-01 9.4592118703e-01
2.1117629057e-04 2.1231588385e-04 3.3407769413e+01 3.1139988261e+01 -1.2098768047e+01 1.7039997157e+01 3.6215432098e-01 9.3211815120e-01
2.2963672496e-04 2.0469296965e-04 3.1674233643e+01 2.9010838559e+01 -1.2713312824e+01 1.6527288527e+01 4.0137712461e-01 9.1591288005e-01
2.4774613395e-04 1.9627054662e-04 2.9873146005e+01 2.6793173223e+01 -1.3211007565e+01 1.6048556905e+01 4.4223690277e-01 8.9689827842e-01
2.6544353545e-04 1.8701424213e-04 2.7999053177e+01 2.4487124797e+01 -1.3576733700e+01 1.5604570836e+01 4.8489974338e-01 8.7456974500e-01
2.8265670949e-04 1.7688653889e-04 2.6037441110e+01 2.2087632646e+01 -1.3787125286e+01 1.5191570457e+01 5.2951153026e-01 8.4830274037e-01
2.9929955094e-04 1.6584740150e-04 2.3959833571e+01 1.9583025572e+01 -1.3805025687e+01 1.4808203748e+01 5.7617368860e-01 8.1732727874e-01
3.1526890060e-04 1.5385552825e-04 2.1728278151e+01 1.6963304213e+01 -1.3578084606e+01 1.4459359281e+01 6.2490384705e-01 7.8070172406e-01
3.3044089337e-04 1.4087059932e-04 1.9298421012e+01 1.4228572573e+01 -1.3037514184e+01 1.4145524522e+01 6.7557414029e-01 7.3729205948e-01
3.4466704690e-04 1.2685704985e-04 1.6619635051e+01 1.1397237508e+01 -1.2096083929e+01 1.3873635903e+01 7.2781886557e-01 6.8576942110e-01
3.5777067314e-04 1.1179005263e-04 1.3674010127e+01 8.5414675652e+00 -1.0678103051e+01 1.3656196088e+01 7.8090501268e-01 6.2464979082e-01
3.6954481725e-04 9.5664440595e-05 1.0467529840e+01 5.7824167781e+00 -8.7254132947e+00 1.3506884738e+01 8.3356946938e-01 5.5241464474e-01
3.7975384097e-04 7.8506988390e-05 7.1159817739e+00 3.3285973882e+00 -6.2894861503e+00 1.3446404114e+01 8.8385360588e-01 4.6776361912e-01
3.8814174047e-04 6.0391394112e-05 3.8870905497e+00 1.4383764001e+00 -3.6111696544e+00 1.3490948981e+01 9.2901608755e-01 3.7003933450e-01
3.9445051779e-04 4.1453079917e-05 1.2524427710e+00 3.2537796450e-01 -1.2094387437e+00 1.3640734747e+01 9.6566387841e-01 2.5979467649e-01
3.9844992208e-04 2.1897911452e-05 1.4229609338e-01 -1.9824651880e-02 1.4090834385e-01 1.3847885281e+01 9.9024745172e-01 1.3931971996e-01
3.9997447004e-04 1.9971895853e-06 1.9598461693e-02 -2.5050556079e-04 1.9596860659e-02 1.3950840809e+01 9.9991830819e-01 1.2781899146e-02
