x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
3.9351264499e-04,1.1489338515e-05,5.7842899494e+01,nan
3.9103226686e-04,1.6649534615e-05,4.8744919027e+01,nan
3.8856721823e-04,2.1498004847e-05,4.0987726111e+01,nan
3.8611707907e-04,2.6065880812e-05,3.6629547906e+01,nan
3.8367397896e-04,3.0412948202e-05,3.2871006286e+01,nan
3.8122425736e-04,3.4580692268e-05,2.9683280886e+01,nan
3.7876724978e-04,3.8584532457e-05,2.7089615341e+01,nan
3.7629686752e-04,4.2453666824e-05,2.4911958177e+01,nan
3.7380682341e-04,4.6204547593e-05,2.3007385644e+01,nan
3.7129256479e-04,4.9849858833e-05,2.1349946532e+01,nan
3.6875059376e-04,5.3398876229e-05,1.9886881028e+01,nan
3.6617887759e-04,5.6858560547e-05,1.8551439964e+01,nan
3.6357422279e-04,6.0236024337e-05,1.7397026727e+01,nan
3.6093493724e-04,6.3535463194e-05,1.6380081669e+01,nan
3.5825916991e-04,6.6760916372e-05,1.5480802962e+01,nan
3.5554653711e-04,6.9914657617e-05,1.4688477082e+01,nan
3.5279653343e-04,7.2999485190e-05,1.3975034045e+01,nan
3.5000854734e-04,7.6017805854e-05,1.3340772608e+01,nan
3.4718245533e-04,7.8971285395e-05,1.2773195321e+01,nan
3.4431830991e-04,8.1861508236e-05,1.2260988541e+01,nan
3.4141553982e-04,8.4689888134e-05,1.1799754545e+01,nan
3.3847552318e-04,8.7456508321e-05,1.1385875742e+01,nan
3.3549799971e-04,9.0163277339e-05,1.1013679571e+01,nan
3.3248346320e-04,9.2810268239e-05,1.0672481964e+01,nan
3.2943318181e-04,9.5397563670e-05,1.0358429371e+01,nan
3.2634843680e-04,9.7925976844e-05,1.0071054696e+01,nan
3.2323025990e-04,1.0039634807e-04,9.8095172179e+00,nan
3.2007976497e-04,1.0280953733e-04,9.5643957378e+00,nan
3.1689786438e-04,1.0516620637e-04,9.3380278122e+00,nan
3.1368545126e-04,1.0746704889e-04,9.1478634143e+00,nan
3.1044323622e-04,1.0971204287e-04,8.9982195866e+00,nan
3.0717409075e-04,1.1190204811e-04,8.8308142711e+00,nan
3.0387799961e-04,1.1403867377e-04,8.7343550650e+00,nan
3.0055588196e-04,1.1612208239e-04,8.6474663896e+00,nan
2.9720877756e-04,1.1815273275e-04,8.5714158333e+00,nan
2.9383829337e-04,1.2013127587e-04,8.4943478872e+00,nan
2.9044504332e-04,1.2205867545e-04,8.4601475169e+00,nan
2.8703024736e-04,1.2393542803e-04,8.4420770198e+00,nan
2.8359462846e-04,1.2576200914e-04,8.4365271682e+00,nan
2.8014022228e-04,1.2753946883e-04,8.4077500513e+00,nan
2.7666682507e-04,1.2926895630e-04,8.4339535862e+00,nan
2.7317481125e-04,1.3094971701e-04,8.4783211087e+00,nan
2.6966709428e-04,1.3258335818e-04,8.4863753945e+00,nan
2.6614304314e-04,1.3416965481e-04,8.5488023059e+00,nan
2.6260581046e-04,1.3571138057e-04,8.6297316219e+00,nan
2.5905412049e-04,1.3720813729e-04,8.6711483749e+00,nan
2.5548897077e-04,1.3866077253e-04,8.7488110080e+00,nan
2.5191196627e-04,1.4007026161e-04,8.8289167769e+00,nan
2.4832359502e-04,1.4143803464e-04,8.9417832415e+00,nan
2.4472349888e-04,1.4276570597e-04,9.0490649563e+00,nan
2.4111106163e-04,1.4405336514e-04,9.1822217712e+00,nan
2.3748703393e-04,1.4530104204e-04,9.3281943963e+00,nan
2.3385163178e-04,1.4650904880e-04,9.4819995792e+00,nan
2.3020582904e-04,1.4767758793e-04,9.6351281515e+00,nan
2.2655052267e-04,1.4880750810e-04,9.8112459515e+00,nan
2.2288610229e-04,1.4989980730e-04,9.9878666672e+00,nan
2.1921269220e-04,1.5095596413e-04,1.0181517379e+01,nan
2.1552868247e-04,1.5197598710e-04,1.0412718731e+01,nan
2.1183504822e-04,1.5295942894e-04,1.0629688103e+01,nan
2.0442090987e-04,1.5481848500e-04,1.1101436584e+01,nan
2.0070086649e-04,1.5569557768e-04,1.1377516696e+01,nan
1.9697138111e-04,1.5653809531e-04,1.1663428479e+01,nan
1.9323329883e-04,1.5734676161e-04,1.1954351893e+01,nan
1.8572548801e-04,1.5886354419e-04,1.2508091581e+01,nan
1.8195391128e-04,1.5956950364e-04,1.2715849364e+01,nan
1.7437944970e-04,1.6087091656e-04,1.3061228969e+01,nan
1.6676835578e-04,1.6202220915e-04,1.3354363644e+01,nan
1.6295077992e-04,1.6254005801e-04,1.3467462625e+01,nan
1.5529989375e-04,1.6345852659e-04,1.3638080049e+01,nan
6.7282644615e-05,1.6291097462e-04,1.5121305171e+01,nan
5.9789993745e-05,1.6183136810e-04,1.5314014696e+01,nan
5.6065698586e-05,1.6122197882e-04,1.5482377024e+01,nan
4.8667022469e-05,1.5985037960e-04,1.5857552832e+01,nan
4.1355247357e-05,1.5824863633e-04,1.6437396772e+01,nan
3.7755389920e-05,1.5734674155e-04,1.6594736083e+01,nan
3.4215917061e-05,1.5638311934e-04,1.6651243719e+01,nan
3.0742677877e-05,1.5536843915e-04,1.6674141016e+01,nan
2.7337107576e-05,1.5431056960e-04,1.6738172095e+01,nan
2.3998988892e-05,1.5321513783e-04,1.6818066461e+01,nan
2.0729051181e-05,1.5208516738e-04,1.6968469474e+01,nan
1.7528727253e-05,1.5092402887e-04,1.7178379941e+01,nan
1.4399312584e-05,1.4973504868e-04,1.7500609045e+01,nan
1.1342062642e-05,1.4852102888e-04,1.8048165770e+01,nan
8.3596516372e-06,1.4728385979e-04,1.8438109082e+01,nan
5.4567790607e-06,1.4602303052e-04,1.9212942410e+01,nan
2.6333998192e-06,1.4474745147e-04,2.0435303932e+01,nan
-1.0253096446e-07,1.4345525030e-04,2.1847832873e+01,nan
-2.7475323941e-06,1.4215326494e-04,2.3836424904e+01,nan
-5.2942958323e-06,1.4084601856e-04,2.7397928278e+01,nan
-7.7346067184e-06,1.3954154068e-04,3.0835710970e+01,nan
-1.0059525897e-05,1.3824897919e-04,3.1383699135e+01,nan
-1.2259250962e-05,1.3698560932e-04,3.4715156370e+01,nan
-1.4309729557e-05,1.3578577392e-04,4.0637184852e+01,nan
-1.6231157334e-05,1.3475591604e-04,4.7342498867e+01,nan
-2.0187158478e-05,1.3320148756e-04,4.6177417537e+01,nan
-2.2235587700e-05,1.3257275956e-04,4.2856298669e+01,nan
-2.4326166410e-05,1.3200696179e-04,3.9406721212e+01,nan
-2.6454225705e-05,1.3148846623e-04,3.6025783554e+01,nan
-2.8615774807e-05,1.3100613522e-04,3.2866279417e+01,nan
-3.0807103161e-05,1.3055205636e-04,2.9954389689e+01,nan
-3.3025125358e-05,1.3012039096e-04,2.7289044884e+01,nan
-3.5267217768e-05,1.2970670482e-04,2.4857898954e+01,nan
-3.7531178239e-05,1.2930753061e-04,2.2636897345e+01,nan
-3.9815110072e-05,1.2892016380e-04,2.0617563690e+01,nan
-4.2117538950e-05,1.2854240067e-04,1.8773375972e+01,nan
-4.4436995590e-05,1.2817238443e-04,1.7104337248e+01,nan
-4.6772380017e-05,1.2780850416e-04,1.5598897922e+01,nan
-4.9122628032e-05,1.2744945816e-04,1.4262770762e+01,nan
-5.1486857981e-05,1.2709407722e-04,1.3100603854e+01,nan
-5.3864229149e-05,1.2674134161e-04,1.2106732928e+01,nan
-5.6254033800e-05,1.2639036679e-04,1.1283010800e+01,nan
-5.8655637751e-05,1.2604035012e-04,1.0634373880e+01,nan
-6.1068438267e-05,1.2569053458e-04,1.0179082065e+01,nan
-6.3491807439e-05,1.2534029543e-04,9.9527937441e+00,nan
-6.5925374775e-05,1.2498900852e-04,9.8788709218e+00,nan
-6.8368589313e-05,1.2463614920e-04,9.9737024815e+00,nan
-7.0821035897e-05,1.2428121009e-04,1.0232175335e+01,nan
-7.3282310939e-05,1.2392370178e-04,1.0618172233e+01,nan
-7.5752022092e-05,1.2356319807e-04,1.1115566130e+01,nan
-7.8229851988e-05,1.2319929395e-04,1.1641977315e+01,nan
-8.0715331616e-05,1.2283162747e-04,1.2265893995e+01,nan
-8.3208258877e-05,1.2245981846e-04,1.2934419760e+01,nan
-8.5708271117e-05,1.2208354950e-04,1.3624256696e+01,nan
-8.8215069781e-05,1.2170249217e-04,1.4333237224e+01,nan
-9.0728366035e-05,1.2131634736e-04,1.5049017757e+01,nan
-9.3247876861e-05,1.2092484325e-04,1.5770253348e+01,nan
-9.5773318199e-05,1.2052772484e-04,1.6514873922e+01,nan
-9.8304486545e-05,1.2012474070e-04,1.7235991457e+01,nan
-1.0084105494e-04,1.1971564279e-04,1.7969474149e+01,nan
-1.0338286011e-04,1.1930017346e-04,1.8681902858e+01,nan
-1.0592957417e-04,1.1887814532e-04,1.9392375014e+01,nan
-1.0848102890e-04,1.1844934099e-04,2.0098913669e+01,nan
-1.1103697830e-04,1.1801355102e-04,2.0789542271e+01,nan
-1.1359719192e-04,1.1757059202e-04,2.1474869153e+01,nan
-1.1616146884e-04,1.1712026387e-04,2.2152105810e+01,nan
-1.1872957823e-04,1.1666237214e-04,2.2820050926e+01,nan
-1.2130132194e-04,1.1619676709e-04,2.3477109909e+01,nan
-1.2387649856e-04,1.1572328871e-04,2.4123340312e+01,nan
-1.2645490137e-04,1.1524176093e-04,2.4756953569e+01,nan
-1.2903631554e-04,1.1475203387e-04,2.5388574063e+01,nan
-1.3162060219e-04,1.1425394934e-04,2.6001435811e+01,nan
-1.3420750732e-04,1.1374737335e-04,2.6607439272e+01,nan
-1.3679688835e-04,1.1323215693e-04,2.7203932064e+01,nan
-1.3938853259e-04,1.1270816704e-04,2.7793284215e+01,nan
-1.4198228043e-04,1.1217525995e-04,2.8373998475e+01,nan
-1.4457795071e-04,1.1163330375e-04,2.8939855231e+01,nan
-1.4717533117e-04,1.1108217860e-04,2.9507227786e+01,nan
-1.4977431351e-04,1.1052175376e-04,3.0070043232e+01,nan
-1.5237470107e-04,1.0995190953e-04,3.0613921606e+01,nan
-1.5497629297e-04,1.0937252490e-04,3.1156597531e+01,nan
-1.5757896900e-04,1.0878347147e-04,3.1693393503e+01,nan
-1.6018254356e-04,1.0818464507e-04,3.2223927304e+01,nan
-1.6278686114e-04,1.0757593931e-04,3.2750145758e+01,nan
-1.6539177300e-04,1.0695723372e-04,3.3271571801e+01,nan
-1.6799711990e-04,1.0632841338e-04,3.3788437508e+01,nan
-1.7060275704e-04,1.0568936613e-04,3.4298076206e+01,nan
-1.7320850068e-04,1.0503999599e-04,3.4809742022e+01,nan
-1.7581425305e-04,1.0438019046e-04,3.5319387477e+01,nan
-1.7841984565e-04,1.0370985907e-04,3.5824316069e+01,nan
-1.8102514213e-04,1.0302888248e-04,3.6329656536e+01,nan
-1.8363000934e-04,1.0233713955e-04,3.6833964569e+01,nan
-1.8623430242e-04,1.0163455758e-04,3.7339155233e+01,nan
-1.8883790733e-04,1.0092102846e-04,3.7844641884e+01,nan
-1.9144068972e-04,1.0019644069e-04,3.8347432868e+01,nan
-1.9404249413e-04,9.9460707711e-05,3.8857467679e+01,nan
-1.9664325931e-04,9.8713708543e-05,3.9371302950e+01,nan
-1.9924283253e-04,9.7955362349e-05,3.9886423606e+01,nan
-2.0184110093e-04,9.7185562889e-05,4.0407273637e+01,nan
-2.0443797559e-04,9.6404209169e-05,4.0929582986e+01,nan
-2.0703331450e-04,9.5611199800e-05,4.1464665595e+01,nan
-2.0962709011e-04,9.4806429987e-05,4.2001746529e+01,nan
-2.1221913629e-04,9.3989825759e-05,4.2549137703e+01,nan
-2.1480941772e-04,9.3161266575e-05,4.3106046057e+01,nan
-2.1739784002e-04,9.2320654433e-05,4.3672027105e+01,nan
-2.1998432116e-04,9.1467898313e-05,4.4248406939e+01,nan
-2.2256880842e-04,9.0602915237e-05,4.4838052968e+01,nan
-2.2515124003e-04,8.9725592875e-05,4.5441670381e+01,nan
-2.2773157460e-04,8.8835839651e-05,4.6060772419e+01,nan
-2.3030978419e-04,8.7933565542e-05,4.6690367416e+01,nan
-2.3288580947e-04,8.7018703576e-05,4.7340567560e+01,nan
-2.3545967700e-04,8.6091126485e-05,4.8017777641e+01,nan
-2.3803134217e-04,8.5150787350e-05,4.8699313736e+01,nan
-2.4060089955e-04,8.4197564118e-05,4.9415689919e+01,nan
-2.4316830987e-04,8.3231429674e-05,5.0148311086e+01,nan
-2.4573365102e-04,8.2252295967e-05,5.0910250777e+01,nan
