x_m,y_m,sigma_comp_mag_Pa
3.9217563443e-05,1.3534660766e-04,6.7676439068e+01
3.6960598081e-05,1.3500445757e-04,6.5550773549e+01
3.4686802965e-05,1.3468215912e-04,6.3443294472e+01
3.2396712023e-05,1.3437738236e-04,6.1345528366e+01
3.0090680269e-05,1.3408801015e-04,5.9250770026e+01
2.7768812720e-05,1.3381198700e-04,5.7133184545e+01
2.5431066701e-05,1.3354730657e-04,5.4998701685e+01
2.3077103878e-05,1.3329192560e-04,5.2820542768e+01
2.0705951083e-05,1.3304300769e-04,5.0614956240e+01
1.8318626915e-05,1.3279586671e-04,4.9631305538e+01
1.5925355535e-05,1.3255598767e-04,5.0998762637e+01
1.3539345262e-05,1.3233539588e-04,5.2202069507e+01
1.1155458465e-05,1.3213193806e-04,5.1233301596e+01
8.7651157569e-06,1.3193783041e-04,4.9833512993e+01
6.3673581679e-06,1.3174997742e-04,4.8469386176e+01
3.9615497775e-06,1.3156676032e-04,4.7103947406e+01
1.5475248684e-06,1.3138708788e-04,4.5746347167e+01
-8.7478709341e-07,1.3121007705e-04,4.4427156251e+01
-3.3053743211e-06,1.3103495870e-04,4.3113559757e+01
-5.7441769691e-06,1.3086105841e-04,4.1817735998e+01
-8.1911601180e-06,1.3068775317e-04,4.0559660360e+01
-1.0646254765e-05,1.3051446171e-04,3.9300799733e+01
-1.3109231697e-05,1.3034071592e-04,3.8082018260e+01
-1.5579839262e-05,1.3016601741e-04,3.6915106306e+01
-1.8057866986e-05,1.2998993053e-04,3.5741624679e+01
-2.0543259404e-05,1.2981196807e-04,3.4569463826e+01
-2.3035945359e-05,1.2963170720e-04,3.3315524121e+01
-2.5535783385e-05,1.2944876100e-04,3.2287897212e+01
-2.8042633441e-05,1.2926277685e-04,3.2085948151e+01
-3.0556339127e-05,1.2907341641e-04,3.2051372597e+01
-3.3076746655e-05,1.2888034741e-04,3.2052927864e+01
-3.5603700145e-05,1.2868325779e-04,3.2059582900e+01
-3.8137025371e-05,1.2848185152e-04,3.2076049437e+01
-4.0676578043e-05,1.2827584809e-04,3.2092750049e+01
-4.3222173698e-05,1.2806498502e-04,3.2106144559e+01
-4.5773654579e-05,1.2784900812e-04,3.2125736263e+01
-4.8330847978e-05,1.2762767092e-04,3.2146445040e+01
-5.0893593170e-05,1.2740073400e-04,3.2168310948e+01
-5.3461718547e-05,1.2716797572e-04,3.2190329015e+01
-5.6035057711e-05,1.2692918396e-04,3.2215789169e+01
-5.8613448713e-05,1.2668415706e-04,3.2240764264e+01
-6.1196721705e-05,1.2643268707e-04,3.2264530112e+01
-6.3784681189e-05,1.2617459233e-04,3.2294010892e+01
-6.6377207900e-05,1.2590968207e-04,3.2326828715e+01
-6.8974108305e-05,1.2563778499e-04,3.2357025391e+01
-7.1575218921e-05,1.2535873406e-04,3.2389885546e+01
-7.4180375199e-05,1.2507236988e-04,3.2423548285e+01
-7.6789411463e-05,1.2477853048e-04,3.2459103948e+01
-7.9402185505e-05,1.2447705927e-04,3.2492029959e+01
-8.2018479590e-05,1.2416782401e-04,3.2527731540e+01
-8.4638182682e-05,1.2385067020e-04,3.2567637907e+01
-8.7261113179e-05,1.2352546897e-04,3.2606962213e+01
-8.9887111686e-05,1.2319208649e-04,3.2647076261e+01
-9.2516020243e-05,1.2285039082e-04,3.2687598527e+01
-9.5147677549e-05,1.2250025781e-04,3.2729438822e+01
-9.7781915127e-05,1.2214157359e-04,3.2774418236e+01
-1.0041860778e-04,1.2177421490e-04,3.2818433084e+01
-1.0305755097e-04,1.2139807294e-04,3.2864866473e+01
-1.0569864244e-04,1.2101302833e-04,3.2910924983e+01
-1.0834167497e-04,1.2061898168e-04,3.2958006988e+01
-1.1098653184e-04,1.2021582343e-04,3.3007051052e+01
-1.1363304893e-04,1.1980345358e-04,3.3056390798e+01
-1.1628106502e-04,1.1938177102e-04,3.3107504720e+01
-1.1893043861e-04,1.1895067577e-04,3.3159619568e+01
-1.2158101059e-04,1.1851007075e-04,3.3212987509e+01
-1.2423263885e-04,1.1805986586e-04,3.3267355206e+01
-1.2688517297e-04,1.1759997334e-04,3.3322431386e+01
-1.2953846017e-04,1.1713029817e-04,3.3378862482e+01
-1.3219233911e-04,1.1665074899e-04,3.3437054832e+01
-1.3484670177e-04,1.1616123155e-04,3.3495187352e+01
-1.3750135519e-04,1.1566167639e-04,3.3554262402e+01
-1.4015618569e-04,1.1515199284e-04,3.3615000767e+01
-1.4281102538e-04,1.1463209970e-04,3.3676974719e+01
-1.4546574195e-04,1.1410190114e-04,3.3740222270e+01
-1.4812019035e-04,1.1356132830e-04,3.3803479059e+01
-1.5077419526e-04,1.1301030393e-04,3.3869317542e+01
-1.5342766180e-04,1.1244874171e-04,3.3936643269e+01
-1.5608042678e-04,1.1187657574e-04,3.4003177868e+01
-1.5873231610e-04,1.1129371946e-04,3.4071472500e+01
-1.6138322209e-04,1.1070008971e-04,3.4141151473e+01
-1.6403298211e-04,1.1009562344e-04,3.4212186324e+01
-1.6668145526e-04,1.0948024949e-04,3.4284188732e+01
-1.6932850228e-04,1.0885388478e-04,3.4357075348e+01
-1.7197397125e-04,1.0821645339e-04,3.4431207057e+01
-1.7461772423e-04,1.0756788813e-04,3.4506585166e+01
-1.7725959258e-04,1.0690813100e-04,3.4583215043e+01
-1.7989947807e-04,1.0623709291e-04,3.4661192363e+01
