x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
4.0000000000e-04 0.0000000000e+00 7.2146069843e+01 -6.6456490312e+01 8.9211626276e+01 1.1479715484e+02 1.4695701631e+02 1.4400679811e+01 1.4695701631e+02 -1.0506861581e+00 1.0000000000e+00 7.2037602749e-02 -3.8269715586e-02 6.1031508901e-02 1.4063474885e+01 8.4721737776e-01 5.3124637864e-01
-4.0000000000e-04 3.0616169979e-20 5.1571031731e+02 3.1946502422e+02 2.2988970091e+02 6.0339463624e+02 7.2117006486e+02 2.4429953441e+01 7.2117006487e+02 -1.6192255005e+00 1.0000000000e+00 5.1280053758e-01 4.1243661658e-01 3.0473009147e-01 2.3647108324e+01 -5.9424682530e-01 8.0428273053e-01
3.9660661146e-04 5.9135671800e-06 -4.5809180787e+00 -2.5923030597e+01 6.0810205386e+01 6.9147786491e+01 6.8037136798e+01 -1.1807849490e+01 6.8037136798e+01 1.0062608616e+01 1.0000000000e+00 1.1967097283e-01 -5.2218903030e-02 1.0767696088e-01 1.4042951879e+01 8.9977509444e-01 4.3635396116e-01
3.9436596934e-04 1.1239491259e-05 -3.8672071392e+00 -1.6865063843e+01 4.0247216960e+01 4.8233899092e+01 4.6037859535e+01 -9.6578497148e+00 4.6037859535e+01 9.7886171025e+00 1.0000000000e+00 3.7679989440e-02 1.3955904041e-02 -3.5000204951e-02 1.3965105067e+01 9.2888043418e-01 3.7037972271e-01
3.9233081254e-04 1.6328975023e-05 -5.7522838892e+00 -1.3883739387e+01 3.2628755090e+01 4.0908132381e+01 3.7056556843e+01 -1.0180085642e+01 3.7056556843e+01 1.0202596948e+01 1.0000000000e+00 2.4326100839e-01 9.0662162381e-02 -2.2573500064e-01 1.3919355002e+01 9.2795389667e-01 3.7269500353e-01
3.9032845146e-04 2.1246264264e-05 -6.4736994657e+00 -1.2440947300e+01 2.7254239649e+01 3.6239275953e+01 3.1313025818e+01 -1.0532485635e+01 3.1313025818e+01 1.0522568033e+01 1.0000000000e+00 5.2171361355e-01 1.9789734990e-01 -4.8272324728e-01 1.3872988638e+01 9.2526480955e-01 3.7932180561e-01
3.8830326518e-04 2.6026012054e-05 -6.8138381744e+00 -1.1614491845e+01 2.3343959817e+01 3.2935900930e+01 2.7280612089e+01 -1.0750490447e+01 2.7280612089e+01 1.0752807580e+01 1.0000000000e+00 1.2778825911e+00 5.1478495335e-01 -1.1696069290e+00 1.3784606104e+01 9.1526947559e-01 4.0284213663e-01
3.8622802353e-04 3.0686413327e-05 -7.0007509229e+00 -1.1121520977e+01 2.0318466054e+01 3.0474981728e+01 2.4253596470e+01 -1.0935881339e+01 2.4253596470e+01 1.0935580648e+01 1.0000000000e+00 1.7397763996e+00 7.2572446342e-01 -1.5811849745e+00 1.3744314387e+01 9.0884378873e-01 4.1713662951e-01
3.8408827158e-04 3.5239455438e-05 -7.1009901086e+00 -1.0767822079e+01 1.7786735258e+01 2.8477032335e+01 2.1784094859e+01 -1.1098349710e+01 2.1784094859e+01 1.1098371040e+01 1.0000000000e+00 2.2484795023e+00 9.7226987048e-01 -2.0274001507e+00 1.3707712966e+01 9.0167606539e-01 4.3241215653e-01
3.8187710854e-04 3.9690416055e-05 -7.1308122113e+00 -1.0511936094e+01 1.5606814802e+01 2.6803960128e+01 1.9713274890e+01 -1.1237272300e+01 1.9713274890e+01 1.1237275186e+01 1.0000000000e+00 2.7960416952e+00 1.2535679880e+00 -2.4992831894e+00 1.3674969026e+01 8.9386477809e-01 4.4833665754e-01
3.7959003979e-04 4.4045021220e-05 -7.1175742729e+00 -1.0306351923e+01 1.3697941462e+01 2.5358922080e+01 1.7931164084e+01 -1.1350796895e+01 1.7931164084e+01 1.1350795213e+01 1.0000000000e+00 3.9853330027e+00 1.9178080470e+00 -3.4935499763e+00 1.3623190483e+01 8.7660177305e-01 4.8121651207e-01
3.7722542735e-04 4.8306341880e-05 -7.0783658563e+00 -1.0135329299e+01 1.2011726364e+01 2.4104268674e+01 1.6383286261e+01 -1.1449925754e+01 1.6383286261e+01 1.1449926096e+01 1.0000000000e+00 4.6159640760e+00 2.2981524087e+00 -4.0032012012e+00 1.3604056028e+01 8.6725137702e-01 4.9787051434e-01
3.7478278694e-04 5.2476960123e-05 -7.0172580013e+00 -9.9821307091e+00 1.0491683462e+01 2.2987566949e+01 1.5009090696e+01 -1.1534665236e+01 1.5009090696e+01 1.1534665198e+01 1.0000000000e+00 5.2670236721e+00 2.7100016362e+00 -4.5163513475e+00 1.3589817634e+01 8.5747694119e-01 5.1452239537e-01
3.7226263553e-04 5.6558798730e-05 -6.9376158938e+00 -9.8414764043e+00 9.1095024194e+00 2.1985180571e+01 1.3779093184e+01 -1.1607206658e+01 1.3779093184e+01 1.1607206658e+01 1.0000000000e+00 5.9319142022e+00 3.1504065967e+00 -5.0261858678e+00 1.3580235336e+01 8.4731263745e-01 5.3109443079e-01
3.6966595934e-04 6.0553430406e-05 -6.8421545067e+00 -9.7101470535e+00 7.8431770249e+00 2.1078232954e+01 1.2670034729e+01 -1.1669012211e+01 1.2670034729e+01 1.1669012212e+01 1.0000000000e+00 6.6070040567e+00 3.6175879712e+00 -5.5286128347e+00 1.3575451584e+01 8.3678060241e-01 5.4753833055e-01
3.6699401965e-04 6.4462255096e-05 -6.7343601345e+00 -9.5849419048e+00 6.6805676889e+00 2.0256891843e+01 1.1668425735e+01 -1.1722218181e+01 1.1668425735e+01 1.1722218181e+01 1.0000000000e+00 7.9784892330e+00 4.6264231916e+00 -6.5001922197e+00 1.3579276332e+01 8.1471466965e-01 5.7986205865e-01
3.6424832224e-04 6.8286517769e-05 -6.6154752651e+00 -9.4664169274e+00 5.6061833786e+00 1.9510012888e+01 1.0759465250e+01 -1.1768757136e+01 1.0759465250e+01 1.1768757136e+01 1.0000000000e+00 8.6634932678e+00 5.1604814241e+00 -6.9588466769e+00 1.3588261820e+01 8.0323796207e-01 5.9565827140e-01
3.6143058014e-04 7.2027422277e-05 -6.4891441707e+00 -9.3507917266e+00 4.6116110858e+00 1.8829231389e+01 9.9322952685e+00 -1.1809828353e+01 9.9322952685e+00 1.1809828353e+01 1.0000000000e+00 9.3490057904e+00 5.7138773758e+00 -7.3996969265e+00 1.3602514680e+01 7.9149559775e-01 6.1117486756e-01
3.5854259690e-04 7.5685988965e-05 -6.3544795317e+00 -9.2394759279e+00 3.6861056279e+00 1.8208616814e+01 9.1785628671e+00 -1.1846936771e+01 9.1785628671e+00 1.1846936771e+01 1.0000000000e+00 1.0029890598e+01 6.2827017875e+00 -7.8183350950e+00 1.3619751138e+01 7.7950352684e-01 6.2639783815e-01
3.5558617976e-04 7.9263211489e-05 -6.2127032259e+00 -9.1322569247e+00 2.8245073872e+00 1.7643582391e+01 8.4924291236e+00 -1.1880624962e+01 8.4924291236e+00 1.1880624962e+01 1.0000000000e+00 1.0705158182e+01 6.8652480798e+00 -8.2139381853e+00 1.3641297149e+01 7.6728788547e-01 6.4130281523e-01
3.5256322659e-04 8.2760104425e-05 -6.0648439944e+00 -9.0281628907e+00 2.0205833642e+00 1.7129377630e+01 7.8675204708e+00 -1.1911781101e+01 7.8675204708e+00 1.1911781101e+01 1.0000000000e+00 1.1372297198e+01 7.4587035358e+00 -8.5846889939e+00 1.3666459440e+01 7.5487729915e-01 6.5586604061e-01
3.4947564176e-04 8.6177599392e-05 -5.9114293328e+00 -8.9268686632e+00 1.2664015658e+00 1.6661029135e+01 7.2967357723e+00 -1.1941763539e+01 7.2967357723e+00 1.1941763539e+01 1.0000000000e+00 1.2678417560e+01 8.6712612455e+00 -9.2494053998e+00 1.3729226212e+01 7.2953942049e-01 6.8393876477e-01
3.4632531988e-04 8.9516560855e-05 -5.7529663059e+00 -8.8295831201e+00 5.6017822843e-01 1.6236813616e+01 6.7779346734e+00 -1.1970722751e+01 6.7779346734e+00 1.1970722751e+01 1.0000000000e+00 1.3313827841e+01 9.2855318564e+00 -9.5413264239e+00 1.3764042521e+01 7.1664787450e-01 6.9743517546e-01
3.4311410893e-04 9.2777921385e-05 -5.5910106867e+00 -8.7322720595e+00 -1.0393603419e-01 1.5850229472e+01 6.3036608918e+00 -1.1998607613e+01 6.3036608918e+00 1.1998607613e+01 1.0000000000e+00 1.3935468532e+01 9.9020032399e+00 -9.8054890268e+00 1.3803109729e+01 7.0363540372e-01 7.1056119978e-01
3.3984399075e-04 9.5962437257e-05 -5.4240507522e+00 -8.6381693675e+00 -7.3160346666e-01 1.5500661155e+01 5.8714837809e+00 -1.2027138000e+01 5.8714837809e+00 1.2027138000e+01 1.0000000000e+00 1.4545052089e+01 1.0520568143e+01 -1.0043713766e+01 1.3847027795e+01 6.9052442745e-01 7.2330907300e-01
3.3651674809e-04 9.9071024249e-05 -5.2528928970e+00 -8.5466326379e+00 -1.3211524769e+00 1.5186400877e+01 5.4808499475e+00 -1.2054895321e+01 5.4808499475e+00 1.2054895321e+01 1.0000000000e+00 1.5137829128e+01 1.1136652147e+01 -1.0253236058e+01 1.3890299110e+01 6.7732539267e-01 7.3568356815e-01
3.3313417042e-04 1.0210446764e-04 -5.0788737315e+00 -8.4556013077e+00 -1.8796255124e+00 1.4902433849e+01 5.1246745722e+00 -1.2083173816e+01 5.1246745722e+00 1.2083173816e+01 1.0000000000e+00 1.5717912510e+01 1.1752151147e+01 -1.0437419081e+01 1.3938046787e+01 6.6404613682e-01 7.4769159964e-01
3.2969809492e-04 1.0506351093e-04 -4.9014439751e+00 -8.3662439689e+00 -2.4091940549e+00 1.4648376902e+01 4.8019253326e+00 -1.2112563363e+01 4.8019253326e+00 1.2112563363e+01 1.0000000000e+00 1.6284149126e+01 1.2364970117e+01 -1.0596274193e+01 1.3989845699e+01 6.5071095275e-01 7.5932552701e-01
3.2621025375e-04 1.0794899323e-04 -4.7190994003e+00 -8.2782871209e+00 -2.9101213265e+00 1.4421962556e+01 4.5119136004e+00 -1.2141134327e+01 4.5119136004e+00 1.2141134327e+01 1.0000000000e+00 1.7364115013e+01 1.3569698067e+01 -1.0834010547e+01 1.4096818065e+01 6.2393105201e-01 7.8147939342e-01
3.2267228807e-04 1.1076162007e-04 -4.5338591764e+00 -8.1925224648e+00 -3.3858842190e+00 1.4222725213e+01 4.2516225325e+00 -1.2171365928e+01 4.2516225325e+00 1.2171365928e+01 1.0000000000e+00 1.7881659382e+01 1.4162593390e+01 -1.0916716115e+01 1.4152935720e+01 6.1049793432e-01 7.9201784840e-01
3.1908585207e-04 1.1350211203e-04 -4.3468717824e+00 -8.1072989681e+00 -3.8387938055e+00 1.4047444322e+01 4.0174629666e+00 -1.2203128555e+01 4.0174629666e+00 1.2203128555e+01 1.0000000000e+00 1.8386392037e+01 1.4749552193e+01 -1.0977710246e+01 1.4211327138e+01 5.9705624812e-01 8.0219937458e-01
