x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.2080882822e-04,1.0338190905e-04,-3.8698455647e+00,-9.0155316215e+00,-3.0938687252e+00,1.5627795999e+01,5.5408550816e+00,-1.2504569372e+01,5.5408550816e+00,1.2504569372e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
3.4407484443e-04,8.1015572011e-05,-4.8521644779e+00,-1.0051310348e+01,1.1156857891e+00,1.8155966062e+01,8.6141125486e+00,-1.2350591237e+01,8.6141125486e+00,1.2350591237e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.0892106160e-04,5.3494677158e-05,2.9025922394e+01,3.1119962283e+01,-4.2364693497e+00,6.0794071308e+01,4.7494199957e+01,-2.2704746913e+01,4.7494199957e+01,2.2704746913e+01,1.0000000000e+00,9.1072242615e+00,8.5636522431e+00,3.0992570091e+00,2.3135570123e+01,-3.4030753171e-01,9.4031419423e-01
-3.1173064989e-04,5.2826673914e-05,3.9186674790e+01,2.7105183771e+01,-4.2025079353e+00,5.9855774975e+01,5.2049831222e+01,-1.7065664367e+01,5.2049831222e+01,1.7065664367e+01,1.0000000000e+00,8.4922886727e+00,8.1523550915e+00,2.3786705032e+00,2.2976984718e+01,-2.8009769744e-01,9.5997149952e-01
-3.0609913275e-04,5.4323876343e-05,1.8698249212e+01,3.2097026668e+01,-5.1287033612e+00,5.8954614986e+01,4.0822235757e+01,-2.7252689907e+01,4.0822235757e+01,2.7252689907e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.0336440432e-04,5.5281026833e-05,1.2085256533e+01,3.2306637311e+01,-5.2646837038e+00,5.7745801474e+01,3.6749840440e+01,-2.9929267611e+01,3.6749840440e+01,2.9929267611e+01,1.0000000000e+00,9.7618953516e+00,9.0512518320e+00,3.6564246373e+00,2.3202937126e+01,-3.7456093367e-01,9.2720230099e-01
-2.3884596498e-04,8.3563499529e-05,-8.6756313457e+00,2.1551584077e+01,-2.0285559142e+01,3.8650290231e+01,7.8341602251e+00,-3.6795350713e+01,7.8341602251e+00,3.6795350713e+01,1.0000000000e+00,1.6237004859e+01,1.5217511149e+01,5.6628333205e+00,2.2787660925e+01,-3.4876095497e-01,9.3721171370e-01
-2.8532570728e-04,6.3621292344e-05,-7.8040479474e+00,2.8739956357e+01,-9.5241082337e+00,4.9756599169e+01,2.0062907834e+01,-3.7391064015e+01,2.0062907834e+01,3.7391064015e+01,1.0000000000e+00,1.2345444598e+01,1.1218034419e+01,5.1541930606e+00,2.3243996681e+01,-4.1749756517e-01,9.0867804149e-01
-2.8284391224e-04,6.4941785002e-05,-8.9975872990e+00,2.8098176251e+01,-1.0264372731e+01,4.8642794204e+01,1.8452950313e+01,-3.7714910343e+01,1.8452950313e+01,3.7714910343e+01,1.0000000000e+00,1.2766002512e+01,1.1607466975e+01,5.3138997499e+00,2.3224754390e+01,-4.1625401100e-01,9.0924836999e-01
-2.6171786042e-04,7.3946552237e-05,-9.6207775201e+00,2.5221349748e+01,-1.5523090329e+01,4.3962223524e+01,1.2809667661e+01,-3.7953535510e+01,1.2809667661e+01,3.7953535510e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-2.9568548983e-04,5.8885174203e-05,-1.5520636327e+00,3.0926952982e+01,-6.7490724919e+00,5.3646446551e+01,2.6822222295e+01,-3.5123358420e+01,2.6822222295e+01,3.5123358420e+01,1.0000000000e+00,1.0898469560e+01,9.9564050881e+00,4.4324526474e+00,2.3258796083e+01,-4.0670413611e-01,9.1355992998e-01
3.0731281198e-04,1.1558287527e-04,-3.2432533230e+00,-8.4769951494e+00,-4.7703984170e+00,1.4740574800e+01,4.5036489591e+00,-1.2517300699e+01,4.5036489591e+00,1.2517300699e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.3084305083e-04,4.6658989861e-05,3.5269457682e+01,2.8462542931e+01,8.6962798795e-01,5.7587845375e+01,5.1317900864e+01,-1.5178815195e+01,5.1317900864e+01,1.5178815185e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.2493950598e-04,4.8810567558e-05,3.3959815986e+01,2.4391121864e+01,-4.9631324758e+00,5.4016289071e+01,4.5684660791e+01,-1.6687977281e+01,4.5684660791e+01,1.6687977284e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-7.7143574591e-05,9.4937713562e-05,1.3137706982e+01,3.2794524019e+00,-3.4748692027e+01,4.1856650788e+01,1.3360456077e+01,-3.4971441122e+01,1.3360403477e+01,3.4971441122e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.8404578900e-04,1.3510299774e-05,1.8364056402e+02,2.8005644087e+01,-4.4335911878e+01,2.0330319181e+02,1.8702947859e+02,-4.7724826452e+01,1.8702947859e+02,4.7724826452e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
5.1747635611e-05,1.3204931671e-04,-4.9923993493e+01,-1.2032206178e+01,-3.6703426943e+01,2.3669386674e+01,-2.9648183451e+01,-5.6979236986e+01,2.6898966429e-06,5.6979236986e+01,1.0000000000e+00,1.0000527048e+01,9.8294391927e+00,1.8419192151e+00,1.9949084504e+01,-1.8418221422e-01,9.8289211614e-01
3.8111427499e-04,1.2729949944e-05,3.5868052805e+00,-1.8641610121e+01,2.0465891939e+01,3.5418101433e+01,3.2474999006e+01,-8.4223017866e+00,3.2474999006e+01,8.4172680178e+00,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.4222824901e-04,6.7732977803e-05,4.7207337017e+01,1.6953791648e+01,-3.5513033715e+01,7.7421053710e+01,5.0546217851e+01,-3.8851914550e+01,5.0546217851e+01,3.8851914550e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.8645019027e-04,9.9992497218e-05,-3.7203695217e+00,1.6510470581e+01,-2.6338549418e+01,3.4658592564e+01,4.9806882770e+00,-3.5039607216e+01,4.9806869833e+00,3.5039607216e+01,1.0000000000e+00,1.8163570753e+01,1.7547447763e+01,4.6906694075e+00,2.2144354405e+01,-2.5824599531e-01,9.6607919236e-01
-2.7130521358e-04,3.9602031049e-05,7.7270332164e+01,4.6474949516e+01,-8.1923730847e+00,1.0934575218e+02,9.7669778993e+01,-2.8591819913e+01,9.7669778993e+01,2.8591819913e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.1766018824e-04,1.1481024091e-04,-6.0250921480e+00,9.2029311873e+00,-2.9987402173e+01,2.6163609038e+01,-2.9006804397e+00,-3.3111813882e+01,2.3018648966e-02,3.3111813882e+01,1.0000000000e+00,1.9136907584e+01,1.8879523756e+01,3.1280688361e+00,2.1309000231e+01,-1.6345738320e-01,9.8655039602e-01
-9.7430410959e-05,1.1578097601e-04,-6.8449851524e+00,7.0351693252e+00,-3.0801164880e+01,2.4056567802e+01,-4.9340091201e+00,-3.2712140912e+01,-1.2694519229e-03,3.2712140912e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.0803081966e-04,1.1646305616e-04,-7.2215953875e+00,8.2020478116e+00,-3.0270220586e+01,2.4496345453e+01,-4.6029363454e+00,-3.2888879628e+01,-5.8428335688e-03,3.2888879628e+01,1.0000000000e+00,1.9159443310e+01,1.8946669863e+01,2.8474495665e+00,2.1158167977e+01,-1.4861859608e-01,9.8889459140e-01
6.2263990678e-05,1.3414521982e-04,-4.7623391796e+01,-1.4352465941e+01,-4.0641476145e+01,2.5459740547e+01,-2.9433245912e+01,-5.8831622029e+01,-1.2723700811e-04,5.8831621799e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.6508760866e-04,2.5379358315e-05,7.1229873274e+01,6.5930604605e+01,4.1790962557e+01,1.1693956683e+02,1.2402550830e+02,-1.1004672472e+01,1.2402550830e+02,1.1005563018e+01,1.0000000000e+00,7.6026107597e+00,5.8651047438e+00,4.8373791155e+00,2.4016876658e+01,-6.3627867695e-01,7.7145929592e-01
-3.5072327542e-04,3.5430117481e-05,5.3730201445e+01,4.8597918552e+01,2.3648005412e+01,8.8072520518e+01,8.9537796858e+01,-1.2159590001e+01,8.9537796858e+01,1.2159582130e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.4477624611e-04,3.8876708222e-05,4.8099881819e+01,4.2673224461e+01,1.7109587494e+01,7.8578975992e+01,7.7972327598e+01,-1.2762858285e+01,7.7972327598e+01,1.2762859462e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.7684196206e-04,1.2896622764e-05,9.1182305207e+01,7.8788822404e+01,5.1098864345e+01,1.4076777596e+02,1.5241289812e+02,-1.0131728567e+01,1.5241289812e+02,1.0096573915e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-3.6783819886e-04,2.0842790953e-05,7.6307238012e+01,6.6816666874e+01,3.9840529084e+01,1.1991794693e+02,1.2730854249e+02,-1.1160775396e+01,1.2730854249e+02,1.1160769868e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
1.0601852653e-04,1.5745566119e-04,4.9716628861e+00,9.5082472435e-01,-1.7189381455e+01,1.9292433948e+01,5.0296326489e+00,-1.7247351218e+01,5.0341591975e+00,1.7247350839e+01,1.0000000000e+00,2.5587624418e+01,2.4452374561e+01,7.5371016785e+00,1.9838713968e+01,-2.9456043106e-01,9.5563285442e-01
-1.7898715628e-04,1.0086977393e-04,-2.4850006567e+00,1.6002633955e+01,-2.6951424893e+01,3.4886405677e+01,5.4234629334e+00,-3.4859888483e+01,5.4234803165e+00,3.4859888483e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.8155561936e-04,1.0149640668e-04,-3.7917873695e+00,1.5932502424e+01,-2.6710152100e+01,3.3989355646e+01,4.3727938966e+00,-3.4874733366e+01,4.3727655184e+00,3.4874733366e+01,1.0000000000e+00,1.8258813519e+01,1.7668681180e+01,4.6045603991e+00,2.2096571925e+01,-2.5218289208e-01,9.6767959002e-01
3.8177887430e-04,3.1263404825e-05,-5.5376669165e+00,-1.3028131071e+01,1.9110784063e+01,3.1034062809e+01,2.4704083090e+01,-1.1130965943e+01,2.4704083090e+01,1.1131077628e+01,1.0000000000e+00,2.2308843868e+00,9.6659146989e-01,-2.0106083849e+00,1.3712663172e+01,9.0126068246e-01,4.3327725794e-01
-2.8785425666e-04,6.2357203044e-05,-6.5343800272e+00,2.9338572253e+01,-8.7945412142e+00,5.0797910772e+01,2.1663726838e+01,-3.6992648079e+01,2.1663726838e+01,3.6992648079e+01,1.0000000000e+00,1.1892170874e+01,1.0809780656e+01,4.9570525796e+00,2.3257115096e+01,-4.1683327897e-01,9.0898295779e-01
-2.7135535195e-04,6.7311528972e-05,-4.0431713054e+00,2.8799133367e+01,-1.2629288773e+01,5.0413060517e+01,2.0769764023e+01,-3.7442224100e+01,2.0769764023e+01,3.7442224100e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-2.7082908908e-04,6.9899956665e-05,-9.3130589040e+00,2.6628672962e+01,-1.3307648146e+01,4.6229349699e+01,1.5380173967e+01,-3.8000881018e+01,1.5380173968e+01,3.8000881018e+01,1.0000000000e+00,1.3875020913e+01,1.2683718462e+01,5.6248992273e+00,2.3142330995e+01,-4.0539753148e-01,9.1414049329e-01
-2.7329259865e-04,6.8531979038e-05,-8.5628551967e+00,2.7255340285e+01,-1.2607797295e+01,4.7306036004e+01,1.6726826374e+01,-3.7897478867e+01,1.6726826374e+01,3.7897478867e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-9.7043503103e-05,9.5321464520e-05,1.3011253504e+01,6.6749817134e+00,-3.3741280345e+01,4.2105564376e+01,1.3944645506e+01,-3.4674672347e+01,1.3944645561e+01,3.4674672347e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.8512030354e-04,9.5258382512e-05,1.5767839072e+00,1.7859306981e+01,-2.6645721203e+01,3.9421351938e+01,1.0225459505e+01,-3.5294396801e+01,1.0225459755e+01,3.5294396801e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
3.4133150975e-04,8.8592741981e-05,-4.9158401988e+00,-9.5282017567e+00,3.1012008028e-01,1.7108781565e+01,7.5748995828e+00,-1.2180619701e+01,7.5748995828e+00,1.2180619701e+01,1.0000000000e+00,1.3841301986e+01,9.8084315545e+00,-9.7660796177e+00,1.3804658715e+01,7.0557521451e-01,7.0863503770e-01
3.4826187971e-04,8.1985732263e-05,-5.2706277932e+00,-9.7545923314e+00,1.8519820251e+00,1.7982143566e+01,8.6726725443e+00,-1.2091318312e+01,8.6726725443e+00,1.2091318312e+01,1.0000000000e+00,1.1946615336e+01,7.9833965802e+00,-8.8874629128e+00,1.3697046406e+01,7.4393145363e-01,6.6825593323e-01
1.4123752487e-04,1.2283708453e-04,-9.8693414359e+00,9.6913951255e-02,-1.6977659317e+01,6.1712059184e+00,-9.8605529783e+00,-1.6986447775e+01,-2.7846563511e-06,1.6986447775e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
1.1863930910e-04,1.4929178491e-04,-3.8467408138e+00,-1.6138823013e+00,-1.6832944328e+01,1.1592389080e+01,-3.6469736152e+00,-1.7032711527e+01,3.3226582112e-02,1.7032711592e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.5071378068e-04,1.2160638208e-04,-1.9804945874e+00,-7.2606844244e+00,-9.6640851670e+00,1.4227303449e+01,2.3918475987e+00,-1.4036427353e+01,2.3918451092e+00,1.4036427353e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
3.3140004194e-04,9.8170754769e-05,-4.4385085365e+00,-9.1490833707e+00,-1.5486118136e+00,1.6040326718e+01,6.2673267737e+00,-1.2254447124e+01,6.2673267737e+00,1.2254447124e+01,1.0000000000e+00,1.5613842718e+01,1.1643272118e+01,-1.0403186953e+01,1.3938560012e+01,6.6627973277e-01,7.4570189600e-01
3.3447946728e-04,9.1426986707e-05,-4.4800874761e+00,-9.5421762503e+00,-9.0566822030e-01,1.6811793531e+01,7.0134156722e+00,-1.2399171369e+01,7.0134156722e+00,1.2399171369e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
3.1640957115e-04,6.8112606458e-05,-2.4598330177e+00,-1.0557880815e+01,-4.4726602938e+00,1.8367426124e+01,7.1381917615e+00,-1.4070685073e+01,7.1381917615e+00,1.4070685073e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.8156099561e-04,1.2930068640e-04,-2.0235498540e+00,-7.8519433329e+00,-7.1337181096e+00,1.4300876173e+01,3.6779807264e+00,-1.2835248690e+01,3.6779807264e+00,1.2835248690e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.0849520427e-04,1.2155366102e-04,-3.3057853437e+00,-5.3735230963e+00,-1.2345501556e+01,1.2161466348e+01,-8.0421757971e-01,-1.4847069320e+01,1.1997099928e-02,1.4847069320e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.2784410001e-04,1.2321180003e-04,-2.2929116264e+00,-6.4029397304e+00,-1.1098335272e+01,1.3458625975e+01,1.0747178802e+00,-1.4465964779e+01,1.0718041478e+00,1.4465964779e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
1.1854684825e-04,9.6232374778e-05,-2.7580703264e+00,1.0742755577e+00,-2.2056484827e+01,1.6809412838e+01,-2.7023585495e+00,-2.2112196604e+01,4.8479362573e-04,2.2112196604e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.7206188251e-04,3.9421953270e-05,-2.1701410659e+00,-6.5588929184e+00,-1.3317634117e+01,1.4904771468e+01,8.6138622763e-01,-1.6349161411e+01,8.6077682128e-01,1.6349161411e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-2.3440603174e-04,8.4337177618e-05,-6.7291520403e+00,2.1610324988e+01,-2.0907903775e+01,3.9387456019e+01,8.9218304280e+00,-3.6558886243e+01,8.9218304280e+00,3.6558886243e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.4934190977e-04,1.4392372540e-04,-3.9181679149e-01,-7.0713832737e+00,-9.2219200893e+00,1.4438107138e+01,3.5289766023e+00,-1.3142713483e+01,3.5289766217e+00,1.3142713483e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.5365978007e-04,1.4438681324e-04,-4.6333575832e-01,-7.1179650345e+00,-8.9517779620e+00,1.4353242167e+01,3.5792913687e+00,-1.2994405089e+01,3.5792913623e+00,1.2994405089e+01,1.0000000000e+00,2.5025287420e+01,2.3294969557e+01,-9.1438177904e+00,1.5479720481e+01,3.6538312775e-01,9.3085722318e-01
7.4842719537e-05,6.7558624502e-05,2.6659993389e+01,-4.7756011740e+00,-2.2378968234e+01,4.3269994492e+01,2.7122455545e+01,-2.2841430391e+01,2.7122455545e+01,2.2841430391e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.9101659567e-04,9.7914159495e-05,-3.0286923530e+00,1.7257664224e+01,-2.5981932297e+01,3.5895176267e+01,6.2187773549e+00,-3.5229402005e+01,6.2187772803e+00,3.5229402005e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-2.2888888747e-04,4.0083948260e-05,9.4156097680e+01,4.2538579930e+01,-2.5627605654e+01,1.2723442252e+02,1.0772307411e+02,-3.9194582080e+01,1.0772307411e+02,3.9194582080e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
2.0741078146e-04,6.7468639460e-05,-4.7979599710e+00,-2.4150461833e+00,-1.6530806782e+01,1.0990285364e+01,-4.3191391632e+00,-1.7009627590e+01,6.7442944952e-03,1.7009627590e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.6265860823e-04,1.4986160261e-05,1.7450727754e+02,2.2636490369e+01,-4.6524331875e+01,1.9539178666e+02,1.7680097346e+02,-4.8818027789e+01,1.7680097346e+02,4.8818027789e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.3449152165e-04,1.1151782534e-04,-4.3300323865e+00,1.0998265684e+01,-2.9398419242e+01,2.8879740978e+01,-1.9049958622e-01,-3.3537952042e+01,-8.6146444177e-02,3.3537952042e+01,1.0000000000e+00,1.9031457429e+01,1.8705941935e+01,3.5048692125e+00,2.1509008366e+01,-1.8416189225e-01,9.8289592401e-01
-1.3185102871e-04,1.1120849367e-04,-3.8362191199e+00,1.0783265864e+01,-2.9579778658e+01,2.9081766828e+01,8.2367017532e-02,-3.3498364796e+01,4.4181726717e-02,3.3498364795e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.4234963788e-04,1.3405348900e-05,1.7632785327e+02,1.7538839215e+01,-4.8671227489e+01,1.9720774590e+02,1.7768625807e+02,-5.0029632291e+01,1.7768625807e+02,5.0029632291e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-9.8208032635e-05,1.4873203869e-05,1.6858589325e+02,8.2595111323e+00,-5.0508844259e+01,1.9027953858e+02,1.6889646731e+02,-5.0819418323e+01,1.6889646731e+02,5.0819418323e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-2.2894418792e-04,1.3788747515e-05,1.9654708765e+02,4.2873973307e+01,-3.4354437961e+01,2.1330602948e+02,2.0424861838e+02,-4.2055968693e+01,2.0424861838e+02,4.2055968693e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
3.1297110395e-05,4.0436818308e-05,9.8805480634e+01,-1.6272191682e+01,-2.8770369240e+01,1.1402027986e+02,1.0084719497e+02,-3.0812083574e+01,1.0084719497e+02,3.0812083574e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.4251289192e-04,4.0771620618e-05,1.0113781254e+02,1.8964793757e+01,-4.1890456376e+01,1.2814610210e+02,1.0360886463e+02,-4.4361508449e+01,1.0360886464e+02,4.4361508448e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
-1.5580654692e-04,1.0706598747e-04,-3.2526865838e+00,1.3305372929e+01,-2.8392901078e+01,3.1700993130e+01,2.4797830860e+00,-3.4125370748e+01,2.5031806294e+00,3.4125370748e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
1.0684597271e-05,1.3607628125e-05,1.7640483465e+02,-1.2470621350e+01,-4.1618816320e+01,1.9004461320e+02,1.7711531775e+02,-4.2329299424e+01,1.7711531775e+02,4.2329299424e+01,0.0000000000e+00,nan,nan,nan,nan,nan,nan
