x_m,y_m,sigma_comp_mag_Pa
3.9659767487e-04,5.9159324322e-06,1.0050589936e+01
3.9435122384e-04,1.1244116159e-05,9.7809027735e+00
3.9231172958e-04,1.6335625596e-05,1.0195375517e+01
3.9030601142e-04,2.1254882033e-05,1.0515863428e+01
3.8827817083e-04,2.6036667877e-05,1.0746210957e+01
3.8620077927e-04,3.0699250817e-05,1.0928837850e+01
3.8405923116e-04,3.5254656951e-05,1.1091367812e+01
3.8184650776e-04,3.9708172050e-05,1.1229760759e+01
3.7955801256e-04,4.4065519610e-05,1.1342813155e+01
3.7719203471e-04,4.8329752611e-05,1.1441403140e+01
3.7474803025e-04,5.2503428334e-05,1.1525595179e+01
3.7222647403e-04,5.6588433365e-05,1.1597690611e+01
3.6962832705e-04,6.0586304642e-05,1.1659161582e+01
3.6695483646e-04,6.4498417005e-05,1.1712052536e+01
3.6420749657e-04,6.8326002520e-05,1.1758199036e+01
3.6138801044e-04,7.2070252080e-05,1.1798836337e+01
3.5849817732e-04,7.5732167162e-05,1.1835533771e+01
3.5553980170e-04,7.9312727846e-05,1.1868776744e+01
3.5251478458e-04,8.2812923277e-05,1.1899826465e+01
3.4942504898e-04,8.6233677999e-05,1.1929596418e+01
3.4627249411e-04,8.9575853515e-05,1.1958034211e+01
3.4305896613e-04,9.2840350468e-05,1.1986231214e+01
3.3978647526e-04,9.6027951533e-05,1.2014706258e+01
3.3645681220e-04,9.9139573494e-05,1.2042148236e+01
3.3307176580e-04,1.0217598815e-04,1.2070477293e+01
3.2963318254e-04,1.0513795332e-04,1.2099670082e+01
3.2614280113e-04,1.0802628481e-04,1.2129200188e+01
3.2260232314e-04,1.1084172806e-04,1.2159644542e+01
3.1901339872e-04,1.1358503222e-04,1.2190257515e+01
3.1537764673e-04,1.1625688442e-04,1.2222905000e+01
3.1169664745e-04,1.1885802342e-04,1.2255989452e+01
3.0797192771e-04,1.2138913989e-04,1.2289026024e+01
3.0420490345e-04,1.2385084572e-04,1.2324660867e+01
3.0039699187e-04,1.2624379795e-04,1.2360580211e+01
2.9654957524e-04,1.2856865024e-04,1.2396814658e+01
2.9266394382e-04,1.3082598750e-04,1.2432852732e+01
2.8874129304e-04,1.3301630041e-04,1.2471582355e+01
2.8478287505e-04,1.3514016979e-04,1.2509859840e+01
2.8078980022e-04,1.3719807791e-04,1.2547995721e+01
2.7676317085e-04,1.3919041652e-04,1.2588114578e+01
2.7270401357e-04,1.4111767696e-04,1.2627436797e+01
2.6861328113e-04,1.4298018468e-04,1.2666307677e+01
2.6449191129e-04,1.4477820485e-04,1.2706856426e+01
2.6034077944e-04,1.4651206777e-04,1.2747069740e+01
2.5616065493e-04,1.4818195715e-04,1.2786531383e+01
2.5195236435e-04,1.4978791642e-04,1.2826375886e+01
2.4771656792e-04,1.5133007059e-04,1.2866093244e+01
2.4345395197e-04,1.5280838381e-04,1.2904709269e+01
2.3916508520e-04,1.5422273412e-04,1.2943737780e+01
2.3485055358e-04,1.5557289051e-04,1.2981180800e+01
2.3051080140e-04,1.5685849754e-04,1.3017889746e+01
2.2614627972e-04,1.5807903808e-04,1.3053620392e+01
2.2175734613e-04,1.5923390900e-04,1.3089670663e+01
2.1734438371e-04,1.6032231816e-04,1.3123284213e+01
2.1290761401e-04,1.6134321865e-04,1.3154894040e+01
2.0844720850e-04,1.6229528867e-04,1.3185867850e+01
2.0396332341e-04,1.6317696294e-04,1.3212961996e+01
1.9945590120e-04,1.6398628465e-04,1.3241676220e+01
1.9492509732e-04,1.6472077536e-04,1.3264887410e+01
1.9037059955e-04,1.6537740204e-04,1.3284811031e+01
1.4508732046e-04,1.6565810088e-04,1.7914161282e+01
1.3728420826e-04,1.6472113630e-04,1.7189886499e+01
1.3345132159e-04,1.6428777206e-04,1.7491517585e+01
1.2964203480e-04,1.6386262130e-04,1.7926699473e+01
1.2584773580e-04,1.6343702097e-04,1.8002575183e+01
1.2206147920e-04,1.6300442965e-04,1.8080548007e+01
1.1449339497e-04,1.6209129409e-04,1.8143096578e+01
1.1070505592e-04,1.6159645337e-04,1.8153092828e+01
1.0691295145e-04,1.6106715048e-04,1.8125633292e+01
1.0311517112e-04,1.6049618232e-04,1.8119485155e+01
9.9312090937e-05,1.5987641317e-04,1.8090578105e+01
9.5503633589e-05,1.5919954852e-04,1.8067186418e+01
9.1690609357e-05,1.5845620801e-04,1.8042436180e+01
8.7874046571e-05,1.5763553064e-04,1.8030816498e+01
8.4055899854e-05,1.5672469916e-04,1.8033910701e+01
8.0241890719e-05,1.5570802061e-04,1.8058049479e+01
7.6443898412e-05,1.5456566953e-04,1.8103964885e+01
7.2679923470e-05,1.5327087193e-04,1.8156917220e+01
6.8978552665e-05,1.5178800623e-04,1.8291878586e+01
6.5379000764e-05,1.5006339525e-04,1.7559394022e+01
6.1968296381e-05,1.4798673254e-04,2.3229472849e+01
5.9153144753e-05,1.4528309222e-04,1.9241613936e+00
5.6550104331e-05,1.4173439693e-04,1.2797759206e+02
5.4796986401e-05,1.4077218149e-04,1.0448157498e+02
5.2902425563e-05,1.3994173817e-04,9.6283975154e+01
5.0925401289e-05,1.3920545136e-04,9.1822698617e+01
4.8893943903e-05,1.3854705234e-04,8.7723293703e+01
4.6818048828e-05,1.3795220072e-04,8.4289106970e+01
4.4706362707e-05,1.3740985599e-04,8.1132731585e+01
4.2564089845e-05,1.3691212781e-04,7.8263902600e+01
4.0395324490e-05,1.3645327273e-04,7.5552017487e+01
3.8202768117e-05,1.3602801026e-04,7.3044270429e+01
3.5988582716e-05,1.3563210768e-04,7.0608904915e+01
3.3754342995e-05,1.3526191853e-04,6.8250511927e+01
3.1501261036e-05,1.3491435408e-04,6.5949296554e+01
2.9230276582e-05,1.3458672332e-04,6.3699209693e+01
2.6941993793e-05,1.3427658153e-04,6.1468402421e+01
2.4636864008e-05,1.3398168446e-04,5.9256280712e+01
2.2315132960e-05,1.3369993834e-04,5.7040763753e+01
1.9976819306e-05,1.3342930461e-04,5.4807129102e+01
1.7621696922e-05,1.3316760129e-04,5.2555622218e+01
1.5249319714e-05,1.3291208805e-04,5.0369331468e+01
1.2860663473e-05,1.3265871732e-04,4.9118351314e+01
1.0464574670e-05,1.3241173421e-04,5.0729146574e+01
8.0771219465e-06,1.3218473128e-04,5.1760248343e+01
5.6908485313e-06,1.3197465887e-04,5.0750668708e+01
3.2981013644e-06,1.3177332279e-04,4.9307438376e+01
8.9753935729e-07,1.3157769224e-04,4.7909747597e+01
-1.5112899358e-06,1.3138627109e-04,4.6529041563e+01
-3.9285152105e-06,1.3119799092e-04,4.5154433810e+01
-6.3541746206e-06,1.3101199203e-04,4.3802757293e+01
-8.7882614052e-06,1.3082755029e-04,4.2485298344e+01
-1.1230729990e-05,1.3064394053e-04,4.1167744780e+01
-1.3681460321e-05,1.3046058353e-04,3.9874936820e+01
-1.6140379172e-05,1.3027695416e-04,3.8629489015e+01
