x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
4.0000000000e-04 0.0000000000e+00 7.3663653019e+01 -6.7575401692e+01 9.0102665608e+01 1.1662960296e+02 1.4921929198e+02 1.4547026647e+01 1.4921929198e+02 -1.0603212204e+00 1.0000000000e+00 7.1801783946e-02 -3.8413894949e-02 6.0661922594e-02 1.4065397661e+01 8.4485258248e-01 5.3499917185e-01
-4.0000000000e-04 3.0616169979e-20 5.1063958606e+02 3.1707947674e+02 2.2888600215e+02 5.9814711303e+02 7.1510319091e+02 2.4422397397e+01 7.1510319090e+02 -1.6193096091e+00 1.0000000000e+00 4.9669182468e-01 3.9897174634e-01 2.9584508502e-01 2.3669652224e+01 -5.9563107406e-01 8.0325813012e-01
3.9656887942e-04 5.9238031845e-06 -4.2156369076e+00 -2.6554320403e+01 6.1622651318e+01 7.0108431095e+01 6.9180628770e+01 -1.1773614360e+01 6.9180628770e+01 1.0010892979e+01 1.0000000000e+00 1.1777275334e-01 -5.1852229133e-02 1.0574387814e-01 1.4044796067e+01 8.9786368356e-01 4.4027355786e-01
3.9430304309e-04 1.1259677098e-05 -3.6426174744e+00 -1.7227557575e+01 4.0792861410e+01 4.8838252525e+01 4.6771900210e+01 -9.6216562742e+00 4.6771900210e+01 9.7539192357e+00 1.0000000000e+00 3.5851921720e-02 1.3365830423e-02 -3.3267324330e-02 1.3967530657e+01 9.2790909760e-01 3.7280652702e-01
3.9224810973e-04 1.6357885736e-05 -5.5822976590e+00 -1.4164703713e+01 3.3092797548e+01 4.1399821285e+01 3.7657447908e+01 -1.0146948019e+01 3.7657447908e+01 1.0169701476e+01 1.0000000000e+00 2.3799484565e-01 8.9147229446e-02 -2.2066789081e-01 1.3922089331e+01 9.2719609206e-01 3.7457630313e-01
3.9022943355e-04 2.1283241308e-05 -6.3295641290e+00 -1.2676362205e+01 2.7666190792e+01 3.6668122126e+01 3.1838663511e+01 -1.0502036849e+01 3.1838663511e+01 1.0492014275e+01 1.0000000000e+00 5.1559125877e-01 1.9626300595e-01 -4.7677581589e-01 1.3876233663e+01 9.2471663896e-01 3.8065619346e-01
3.8819037276e-04 2.6070850182e-05 -6.6813258289e+00 -1.1825269598e+01 2.3725966595e+01 3.3330255003e+01 2.7765552081e+01 -1.0720911315e+01 2.7765552081e+01 1.0723258874e+01 1.0000000000e+00 1.2650003614e+00 5.1010700927e-01 -1.1575909266e+00 1.3788177723e+01 9.1509138018e-01 4.0324653244e-01
3.8610301836e-04 3.0739178287e-05 -6.8721866742e+00 -1.1320019057e+01 2.0683741298e+01 3.0851493985e+01 2.4717895669e+01 -1.0906341045e+01 2.4717895669e+01 1.0906035721e+01 1.0000000000e+00 1.7224012317e+00 7.1850760946e-01 -1.5653794487e+00 1.3748120156e+01 9.0883553716e-01 4.1715460731e-01
3.8395241215e-04 3.5300375979e-05 -6.9718743906e+00 -1.0961005817e+01 1.8141839487e+01 2.8844466698e+01 2.2238343161e+01 -1.1068378065e+01 2.2238343161e+01 1.1068400197e+01 1.0000000000e+00 2.2243390668e+00 9.6111591435e-01 -2.0059761921e+00 1.3711519484e+01 9.0183022096e-01 4.3209056061e-01
3.8173127074e-04 3.9759777293e-05 -6.9975921322e+00 -1.0704396529e+01 1.5955499285e+01 2.7167694692e+01 2.0164229420e+01 -1.1206322267e+01 2.0164229420e+01 1.1206325068e+01 1.0000000000e+00 2.7650250481e+00 1.2379542618e+00 -2.4724143590e+00 1.3678862269e+01 8.9417430799e-01 4.4771900443e-01
