x_m y_m sigma_comp_mag_Pa
-1.0615247722e-05 1.3283526267e-04 5.3762354024e+01
-1.2972097202e-05 1.3250065363e-04 5.1490383706e+01
-1.5346395004e-05 1.3217253750e-04 4.9769483932e+01
-1.7731583973e-05 1.3185158207e-04 4.9902123019e+01
-2.0116371908e-05 1.3154605418e-04 5.0670425146e+01
-2.2500799696e-05 1.3125850337e-04 4.9942446456e+01
-2.4891703920e-05 1.3098095254e-04 4.8451543413e+01
-2.7291365906e-05 1.3070955961e-04 4.6963009177e+01
-2.9700250931e-05 1.3044254919e-04 4.5485508460e+01
-3.2118403446e-05 1.3017876947e-04 4.4038460403e+01
-3.4545770677e-05 1.2991725905e-04 4.2620414004e+01
-3.6982213367e-05 1.2965717005e-04 4.1246804908e+01
-3.9427544198e-05 1.2939779158e-04 3.9912746744e+01
-4.1881566949e-05 1.2913846273e-04 3.8641577672e+01
-4.4344099321e-05 1.2887856492e-04 3.7424371728e+01
-4.6814871064e-05 1.2861753905e-04 3.6311847278e+01
-4.9293651171e-05 1.2835486403e-04 3.5260780210e+01
-5.1780214270e-05 1.2809004086e-04 3.4324391565e+01
-5.4274380848e-05 1.2782259309e-04 3.3725917400e+01
-5.6775956513e-05 1.2755208199e-04 3.3430965875e+01
-5.9284741396e-05 1.2727810358e-04 3.3283178464e+01
-6.1800530509e-05 1.2700028974e-04 3.3190386593e+01
-6.4323109539e-05 1.2671826742e-04 3.3115057942e+01
-6.6852228957e-05 1.2643170600e-04 3.3082177525e+01
-6.9387740935e-05 1.2614027497e-04 3.3072220212e+01
-7.1929397007e-05 1.2584367415e-04 3.3055145860e+01
-7.4476991752e-05 1.2554161732e-04 3.3047678295e+01
-7.7030318002e-05 1.2523382799e-04 3.3046006780e+01
-7.9589166704e-05 1.2492004214e-04 3.3051188487e+01
-8.2153361898e-05 1.2460000377e-04 3.3048023497e+01
-8.4722626887e-05 1.2427348405e-04 3.3054540445e+01
-8.7296832601e-05 1.2394024473e-04 3.3070426649e+01
-8.9875752576e-05 1.2360007793e-04 3.3083963315e+01
-9.2459189188e-05 1.2325276325e-04 3.3100427447e+01
-9.5046949136e-05 1.2289810017e-04 3.3117540431e+01
-9.7638836976e-05 1.2253589765e-04 3.3136130640e+01
-1.0023464686e-04 1.2216597100e-04 3.3161938946e+01
-1.0283422569e-04 1.2178813776e-04 3.3185598248e+01
-1.0543732860e-04 1.2140223760e-04 3.3212919246e+01
-1.0804383219e-04 1.2100809154e-04 3.3239110642e+01
-1.1065348488e-04 1.2060554247e-04 3.3267959704e+01
-1.1326614838e-04 1.2019443587e-04 3.3300133349e+01
-1.1588162917e-04 1.1977463265e-04 3.3331370028e+01
-1.1849973726e-04 1.1934598195e-04 3.3365019467e+01
-1.2112030166e-04 1.1890833085e-04 3.3401673695e+01
-1.2374313566e-04 1.1846155143e-04 3.3439692585e+01
-1.2636807465e-04 1.1800552032e-04 3.3478311111e+01
-1.2899494109e-04 1.1754010620e-04 3.3518248480e+01
-1.3162355591e-04 1.1706517819e-04 3.3559930147e+01
-1.3425373321e-04 1.1658061416e-04 3.3604427352e+01
-1.3688534708e-04 1.1608629119e-04 3.3647917186e+01
-1.3951817511e-04 1.1558210700e-04 3.3693050610e+01
-1.4215208664e-04 1.1506794194e-04 3.3740092839e+01
-1.4478688982e-04 1.1454368791e-04 3.3789025028e+01
-1.4742243569e-04 1.1400922925e-04 3.3838288098e+01
-1.5005855671e-04 1.1346446084e-04 3.3888085649e+01
-1.5269505701e-04 1.1290928372e-04 3.3941202050e+01
-1.5533182986e-04 1.1234358912e-04 3.3995717845e+01
-1.5796868962e-04 1.1176728033e-04 3.4049823686e+01
-1.6060544649e-04 1.1118026042e-04 3.4105070502e+01
-1.6324197904e-04 1.1058241894e-04 3.4162040207e+01
-1.6587810650e-04 1.0997367019e-04 3.4220699644e+01
-1.6851367491e-04 1.0935392595e-04 3.4280098481e+01
-1.7114853197e-04 1.0872308174e-04 3.4340368956e+01
-1.7378251271e-04 1.0808104087e-04 3.4401814708e+01
-1.7641546633e-04 1.0742771492e-04 3.4464626879e+01
-1.7904721236e-04 1.0676303213e-04 3.4528539307e+01
-1.8167764378e-04 1.0608688523e-04 3.4593065052e+01
-1.8430657166e-04 1.0539917982e-04 3.4659695100e+01
-1.8693385037e-04 1.0469983632e-04 3.4726329703e+01
-1.8955934094e-04 1.0398876527e-04 3.4793699401e+01
-1.9218287597e-04 1.0326589438e-04 3.4862271849e+01
-1.9480431521e-04 1.0253113681e-04 3.4930601766e+01
-1.9742349709e-04 1.0178440474e-04 3.5000167855e+01
-2.0004023050e-04 1.0102563087e-04 3.5070226632e+01
-2.0265442103e-04 1.0025472322e-04 3.5140499242e+01
-2.0526587629e-04 9.9471623599e-05 3.5211710557e+01
-2.0787444157e-04 9.8676253676e-05 3.5282610968e+01
-2.1047997623e-04 9.7868535840e-05 3.5353842004e+01
-2.1308228212e-04 9.7048405070e-05 3.5424877692e+01
-2.1568127733e-04 9.6215798632e-05 3.5495771473e+01
-2.1827672012e-04 9.5370676907e-05 3.5565126403e+01
-2.2086849974e-04 9.4512956125e-05 3.5634789209e+01
-2.2345643023e-04 9.3642595441e-05 3.5703021905e+01
-2.2604032879e-04 9.2759557320e-05 3.5770108312e+01
-2.2862003154e-04 9.1863817973e-05 3.5835310614e+01
-2.3119534104e-04 9.0955336839e-05 3.5898909757e+01
-2.3376605972e-04 9.0034097630e-05 3.5958490154e+01
-2.3633197598e-04 8.9100102734e-05 3.6015154460e+01
-2.3889275048e-04 8.8153392247e-05 3.6066797438e+01
-2.4144809547e-04 8.7193947377e-05 3.6115794424e+01
-2.4399728759e-04 8.6221841011e-05 3.6187667970e+01
-2.4653980860e-04 8.5236993939e-05 3.6313327589e+01
-2.4907544996e-04 8.4239412008e-05 3.6489847590e+01
-2.5160493243e-04 8.3228828702e-05 3.6678983969e+01
-2.5412919500e-04 8.2204886188e-05 3.6856292493e+01
-2.5664873935e-04 8.1167596717e-05 3.7011240679e+01
-2.5916381465e-04 8.0117015757e-05 3.7139658347e+01
-2.6167464129e-04 7.9053168701e-05 3.7251996132e+01
-2.6418127057e-04 7.7976194258e-05 3.7338780758e+01
-2.6668369445e-04 7.6886318777e-05 3.7414984605e+01
-2.6918190187e-04 7.5783792673e-05 3.7481051323e+01
-2.7167588545e-04 7.4668950524e-05 3.7539492670e+01
-2.7416574492e-04 7.3542167819e-05 3.7589109768e+01
-2.7665169187e-04 7.2403875474e-05 3.7634891135e+01
-2.7913393776e-04 7.1254582688e-05 3.7663301410e+01
-2.8161300862e-04 7.0094833044e-05 3.7683068241e+01
-2.8408924505e-04 6.8925478069e-05 3.7679739153e+01
-2.8656329806e-04 6.7747421582e-05 3.7661444692e+01
-2.8903582603e-04 6.6561771934e-05 3.7626955610e+01
-2.9150771847e-04 6.5369915477e-05 3.7569610886e+01
-2.9398011622e-04 6.4173538936e-05 3.7487473198e+01
-2.9645454255e-04 6.2974640243e-05 3.7367072733e+01
-2.9893277302e-04 6.1775662185e-05 3.7210437582e+01
-3.0141708522e-04 6.0579811230e-05 3.7007497398e+01
-3.0391091124e-04 5.9390924940e-05 3.6697270743e+01
-3.0641756088e-04 5.8214187542e-05 3.6342222456e+01
-3.0894251512e-04 5.7056481378e-05 3.5860885080e+01
-3.1149260255e-04 5.5927461950e-05 3.5075127581e+01
-3.1407787513e-04 5.4841517347e-05 3.4402449492e+01
-3.1671602120e-04 5.3822758504e-05 3.3311557068e+01
-3.1942851216e-04 5.2953453811e-05 2.6108350664e+01
-3.2255803584e-04 5.2084397080e-05 2.2334471493e+01
-3.2606310195e-04 5.1042862158e-05 1.9133301834e+01
-3.2996086995e-04 4.9845114745e-05 1.8703264107e+01
-3.3459517499e-04 4.8211928005e-05 1.7973144921e+01
-3.3984681236e-04 4.5916532610e-05 1.5022706634e+01
-3.4540709875e-04 4.2957374001e-05 1.0219379482e+01
-3.5096092432e-04 3.9576890191e-05 1.1125555908e+01
-3.5652603713e-04 3.5868071758e-05 1.0512397952e+01
-3.6212984337e-04 3.1847964958e-05 1.0181508340e+01
-3.6779173121e-04 2.7511772025e-05 9.7647680181e+00
-3.7354076525e-04 2.2835535169e-05 9.3058330835e+00
-3.7941632759e-04 1.7780730327e-05 8.7722712379e+00
-3.8548187539e-04 1.2304691990e-05 8.4581967469e+00
-3.9195655804e-04 6.3765986060e-06 8.0472894516e+00
-3.9600000000e-04 3.0463089129e-20 -6.4896104587e-01
-3.8000000000e-04 2.9850765729e-20 1.0153263598e+01
3.9600000000e-04 1.5308084989e-22 -1.3399126500e+00
1.5958451865e-05 1.3601968880e-04 7.3630804596e+01
3.7681445803e-05 1.4938178846e-04 2.0331815439e+01
-8.5871196385e-05 1.4523561945e-06 5.2849406052e+01
-1.1773578241e-04 1.4519404184e-06 5.3257153816e+01
1.0124329736e-04 1.5937438295e-04 1.8196654022e+01
1.4485575029e-04 1.5215292625e-06 2.2609371782e+01
1.3131056891e-04 1.5902446770e-04 1.7992909023e+01
-1.5879660788e-04 1.0934777136e-04 3.4062745078e+01
-1.8015533434e-04 1.0446918448e-04 3.4580141984e+01
2.0074278486e-04 1.7635599732e-06 2.2411169303e+01
-2.2913833127e-04 1.4790736730e-06 4.4087770281e+01
2.2866463162e-04 2.0777146428e-06 2.2269738227e+01
2.5663820349e-04 2.5219385269e-06 2.2365315472e+01
-2.5695238675e-04 1.4899247173e-06 3.6056210340e+01
2.4755795904e-04 1.4276028735e-04 1.7098819827e+01
2.7642561233e-04 1.3233352068e-04 1.2995653251e+01
2.8049448924e-04 3.0662006331e-06 1.9092214079e+01
3.0350772537e-04 1.1718152982e-04 1.2700180109e+01
-3.0406305950e-04 1.6607520016e-06 1.7700225345e+01
3.0433040922e-04 3.1572639142e-06 1.7520065139e+01
-3.2348518868e-04 1.8585271493e-06 1.7671252734e+01
3.4422710899e-04 8.4392412874e-05 1.2278898938e+01
-3.4278700757e-04 2.3621482475e-06 2.0699189472e+01
3.4476766053e-04 3.5175169777e-06 1.6437166501e+01
3.5949188702e-04 6.7589471400e-05 1.2041691034e+01
1.0110760629e-04 1.5281009503e-06 2.3224378362e+01
6.9334233050e-05 1.5195119731e-06 2.6012774788e+01
3.3573716410e-05 1.5014354111e-06 3.2744250573e+01
1.7517194467e-06 1.4821705233e-06 4.0384228768e+01
2.3782911079e-05 1.4047615593e-04 5.8250613743e+00
1.1593050492e-04 1.5969834184e-04 1.8050551414e+01
1.7511752228e-04 1.5495024434e-04 1.8300617239e+01
-2.1153469792e-04 9.5213394031e-05 3.5424669106e+01
-3.5822116132e-04 3.1500027535e-06 2.1102362281e+01
3.6074514966e-04 3.9429310327e-06 1.1741744469e+01
3.7015905296e-04 5.2495097906e-05 1.1775596432e+01
-3.5311664003e-04 3.5393071923e-05 1.1398492105e+01
3.7965777106e-04 3.6082590648e-05 1.1306208619e+01
-2.9245635155e-04 1.5852605445e-06 1.7140635451e+01
2.6867904641e-04 2.7577910771e-06 2.2201137948e+01
2.9235894791e-04 3.1851298262e-06 1.7247212002e+01
-2.6879619232e-04 1.5176264304e-06 3.0576392886e+01
2.1672144423e-04 1.9404018191e-06 2.2310976799e+01
-1.8938326776e-04 1.4630315880e-06 4.9658995079e+01
1.8879700182e-04 1.6735382039e-06 2.2538446686e+01
-1.6153037175e-04 1.4568385107e-06 5.1740173695e+01
-3.7007430254e-04 3.6494611810e-06 1.6830462587e+01
3.7253690399e-04 4.1413973269e-06 7.7814716987e+00
-2.2942389937e-04 8.9418263963e-05 3.5877743111e+01
2.3145794269e-04 1.4615198370e-04 1.7285003282e+01
2.6043766866e-04 1.3870285917e-04 1.3224018321e+01
2.8791786931e-04 1.2647706525e-04 1.2863095159e+01
-2.6495256086e-04 7.5409888757e-05 3.7058148301e+01
