x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.5442270984e-04,7.8687292709e-05,-6.5612198798e+00,-8.7818493296e+00,2.1562111738e+00,1.6976394320e+01,7.5988214777e+00,-1.2003830184e+01,7.5988214777e+00,1.2003830184e+01,1.0000000000e+00,1.1356242741e+01,7.5772597391e+00,-8.4586868982e+00,1.3677546294e+01,7.4484907474e-01,6.6723298470e-01
3.5136167937e-04,8.2110895227e-05,-6.4692333104e+00,-8.6429141043e+00,1.3479894498e+00,1.6425174391e+01,6.9224569260e+00,-1.2043700787e+01,6.9224569260e+00,1.2043700787e+01,1.0000000000e+00,1.2047079735e+01,8.2116605593e+00,-8.8148035152e+00,1.3706627265e+01,7.3169628729e-01,6.8163079681e-01
3.4823893368e-04,8.5453447726e-05,-6.3697501705e+00,-8.5110201032e+00,5.9360239389e-01,1.5923501070e+01,6.3053637411e+00,-1.2081511518e+01,6.3053637411e+00,1.2081511518e+01,1.0000000000e+00,1.3405407217e+01,9.5126675657e+00,-9.4453215101e+00,1.3776830957e+01,7.0459042067e-01,7.0961421850e-01
3.4505615751e-04,8.8715862184e-05,-6.2631915475e+00,-8.3871817273e+00,-1.0916473702e-01,1.5469133984e+01,5.7449305275e+00,-1.2117286812e+01,5.7449305276e+00,1.2117286812e+01,1.0000000000e+00,1.4075852649e+01,1.0179660754e+01,-9.7213237129e+00,1.3818540269e+01,6.9063835459e-01,7.2320029257e-01
3.4181496567e-04,9.1899062399e-05,-6.1522683308e+00,-8.2664931139e+00,-7.6747522756e-01,1.5054611148e+01,5.2319120197e+00,-1.2151655578e+01,5.2319120198e+00,1.2151655578e+01,1.0000000000e+00,1.4727914893e+01,1.0847336102e+01,-9.9622676433e+00,1.3861180192e+01,6.7642077751e-01,7.3651539818e-01
3.3851715823e-04,9.5003744553e-05,-6.0345013065e+00,-8.1519821087e+00,-1.3876893129e+00,1.4678698118e+01,4.7636549998e+00,-1.2185845619e+01,4.7636549994e+00,1.2185845619e+01,1.0000000000e+00,1.5372154796e+01,1.1522447672e+01,-1.0175280965e+01,1.3910445916e+01,6.6192938468e-01,7.4956620101e-01
3.3516429883e-04,9.8030735743e-05,-5.9116603443e+00,-8.0428972457e+00,-1.9681150140e+00,1.4339776865e+01,4.3391863541e+00,-1.2218961712e+01,4.3391863556e+00,1.2218961712e+01,1.0000000000e+00,1.6004151472e+01,1.2201249843e+01,-1.0356754636e+01,1.3962827437e+01,6.4712925609e-01,7.6238030268e-01
3.3175798776e-04,1.0098068588e-04,-5.7852216516e+00,-7.9364986425e+00,-2.5165368511e+00,1.4031951932e+01,3.9504719738e+00,-1.2252230476e+01,3.9504719701e+00,1.2252230476e+01,1.0000000000e+00,1.6625925271e+01,1.2884807380e+01,-1.0507289370e+01,1.4018139789e+01,6.3198223250e-01,7.7498287581e-01
3.2829988726e-04,1.0385416579e-04,-5.6540282556e+00,-7.8335884711e+00,-3.0356067837e+00,1.3754186126e+01,3.5961655427e+00,-1.2285800582e+01,3.5961655469e+00,1.2285800582e+01,1.0000000000e+00,1.7239071883e+01,1.3575219448e+01,-1.0625394879e+01,1.4080434405e+01,6.1635539030e-01,7.8746811545e-01
3.2479153403e-04,1.0665178137e-04,-5.5185204119e+00,-7.7338730758e+00,-3.5267968185e+00,1.3504368146e+01,3.2740919691e+00,-1.2319409200e+01,3.2740919844e+00,1.2319409200e+01,1.0000000000e+00,1.7816997976e+01,1.4258164117e+01,-1.0684108429e+01,1.4147663509e+01,5.9965817153e-01,8.0025625728e-01
