x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-3.9838259823e-04,1.1634281514e-06,6.0113662896e-01,4.8800050736e-01,3.5102813490e-01,2.3510013042e+01,-5.8394068502e-01,8.1179632691e-01
-3.8023395872e-04,1.6712398515e-05,5.0110216583e+00,3.7790937982e+00,3.2907124037e+00,2.3822629931e+01,-6.5669490738e-01,7.5415634893e-01
-3.6475614679e-04,2.9253972959e-05,8.7429999854e+00,7.0137248097e+00,5.2199341988e+00,2.3804713692e+01,-5.9704154266e-01,8.0221031927e-01
-3.4810892107e-04,4.0181609746e-05,1.1776753646e+01,1.0205072930e+01,5.8777898002e+00,2.3582523298e+01,-4.9910102367e-01,8.6654380626e-01
-3.3019804397e-04,4.8863085188e-05,1.2838356144e+01,1.1977771667e+01,4.6212957456e+00,2.3167826715e+01,-3.5996008319e-01,9.3296770497e-01
-3.1153497359e-04,5.5801606882e-05,1.0432718068e+01,9.5090922902e+00,4.2917094623e+00,2.3203386158e+01,-4.1137021381e-01,9.1146834679e-01
-2.9356830367e-04,6.4417527088e-05,1.2464690086e+01,1.1204060716e+01,5.4623733313e+00,2.3194561499e+01,-4.3822776930e-01,8.9886396202e-01
-2.7557019078e-04,7.2968481367e-05,1.4152458143e+01,1.2864577184e+01,5.8987053968e+00,2.3049162072e+01,-4.1679723319e-01,9.0899948647e-01
-2.5731594183e-04,8.0956462788e-05,1.5451817872e+01,1.4266241071e+01,5.9357426883e+00,2.2854783329e+01,-3.8414526610e-01,9.2327266532e-01
-2.3503712654e-04,8.9635828515e-05,1.6610980125e+01,1.5611056894e+01,5.6762279193e+00,2.2590913618e+01,-3.4171541212e-01,9.3980347792e-01
-2.1619113396e-04,9.6105280159e-05,1.7324040402e+01,1.6482758636e+01,5.3330144926e+00,2.2362078894e+01,-3.0783895494e-01,9.5143847821e-01
-1.9713115705e-04,1.0191455398e-04,1.7873777316e+01,1.7182141142e+01,4.9240167849e+00,2.2126107961e+01,-2.7548831441e-01,9.6130442037e-01
-1.7789093782e-04,1.0709620330e-04,1.8275772601e+01,1.7719365415e+01,4.4752601548e+00,2.1885594068e+01,-2.4487392421e-01,9.6955492946e-01
-1.5850094839e-04,1.1168627498e-04,1.8534645549e+01,1.8096568597e+01,4.0059069688e+00,2.1641446235e+01,-2.1613075676e-01,9.7636442786e-01
-1.3898824273e-04,1.1572354175e-04,1.8642903590e+01,1.8305377750e+01,3.5314302658e+00,2.1396303590e+01,-1.8942490630e-01,9.8189521074e-01
-1.1937689063e-04,1.1925127823e-04,1.8579406448e+01,1.8324565687e+01,3.0666979559e+00,2.1151340982e+01,-1.6505898423e-01,9.8628369738e-01
-9.9688608524e-05,1.2232160408e-04,1.8304164968e+01,1.8114329316e+01,2.6293589697e+00,2.0911027825e+01,-1.4364812458e-01,9.8962882754e-01
-7.9943561385e-05,1.2500387392e-04,1.7762951995e+01,1.7620557366e+01,2.2446428919e+00,2.0682466741e+01,-1.2636654608e-01,9.9198361682e-01
-5.6202822443e-05,1.2785947595e-04,1.6626239937e+01,1.6516834214e+01,1.9042168976e+00,2.0441204820e+01,-1.1453082025e-01,9.9341969540e-01
-3.6409751820e-05,1.3016276532e-04,1.5073844177e+01,1.4962875375e+01,1.8256885779e+00,2.0305916604e+01,-1.2111632285e-01,9.9263832101e-01
-1.6668318864e-05,1.3286583713e-04,1.2925679873e+01,1.2769255087e+01,2.0048253595e+00,2.0281183072e+01,-1.5510405481e-01,9.8789813857e-01
2.8361149712e-06,1.3687765479e-04,8.8885025906e+00,8.5442025746e+00,2.4499144203e+00,2.0582260585e+01,-2.7562735066e-01,9.6126456482e-01
1.9431178794e-05,1.4719475318e-04,2.2647332708e+01,1.9579126488e+01,1.1382419986e+01,2.1332135866e+01,-5.0259428484e-01,8.6452240274e-01
3.7856435803e-05,1.5463568738e-04,2.7704301501e+01,2.6631969962e+01,7.6332494763e+00,2.0198328383e+01,-2.7552578707e-01,9.6129368075e-01
5.7296429495e-05,1.5896121129e-04,2.8047502188e+01,2.7650887516e+01,4.7000849499e+00,1.9522980597e+01,-1.6757588317e-01,9.8585918030e-01
7.7053105471e-05,1.6151762234e-04,2.7887409997e+01,2.7767644625e+01,2.5817723207e+00,1.8992741863e+01,-9.2578418756e-02,9.9570539638e-01
9.6938527111e-05,1.6274419207e-04,2.7603774641e+01,2.7590127610e+01,8.6788990454e-01,1.8522550808e+01,-3.1440986453e-02,9.9950560997e-01
1.2084618273e-04,1.6271736132e-04,2.7020178270e+01,2.7006199797e+01,-8.6902604955e-01,1.8006630498e+01,3.2162113842e-02,9.9948266540e-01
1.4073923959e-04,1.6159679343e-04,2.6430187046e+01,2.6346661401e+01,-2.0995762204e+00,1.7606576724e+01,7.9438568362e-02,9.9683976338e-01
